,CDW US Equity
,RSI_30D
2020-01-01,65.7458
2020-01-02,66.7364
2020-01-03,63.5728
2020-01-04,63.5728
2020-01-05,63.5728
2020-01-06,61.7013
2020-01-07,61.4216
2020-01-08,61.0459
2020-01-09,62.4708
2020-01-10,62.9053
2020-01-11,62.9053
2020-01-12,62.9053
2020-01-13,63.9998
2020-01-14,64.6643
2020-01-15,65.3584
2020-01-16,64.5388
2020-01-17,52.116
2020-01-18,52.116
2020-01-19,52.116
2020-01-20,52.116
2020-01-21,51.0511
2020-01-22,51.7139
2020-01-23,54.457
2020-01-24,53.2774
2020-01-25,53.2774
2020-01-26,53.2774
2020-01-27,47.9095
2020-01-28,49.9572
2020-01-29,49.2022
2020-01-30,47.9161
2020-01-31,44.0109
2020-02-01,44.0109
2020-02-02,44.0109
2020-02-03,47.2231
2020-02-04,51.1006
2020-02-05,50.9699
2020-02-06,49.3092
2020-02-07,47.0657
2020-02-08,47.0657
2020-02-09,47.0657
2020-02-10,48.688
2020-02-11,51.0007
2020-02-12,51.7058
2020-02-13,52.4929
2020-02-14,53.637
2020-02-15,53.637
2020-02-16,53.637
2020-02-17,53.637
2020-02-18,49.4642
2020-02-19,51.4739
2020-02-20,53.234
2020-02-21,48.3546
2020-02-22,48.3546
2020-02-23,48.3546
2020-02-24,44.459
2020-02-25,40.7246
2020-02-26,40.4763
2020-02-27,34.3522
2020-02-28,33.2473
2020-02-29,33.2473
2020-03-01,33.2473
2020-03-02,39.483
2020-03-03,36.786
2020-03-04,40.2451
2020-03-05,37.0899
2020-03-06,35.8836
2020-03-07,35.8836
2020-03-08,35.8836
2020-03-09,29.8601
2020-03-10,34.8366
2020-03-11,34.3141
2020-03-12,29.9686
2020-03-13,37.0766
2020-03-14,37.0766
2020-03-15,37.0766
2020-03-16,32.1549
2020-03-17,32.3558
2020-03-18,31.4573
2020-03-19,34.0028
2020-03-20,31.3031
2020-03-21,31.3031
2020-03-22,31.3031
2020-03-23,35.005
2020-03-24,39.5933
2020-03-25,38.93
2020-03-26,43.5888
2020-03-27,41.0037
2020-03-28,41.0037
2020-03-29,41.0037
2020-03-30,42.5279
2020-03-31,41.2577
2020-04-01,39.7592
2020-04-02,39.472
2020-04-03,39.105
2020-04-04,39.105
2020-04-05,39.105
2020-04-06,43.6009
2020-04-07,44.9124
2020-04-08,46.5888
2020-04-09,48.3704
2020-04-10,48.3704
2020-04-11,48.3704
2020-04-12,48.3704
2020-04-13,47.3949
2020-04-14,48.6859
2020-04-15,47.3987
2020-04-16,47.6645
2020-04-17,49.7694
2020-04-18,49.7694
2020-04-19,49.7694
2020-04-20,48.3519
2020-04-21,45.5373
2020-04-22,46.9075
2020-04-23,46.5394
2020-04-24,48.4009
2020-04-25,48.4009
2020-04-26,48.4009
2020-04-27,49.1088
2020-04-28,49.5075
2020-04-29,51.4603
2020-04-30,51.2195
2020-05-01,49.2819
2020-05-02,49.2819
2020-05-03,49.2819
2020-05-04,49.956
2020-05-05,50.8441
2020-05-06,49.2275
2020-05-07,49.1772
2020-05-08,50.1611
2020-05-09,50.1611
2020-05-10,50.1611
2020-05-11,48.314
2020-05-12,46.8203
2020-05-13,44.913
2020-05-14,45.8838
2020-05-15,44.967
2020-05-16,44.967
2020-05-17,44.967
2020-05-18,49.7483
2020-05-19,49.4825
2020-05-20,51.1644
2020-05-21,50.2847
2020-05-22,49.4956
2020-05-23,49.4956
2020-05-24,49.4956
2020-05-25,49.4956
2020-05-26,50.7307
2020-05-27,51.9777
2020-05-28,51.5778
2020-05-29,52.2715
2020-05-30,52.2715
2020-05-31,52.2715
2020-06-01,52.8263
2020-06-02,53.5854
2020-06-03,54.5969
2020-06-04,55.5117
2020-06-05,59.8428
2020-06-06,59.8428
2020-06-07,59.8428
2020-06-08,61.1853
2020-06-09,58.5233
2020-06-10,56.7461
2020-06-11,50.2193
2020-06-12,52.0381
2020-06-13,52.0381
2020-06-14,52.0381
2020-06-15,51.9278
2020-06-16,54.6467
2020-06-17,53.3959
2020-06-18,53.4261
2020-06-19,53.2535
2020-06-20,53.2535
2020-06-21,53.2535
2020-06-22,52.7911
2020-06-23,52.6418
2020-06-24,49.9268
2020-06-25,50.4895
2020-06-26,48.1618
2020-06-27,48.1618
2020-06-28,48.1618
2020-06-29,51.3954
2020-06-30,52.6054
2020-07-01,52.2045
2020-07-02,53.1031
2020-07-03,53.1031
2020-07-04,53.1031
2020-07-05,53.1031
2020-07-06,53.3558
2020-07-07,51.0971
2020-07-08,50.6648
2020-07-09,50.1037
2020-07-10,50.9625
2020-07-11,50.9625
2020-07-12,50.9625
2020-07-13,50.1171
2020-07-14,51.3237
2020-07-15,53.4361
2020-07-16,52.7189
2020-07-17,53.878
2020-07-18,53.878
2020-07-19,53.878
2020-07-20,53.6301
2020-07-21,52.7323
2020-07-22,54.1324
2020-07-23,53.9021
2020-07-24,50.6508
2020-07-25,50.6508
2020-07-26,50.6508
2020-07-27,51.8858
2020-07-28,50.061
2020-07-29,51.3541
2020-07-30,51.3904
2020-07-31,51.8079
2020-08-01,51.8079
2020-08-02,51.8079
2020-08-03,52.7156
2020-08-04,54.2337
2020-08-05,51.9151
2020-08-06,50.3398
2020-08-07,50.3237
2020-08-08,50.3237
2020-08-09,50.3237
2020-08-10,48.8905
2020-08-11,52.2375
2020-08-12,51.738
2020-08-13,50.0624
2020-08-14,49.2017
2020-08-15,49.2017
2020-08-16,49.2017
2020-08-17,49.2868
2020-08-18,47.1307
2020-08-19,48.0305
2020-08-20,48.3277
2020-08-21,47.3347
2020-08-22,47.3347
2020-08-23,47.3347
2020-08-24,48.7547
2020-08-25,48.6297
2020-08-26,47.7439
2020-08-27,51.1885
2020-08-28,51.6378
2020-08-29,51.6378
2020-08-30,51.6378
2020-08-31,50.0277
2020-09-01,49.0356
2020-09-02,53.4829
2020-09-03,48.7117
2020-09-04,50.485
2020-09-05,50.485
2020-09-06,50.485
2020-09-07,50.485
2020-09-08,48.3802
2020-09-09,47.4341
2020-09-10,47.0518
2020-09-11,48.1916
2020-09-12,48.1916
2020-09-13,48.1916
2020-09-14,49.84
2020-09-15,50.7524
2020-09-16,50.5033
2020-09-17,50.7994
2020-09-18,49.451
2020-09-19,49.451
2020-09-20,49.451
2020-09-21,45.8692
2020-09-22,47.2107
2020-09-23,46.3715
2020-09-24,47.5961
2020-09-25,49.8397
2020-09-26,49.8397
2020-09-27,49.8397
2020-09-28,53.2126
2020-09-29,54.5658
2020-09-30,55.734
2020-10-01,58.7979
2020-10-02,58.7873
2020-10-03,58.7873
2020-10-04,58.7873
2020-10-05,60.5463
2020-10-06,57.5583
2020-10-07,59.6547
2020-10-08,59.8484
2020-10-09,59.6181
2020-10-10,59.6181
2020-10-11,59.6181
2020-10-12,62.4772
2020-10-13,62.3863
2020-10-14,61.9086
2020-10-15,62.1135
2020-10-16,62.7212
2020-10-17,62.7212
2020-10-18,62.7212
2020-10-19,60.5643
2020-10-20,60.9276
2020-10-21,60.3277
2020-10-22,60.8265
2020-10-23,61.2963
2020-10-24,61.2963
2020-10-25,61.2963
2020-10-26,55.9308
2020-10-27,53.2684
2020-10-28,48.7026
2020-10-29,50.8299
2020-10-30,52.3491
2020-10-31,52.3491
2020-11-01,52.3491
2020-11-02,55.6564
2020-11-03,58.9271
2020-11-04,61.1027
2020-11-05,63.8435
2020-11-06,63.704
2020-11-07,63.704
2020-11-08,63.704
2020-11-09,67.0791
2020-11-10,60.7231
2020-11-11,61.4124
2020-11-12,58.5591
2020-11-13,59.808
2020-11-14,59.808
2020-11-15,59.808
2020-11-16,60.7071
2020-11-17,58.6133
2020-11-18,57.6739
2020-11-19,55.1069
2020-11-20,54.4021
2020-11-21,54.4021
2020-11-22,54.4021
2020-11-23,53.7764
2020-11-24,57.9057
2020-11-25,53.8575
2020-11-26,53.8575
2020-11-27,54.055
2020-11-28,54.055
2020-11-29,54.055
2020-11-30,52.6564
2020-12-01,53.745
2020-12-02,53.0766
2020-12-03,53.1064
2020-12-04,54.7772
2020-12-05,54.7772
2020-12-06,54.7772
2020-12-07,54.2793
2020-12-08,54.2793
2020-12-09,53.3616
2020-12-10,53.1363
2020-12-11,52.1772
2020-12-12,52.1772
2020-12-13,52.1772
2020-12-14,53.0708
2020-12-15,54.02
2020-12-16,53.4406
2020-12-17,55.9934
2020-12-18,55.0813
2020-12-19,55.0813
2020-12-20,55.0813
2020-12-21,51.6969
2020-12-22,51.4646
2020-12-23,50.5829
2020-12-24,49.9728
2020-12-25,49.9728
2020-12-26,49.9728
2020-12-27,49.9728
2020-12-28,51.7498
2020-12-29,50.1488
2020-12-30,50.675
2020-12-31,52.4293
2021-01-01,52.4293
2021-01-02,52.4293
2021-01-03,52.4293
2021-01-04,47.8732
2021-01-05,48.5524
2021-01-06,49.6113
2021-01-07,52.5379
2021-01-08,54.853
2021-01-09,54.853
2021-01-10,54.853
2021-01-11,53.8776
2021-01-12,54.5622
2021-01-13,55.0375
2021-01-14,54.8695
2021-01-15,53.5834
2021-01-16,53.5834
2021-01-17,53.5834
2021-01-18,53.5834
2021-01-19,52.8083
2021-01-20,55.8527
2021-01-21,57.2174
2021-01-22,54.5218
2021-01-23,54.5218
2021-01-24,54.5218
2021-01-25,54.4202
2021-01-26,53.2905
2021-01-27,51.9166
2021-01-28,53.4236
2021-01-29,50.2945
2021-01-30,50.2945
2021-01-31,50.2945
2021-02-01,56.348
2021-02-02,58.9572
2021-02-03,58.4613
2021-02-04,64.6133
2021-02-05,65.2004
2021-02-06,65.2004
2021-02-07,65.2004
2021-02-08,64.5513
2021-02-09,65.2728
2021-02-10,68.5445
2021-02-11,68.0511
2021-02-12,66.3169
2021-02-13,66.3169
2021-02-14,66.3169
2021-02-15,66.3169
2021-02-16,66.6258
2021-02-17,67.7399
2021-02-18,66.3043
2021-02-19,68.6344
2021-02-20,68.6344
2021-02-21,68.6344
2021-02-22,66.9636
2021-02-23,64.5318
2021-02-24,67.5684
2021-02-25,62.1755
2021-02-26,62.1755
2021-02-27,62.1755
2021-02-28,62.1755
2021-03-01,64.3277
2021-03-02,60.9452
2021-03-03,59.5998
2021-03-04,55.8614
2021-03-05,57.8325
2021-03-06,57.8325
2021-03-07,57.8325
2021-03-08,58.2512
2021-03-09,57.65
2021-03-10,58.939
2021-03-11,61.1436
2021-03-12,61.1861
2021-03-13,61.1861
2021-03-14,61.1861
2021-03-15,61.9308
2021-03-16,61.6276
2021-03-17,61.04
2021-03-18,57.743
2021-03-19,58.3981
2021-03-20,58.3981
2021-03-21,58.3981
2021-03-22,59.2897
2021-03-23,56.1157
2021-03-24,56.3767
2021-03-25,58.7065
2021-03-26,63.8572
2021-03-27,63.8572
2021-03-28,63.8572
2021-03-29,61.1508
2021-03-30,60.925
2021-03-31,61.4948
2021-04-01,63.6693
2021-04-02,63.6693
2021-04-03,63.6693
2021-04-04,63.6693
2021-04-05,64.833
2021-04-06,64.8227
2021-04-07,63.5718
2021-04-08,65.9878
2021-04-09,66.4461
2021-04-10,66.4461
2021-04-11,66.4461
2021-04-12,65.1743
2021-04-13,66.0993
2021-04-14,67.3257
2021-04-15,68.7309
2021-04-16,70.2979
2021-04-17,70.2979
2021-04-18,70.2979
2021-04-19,68.2892
2021-04-20,66.6988
2021-04-21,67.2872
2021-04-22,66.2211
2021-04-23,67.1956
2021-04-24,67.1956
2021-04-25,67.1956
