,OMF US Equity
,RSI_30D
2020-01-01,60.4487
2020-01-02,61.9893
2020-01-03,58.8287
2020-01-04,58.8287
2020-01-05,58.8287
2020-01-06,57.1702
2020-01-07,53.6164
2020-01-08,55.7052
2020-01-09,56.4431
2020-01-10,54.6993
2020-01-11,54.6993
2020-01-12,54.6993
2020-01-13,57.5931
2020-01-14,56.1832
2020-01-15,55.8531
2020-01-16,59.4767
2020-01-17,60.8951
2020-01-18,60.8951
2020-01-19,60.8951
2020-01-20,60.8951
2020-01-21,58.121
2020-01-22,61.8698
2020-01-23,61.0752
2020-01-24,56.6891
2020-01-25,56.6891
2020-01-26,56.6891
2020-01-27,51.2647
2020-01-28,53.4228
2020-01-29,54.0291
2020-01-30,55.5108
2020-01-31,54.7342
2020-02-01,54.7342
2020-02-02,54.7342
2020-02-03,47.9352
2020-02-04,50.0319
2020-02-05,55.4023
2020-02-06,57.2521
2020-02-07,57.5556
2020-02-08,57.5556
2020-02-09,57.5556
2020-02-10,60.5499
2020-02-11,64.723
2020-02-12,64.0259
2020-02-13,64.4223
2020-02-14,66.195
2020-02-15,66.195
2020-02-16,66.195
2020-02-17,66.195
2020-02-18,65.6069
2020-02-19,66.1322
2020-02-20,67.4649
2020-02-21,64.6454
2020-02-22,64.6454
2020-02-23,64.6454
2020-02-24,59.5006
2020-02-25,50.1258
2020-02-26,47.4892
2020-02-27,44.2015
2020-02-28,41.9627
2020-02-29,41.9627
2020-03-01,41.9627
2020-03-02,46.5543
2020-03-03,42.4153
2020-03-04,48.7765
2020-03-05,45.6267
2020-03-06,43.1667
2020-03-07,43.1667
2020-03-08,43.1667
2020-03-09,36.0772
2020-03-10,43.2054
2020-03-11,39.9132
2020-03-12,36.7675
2020-03-13,41.1415
2020-03-14,41.1415
2020-03-15,41.1415
2020-03-16,35.1053
2020-03-17,32.5192
2020-03-18,28.1864
2020-03-19,31.592
2020-03-20,33.3737
2020-03-21,33.3737
2020-03-22,33.3737
2020-03-23,32.9018
2020-03-24,36.3255
2020-03-25,38.2315
2020-03-26,39.1557
2020-03-27,38.9855
2020-03-28,38.9855
2020-03-29,38.9855
2020-03-30,37.1263
2020-03-31,36.5088
