,AIMC US Equity
,RSI_30D
2020-01-01,69.874
2020-01-02,70.3954
2020-01-03,70.5461
2020-01-04,70.5461
2020-01-05,70.5461
2020-01-06,70.8277
2020-01-07,69.6688
2020-01-08,69.1941
2020-01-09,69.566
2020-01-10,66.868
2020-01-11,66.868
2020-01-12,66.868
2020-01-13,68.4645
2020-01-14,68.0803
2020-01-15,65.1191
2020-01-16,67.0735
2020-01-17,67.0108
2020-01-18,67.0108
2020-01-19,67.0108
2020-01-20,67.0108
2020-01-21,62.2585
2020-01-22,59.4959
2020-01-23,58.0568
2020-01-24,56.3847
2020-01-25,56.3847
2020-01-26,56.3847
2020-01-27,52.9346
2020-01-28,53.1043
2020-01-29,53.1915
2020-01-30,53.7259
2020-01-31,48.9557
2020-02-01,48.9557
2020-02-02,48.9557
2020-02-03,51.4339
2020-02-04,53.7967
2020-02-05,59.7317
2020-02-06,59.6833
2020-02-07,55.2846
2020-02-08,55.2846
2020-02-09,55.2846
2020-02-10,54.112
2020-02-11,54.918
2020-02-12,55.5059
2020-02-13,62.5748
2020-02-14,58.3373
2020-02-15,58.3373
2020-02-16,58.3373
2020-02-17,58.3373
2020-02-18,55.4719
2020-02-19,54.1895
2020-02-20,52.5627
2020-02-21,51.723
2020-02-22,51.723
2020-02-23,51.723
2020-02-24,46.2411
2020-02-25,43.6591
2020-02-26,43.1273
2020-02-27,40.3445
2020-02-28,38.421
2020-02-29,38.421
2020-03-01,38.421
2020-03-02,39.114
2020-03-03,35.3632
2020-03-04,37.9529
2020-03-05,32.8604
2020-03-06,30.6969
2020-03-07,30.6969
2020-03-08,30.6969
2020-03-09,25.6549
2020-03-10,32.0396
2020-03-11,29.0624
2020-03-12,25.4843
2020-03-13,28.5851
2020-03-14,28.5851
2020-03-15,28.5851
2020-03-16,25.5922
2020-03-17,25.9157
2020-03-18,23.6794
2020-03-19,30.352
2020-03-20,29.5938
2020-03-21,29.5938
2020-03-22,29.5938
2020-03-23,30.0944
2020-03-24,31.5822
2020-03-25,36.228
2020-03-26,39.8345
2020-03-27,36.7031
2020-03-28,36.7031
2020-03-29,36.7031
2020-03-30,36.6605
2020-03-31,36.9255
2020-04-01,34.9279
2020-04-02,38.0928
2020-04-03,36.2475
2020-04-04,36.2475
2020-04-05,36.2475
2020-04-06,40.2077
2020-04-07,41.9731
2020-04-08,43.7397
2020-04-09,45.7136
2020-04-10,45.7136
2020-04-11,45.7136
2020-04-12,45.7136
2020-04-13,44.21
2020-04-14,43.4766
2020-04-15,41.9395
2020-04-16,41.1161
2020-04-17,43.3988
2020-04-18,43.3988
2020-04-19,43.3988
2020-04-20,42.5762
2020-04-21,42.2374
2020-04-22,42.1988
2020-04-23,44.0329
2020-04-24,44.7995
