,BBSI US Equity
,RSI_30D
2020-01-01,53.0896
2020-01-02,53.3545
2020-01-03,53.1132
2020-01-04,53.1132
2020-01-05,53.1132
2020-01-06,50.8693
2020-01-07,48.3861
2020-01-08,48.6038
2020-01-09,49.133
2020-01-10,48.7145
2020-01-11,48.7145
2020-01-12,48.7145
2020-01-13,50.4436
2020-01-14,49.8639
2020-01-15,50.5409
2020-01-16,54.117
2020-01-17,52.6495
2020-01-18,52.6495
2020-01-19,52.6495
2020-01-20,52.6495
2020-01-21,52.1496
2020-01-22,48.8108
2020-01-23,48.725
2020-01-24,46.752
2020-01-25,46.752
2020-01-26,46.752
2020-01-27,42.9806
2020-01-28,42.9511
2020-01-29,43.5126
2020-01-30,42.104
2020-01-31,40.754
2020-02-01,40.754
2020-02-02,40.754
2020-02-03,42.7973
2020-02-04,44.3374
2020-02-05,49.2305
2020-02-06,46.9419
2020-02-07,44.8172
2020-02-08,44.8172
2020-02-09,44.8172
2020-02-10,46.3708
2020-02-11,43.9873
2020-02-12,42.4905
2020-02-13,43.0765
2020-02-14,43.0618
2020-02-15,43.0618
2020-02-16,43.0618
2020-02-17,43.0618
2020-02-18,43.499
2020-02-19,45.3533
2020-02-20,44.407
2020-02-21,45.7564
2020-02-22,45.7564
2020-02-23,45.7564
2020-02-24,40.2301
2020-02-25,37.5678
2020-02-26,26.5137
2020-02-27,24.9811
2020-02-28,23.3729
2020-02-29,23.3729
2020-03-01,23.3729
2020-03-02,24.4034
2020-03-03,22.9239
2020-03-04,26.0698
2020-03-05,24.0105
2020-03-06,24.0582
2020-03-07,24.0582
2020-03-08,24.0582
2020-03-09,22.233
2020-03-10,22.9035
2020-03-11,22.339
2020-03-12,21.0376
2020-03-13,22.0039
2020-03-14,22.0039
2020-03-15,22.0039
2020-03-16,18.2553
2020-03-17,18.0
2020-03-18,15.3354
2020-03-19,24.52
2020-03-20,23.2021
2020-03-21,23.2021
2020-03-22,23.2021
2020-03-23,23.3625
2020-03-24,26.5254
2020-03-25,26.0902
2020-03-26,28.7205
2020-03-27,29.2481
2020-03-28,29.2481
2020-03-29,29.2481
2020-03-30,30.7719
2020-03-31,31.8068
2020-04-01,30.0004
2020-04-02,29.8709
2020-04-03,29.2139
2020-04-04,29.2139
2020-04-05,29.2139
2020-04-06,30.4701
2020-04-07,30.9863
2020-04-08,32.6096
2020-04-09,35.7368
2020-04-10,35.7368
2020-04-11,35.7368
2020-04-12,35.7368
2020-04-13,38.4249
2020-04-14,39.957
2020-04-15,38.3113
2020-04-16,37.9512
2020-04-17,40.1517
2020-04-18,40.1517
2020-04-19,40.1517
2020-04-20,38.81
2020-04-21,39.1641
2020-04-22,39.2082
2020-04-23,40.3601
2020-04-24,39.5842
2020-04-25,39.5842
2020-04-26,39.5842
2020-04-27,41.7438
2020-04-28,44.8053
2020-04-29,49.1001
2020-04-30,47.5419
2020-05-01,45.7511
2020-05-02,45.7511
2020-05-03,45.7511
2020-05-04,44.2801
2020-05-05,45.2159
2020-05-06,43.3301
2020-05-07,44.0301
2020-05-08,47.0692
2020-05-09,47.0692
2020-05-10,47.0692
2020-05-11,44.9749
