,ALLY US Equity
,RSI_30D
2020-01-01,49.5921
2020-01-02,50.5655
2020-01-03,48.5645
2020-01-04,48.5645
2020-01-05,48.5645
2020-01-06,46.2687
2020-01-07,44.7901
2020-01-08,48.3326
2020-01-09,48.0479
2020-01-10,46.4621
2020-01-11,46.4621
2020-01-12,46.4621
2020-01-13,46.8509
2020-01-14,48.4017
2020-01-15,48.9156
2020-01-16,51.5965
2020-01-17,49.6532
2020-01-18,49.6532
2020-01-19,49.6532
2020-01-20,49.6532
2020-01-21,48.4951
2020-01-22,59.1337
2020-01-23,60.73
2020-01-24,57.3995
2020-01-25,57.3995
2020-01-26,57.3995
2020-01-27,53.1958
2020-01-28,54.9041
2020-01-29,56.9862
2020-01-30,58.5398
2020-01-31,56.2752
2020-02-01,56.2752
2020-02-02,56.2752
2020-02-03,55.9553
2020-02-04,56.8436
2020-02-05,59.5744
2020-02-06,58.284
2020-02-07,57.9452
2020-02-08,57.9452
2020-02-09,57.9452
2020-02-10,58.1549
2020-02-11,58.9592
2020-02-12,59.5517
2020-02-13,60.0209
2020-02-14,58.6767
2020-02-15,58.6767
2020-02-16,58.6767
2020-02-17,58.6767
2020-02-18,53.8088
2020-02-19,38.7883
2020-02-20,43.5061
2020-02-21,40.6865
2020-02-22,40.6865
2020-02-23,40.6865
2020-02-24,37.7982
2020-02-25,34.6752
2020-02-26,34.3589
2020-02-27,33.0664
2020-02-28,32.3713
2020-02-29,32.3713
2020-03-01,32.3713
2020-03-02,34.8078
2020-03-03,32.6195
2020-03-04,37.581
2020-03-05,35.1265
2020-03-06,34.2102
2020-03-07,34.2102
2020-03-08,34.2102
2020-03-09,28.5541
2020-03-10,33.3207
2020-03-11,30.6708
2020-03-12,29.0582
2020-03-13,32.2579
2020-03-14,32.2579
2020-03-15,32.2579
2020-03-16,26.6342
2020-03-17,26.6128
2020-03-18,23.0373
2020-03-19,24.5553
2020-03-20,23.5072
2020-03-21,23.5072
2020-03-22,23.5072
2020-03-23,24.7185
2020-03-24,30.3936
2020-03-25,35.3416
2020-03-26,37.1036
2020-03-27,35.3592
2020-03-28,35.3592
2020-03-29,35.3592
2020-03-30,34.815
2020-03-31,33.7521
2020-04-01,32.0462
2020-04-02,32.0936
2020-04-03,31.0098
2020-04-04,31.0098
2020-04-05,31.0098
2020-04-06,35.3412
2020-04-07,36.5596
2020-04-08,38.3725
2020-04-09,41.7147
2020-04-10,41.7147
2020-04-11,41.7147
2020-04-12,41.7147
2020-04-13,40.2017
2020-04-14,39.3943
2020-04-15,38.0541
2020-04-16,37.2672
2020-04-17,41.07
2020-04-18,41.07
2020-04-19,41.07
2020-04-20,40.6197
2020-04-21,39.4045
2020-04-22,39.1815
2020-04-23,39.7983
2020-04-24,39.7983
2020-04-25,39.7983
2020-04-26,39.7983
