,WM US Equity
,RSI_30D
2020-01-01,48.6349
2020-01-02,49.3479
2020-01-03,52.274
2020-01-04,52.274
2020-01-05,52.274
2020-01-06,53.7675
2020-01-07,53.9662
2020-01-08,54.1446
2020-01-09,54.2755
2020-01-10,54.4638
2020-01-11,54.4638
2020-01-12,54.4638
2020-01-13,58.1796
2020-01-14,59.148
2020-01-15,59.5029
2020-01-16,62.3666
2020-01-17,62.7103
2020-01-18,62.7103
2020-01-19,62.7103
2020-01-20,62.7103
2020-01-21,64.3117
2020-01-22,63.9751
2020-01-23,65.6685
2020-01-24,65.1278
2020-01-25,65.1278
2020-01-26,65.1278
2020-01-27,65.5263
2020-01-28,64.9605
2020-01-29,65.875
2020-01-30,68.4884
2020-01-31,64.3025
2020-02-01,64.3025
2020-02-02,64.3025
2020-02-03,66.2929
2020-02-04,66.6235
2020-02-05,68.0535
2020-02-06,68.297
2020-02-07,68.6206
2020-02-08,68.6206
2020-02-09,68.6206
2020-02-10,70.6788
2020-02-11,70.425
2020-02-12,71.535
2020-02-13,65.9284
2020-02-14,68.7216
2020-02-15,68.7216
2020-02-16,68.7216
2020-02-17,68.7216
2020-02-18,69.5209
2020-02-19,65.854
2020-02-20,61.8327
2020-02-21,62.8471
2020-02-22,62.8471
2020-02-23,62.8471
2020-02-24,60.9735
2020-02-25,54.9126
2020-02-26,52.2273
2020-02-27,38.3309
2020-02-28,34.6633
2020-02-29,34.6633
2020-03-01,34.6633
2020-03-02,46.4058
2020-03-03,41.0988
2020-03-04,51.2238
2020-03-05,48.8797
2020-03-06,48.2289
2020-03-07,48.2289
2020-03-08,48.2289
2020-03-09,43.0557
2020-03-10,44.7401
2020-03-11,41.548
2020-03-12,33.01
2020-03-13,40.8088
2020-03-14,40.8088
2020-03-15,40.8088
2020-03-16,37.5677
2020-03-17,45.0798
2020-03-18,41.3923
2020-03-19,40.026
2020-03-20,39.2355
2020-03-21,39.2355
2020-03-22,39.2355
2020-03-23,34.4622
2020-03-24,37.6205
2020-03-25,37.1226
2020-03-26,41.8697
2020-03-27,40.746
2020-03-28,40.746
2020-03-29,40.746
2020-03-30,40.416
2020-03-31,39.4526
2020-04-01,37.5767
2020-04-02,39.5284
2020-04-03,38.5529
2020-04-04,38.5529
2020-04-05,38.5529
2020-04-06,40.188
2020-04-07,40.2893
2020-04-08,43.2662
2020-04-09,46.074
2020-04-10,46.074
2020-04-11,46.074
2020-04-12,46.074
2020-04-13,44.4078
2020-04-14,46.275
2020-04-15,44.6586
2020-04-16,45.2652
