,CC US Equity
,RSI_30D
2020-01-01,56.5448
2020-01-02,56.6043
2020-01-03,52.1407
2020-01-04,52.1407
2020-01-05,52.1407
2020-01-06,53.0894
2020-01-07,52.6575
2020-01-08,53.02
2020-01-09,51.3559
2020-01-10,50.2324
2020-01-11,50.2324
2020-01-12,50.2324
2020-01-13,51.8494
2020-01-14,56.0557
2020-01-15,54.368
2020-01-16,55.2962
2020-01-17,53.0987
2020-01-18,53.0987
2020-01-19,53.0987
2020-01-20,53.0987
2020-01-21,50.295
2020-01-22,48.893
2020-01-23,48.6924
2020-01-24,46.7416
2020-01-25,46.7416
2020-01-26,46.7416
2020-01-27,43.5878
2020-01-28,43.3236
2020-01-29,43.5987
2020-01-30,43.3809
2020-01-31,41.5406
2020-02-01,41.5406
2020-02-02,41.5406
2020-02-03,43.4834
2020-02-04,43.3249
2020-02-05,45.542
2020-02-06,44.9691
2020-02-07,42.9315
2020-02-08,42.9315
2020-02-09,42.9315
2020-02-10,43.1892
2020-02-11,46.6765
2020-02-12,49.174
2020-02-13,49.5127
2020-02-14,60.6381
2020-02-15,60.6381
2020-02-16,60.6381
2020-02-17,60.6381
2020-02-18,57.7484
2020-02-19,58.9962
2020-02-20,60.5393
2020-02-21,59.5967
2020-02-22,59.5967
2020-02-23,59.5967
2020-02-24,56.7492
2020-02-25,50.1133
2020-02-26,48.3086
2020-02-27,44.7237
2020-02-28,46.8223
2020-02-29,46.8223
2020-03-01,46.8223
2020-03-02,45.7636
2020-03-03,46.2316
2020-03-04,47.5769
2020-03-05,47.3637
2020-03-06,43.576
2020-03-07,43.576
2020-03-08,43.576
2020-03-09,37.2663
2020-03-10,40.5718
2020-03-11,38.9336
2020-03-12,36.5564
2020-03-13,39.3793
2020-03-14,39.3793
2020-03-15,39.3793
2020-03-16,37.402
2020-03-17,41.7087
2020-03-18,39.7866
2020-03-19,41.066
2020-03-20,39.2881
2020-03-21,39.2881
2020-03-22,39.2881
2020-03-23,37.8046
2020-03-24,41.1763
2020-03-25,44.2561
2020-03-26,44.1303
2020-03-27,41.8285
2020-03-28,41.8285
2020-03-29,41.8285
2020-03-30,42.2566
2020-03-31,40.8401
2020-04-01,38.6654
2020-04-02,38.6174
2020-04-03,38.2087
2020-04-04,38.2087
2020-04-05,38.2087
2020-04-06,41.0243
2020-04-07,41.7298
2020-04-08,43.9354
2020-04-09,47.3409
2020-04-10,47.3409
2020-04-11,47.3409
2020-04-12,47.3409
2020-04-13,46.4475
2020-04-14,46.7708
2020-04-15,44.6209
2020-04-16,44.0584
2020-04-17,47.1259
2020-04-18,47.1259
2020-04-19,47.1259
2020-04-20,46.7354
2020-04-21,46.2555
2020-04-22,46.2341
2020-04-23,46.9936
2020-04-24,47.6816
2020-04-25,47.6816
2020-04-26,47.6816
2020-04-27,48.7271
2020-04-28,49.1374
2020-04-29,51.9939
2020-04-30,50.1446
2020-05-01,48.201
2020-05-02,48.201
2020-05-03,48.201
2020-05-04,48.1528
2020-05-05,51.3528
2020-05-06,51.6928
2020-05-07,49.8644
2020-05-08,53.0125
2020-05-09,53.0125
2020-05-10,53.0125
2020-05-11,52.2295
2020-05-12,50.5561
2020-05-13,49.3973
2020-05-14,50.1847
2020-05-15,48.9759
2020-05-16,48.9759
2020-05-17,48.9759
2020-05-18,52.9987
2020-05-19,52.0054
2020-05-20,53.3261
2020-05-21,52.4143
2020-05-22,52.2463
2020-05-23,52.2463
2020-05-24,52.2463
2020-05-25,52.2463
2020-05-26,54.557
2020-05-27,56.3615
2020-05-28,54.7919
2020-05-29,53.3704
2020-05-30,53.3704
2020-05-31,53.3704
2020-06-01,54.5164
2020-06-02,56.1171
2020-06-03,57.4548
2020-06-04,59.5793
2020-06-05,61.2037
2020-06-06,61.2037
2020-06-07,61.2037
2020-06-08,63.4345
2020-06-09,60.5043
2020-06-10,58.4403
2020-06-11,51.8478
2020-06-12,54.8581
2020-06-13,54.8581
2020-06-14,54.8581
2020-06-15,55.6166
2020-06-16,57.6463
2020-06-17,56.5964
2020-06-18,55.7818
2020-06-19,56.0981
2020-06-20,56.0981
2020-06-21,56.0981
2020-06-22,55.9876
2020-06-23,55.3115
2020-06-24,53.9085
2020-06-25,55.5192
2020-06-26,52.9927
2020-06-27,52.9927
2020-06-28,52.9927
2020-06-29,54.1317
2020-06-30,54.2273
2020-07-01,51.5855
2020-07-02,54.6414
2020-07-03,54.6414
2020-07-04,54.6414
2020-07-05,54.6414
2020-07-06,55.9769
2020-07-07,54.706
2020-07-08,54.225
2020-07-09,53.1442
2020-07-10,54.5019
2020-07-11,54.5019
2020-07-12,54.5019
2020-07-13,53.8272
2020-07-14,55.5117
2020-07-15,56.288
2020-07-16,56.1929
2020-07-17,55.7706
2020-07-18,55.7706
2020-07-19,55.7706
2020-07-20,54.563
2020-07-21,56.2322
2020-07-22,56.6506
