,AON US Equity
,RSI_30D
2020-01-01,62.2275
2020-01-02,62.7532
2020-01-03,61.3056
2020-01-04,61.3056
2020-01-05,61.3056
2020-01-06,61.9697
2020-01-07,58.8856
2020-01-08,59.8776
2020-01-09,61.5161
2020-01-10,59.7069
2020-01-11,59.7069
2020-01-12,59.7069
2020-01-13,60.8633
2020-01-14,58.4247
2020-01-15,60.0345
2020-01-16,61.2929
2020-01-17,63.1164
2020-01-18,63.1164
2020-01-19,63.1164
2020-01-20,63.1164
2020-01-21,62.0666
2020-01-22,62.7723
2020-01-23,64.0393
2020-01-24,64.3766
2020-01-25,64.3766
2020-01-26,64.3766
2020-01-27,61.6298
2020-01-28,66.2952
2020-01-29,66.3136
2020-01-30,68.9824
2020-01-31,69.8431
2020-02-01,69.8431
2020-02-02,69.8431
2020-02-03,73.2993
2020-02-04,74.3247
2020-02-05,75.3349
2020-02-06,76.0968
2020-02-07,76.4043
2020-02-08,76.4043
2020-02-09,76.4043
2020-02-10,76.9482
2020-02-11,77.0356
2020-02-12,76.4361
2020-02-13,78.5435
2020-02-14,79.1497
2020-02-15,79.1497
2020-02-16,79.1497
2020-02-17,79.1497
2020-02-18,78.2351
2020-02-19,79.3918
2020-02-20,73.5859
2020-02-21,68.8478
2020-02-22,68.8478
2020-02-23,68.8478
2020-02-24,57.6654
2020-02-25,56.668
2020-02-26,56.7131
2020-02-27,46.4554
2020-02-28,43.1387
2020-02-29,43.1387
2020-03-01,43.1387
2020-03-02,53.7175
2020-03-03,49.1805
2020-03-04,55.7731
2020-03-05,50.2769
2020-03-06,49.1425
2020-03-07,49.1425
2020-03-08,49.1425
2020-03-09,34.4831
2020-03-10,36.7515
2020-03-11,37.7566
2020-03-12,34.3095
2020-03-13,36.3803
2020-03-14,36.3803
2020-03-15,36.3803
2020-03-16,34.4189
2020-03-17,32.8161
2020-03-18,30.7276
2020-03-19,29.6235
2020-03-20,29.2795
2020-03-21,29.2795
2020-03-22,29.2795
2020-03-23,28.3728
2020-03-24,38.3499
2020-03-25,37.5885
2020-03-26,38.6994
2020-03-27,38.6213
2020-03-28,38.6213
2020-03-29,38.6213
2020-03-30,41.085
2020-03-31,39.3408
2020-04-01,36.316
2020-04-02,37.8732
2020-04-03,37.0563
2020-04-04,37.0563
2020-04-05,37.0563
2020-04-06,44.5898
2020-04-07,45.5718
2020-04-08,49.5887
2020-04-09,50.8631
2020-04-10,50.8631
2020-04-11,50.8631
2020-04-12,50.8631
2020-04-13,49.0836
2020-04-14,51.4542
2020-04-15,48.3808
2020-04-16,49.0978
2020-04-17,50.5106
2020-04-18,50.5106
2020-04-19,50.5106
2020-04-20,48.9364
2020-04-21,46.7266
2020-04-22,47.8331
2020-04-23,45.8623
2020-04-24,46.1215
2020-04-25,46.1215
2020-04-26,46.1215
2020-04-27,45.3598
2020-04-28,45.1823
2020-04-29,44.6641
2020-04-30,45.6046
2020-05-01,47.6444
2020-05-02,47.6444
2020-05-03,47.6444
2020-05-04,47.4683
2020-05-05,49.386
2020-05-06,47.4441
2020-05-07,50.149
2020-05-08,51.8154
2020-05-09,51.8154
2020-05-10,51.8154
2020-05-11,52.564
2020-05-12,52.9705
2020-05-13,51.835
2020-05-14,53.1214
2020-05-15,52.2398
2020-05-16,52.2398
2020-05-17,52.2398
2020-05-18,54.0446
2020-05-19,53.5185
2020-05-20,53.4068
2020-05-21,52.591
2020-05-22,52.0148
2020-05-23,52.0148
2020-05-24,52.0148
2020-05-25,52.0148
2020-05-26,53.2195
2020-05-27,54.2877
2020-05-28,54.6154
2020-05-29,53.7985
2020-05-30,53.7985
2020-05-31,53.7985
2020-06-01,53.4138
2020-06-02,52.7823
2020-06-03,54.5395
2020-06-04,54.0469
2020-06-05,54.9951
2020-06-06,54.9951
2020-06-07,54.9951
2020-06-08,53.856
2020-06-09,51.9646
2020-06-10,51.4073
2020-06-11,45.686
2020-06-12,46.3272
2020-06-13,46.3272
