,GM US Equity
,RSI_30D
2020-01-01,52.8993
2020-01-02,56.2095
2020-01-03,51.1553
2020-01-04,51.1553
2020-01-05,51.1553
2020-01-06,49.0877
2020-01-07,46.3046
2020-01-08,44.4168
2020-01-09,46.3623
2020-01-10,44.7423
2020-01-11,44.7423
2020-01-12,44.7423
2020-01-13,46.2338
2020-01-14,46.9962
2020-01-15,46.9962
2020-01-16,48.8236
2020-01-17,49.0507
2020-01-18,49.0507
2020-01-19,49.0507
2020-01-20,49.0507
2020-01-21,46.4489
2020-01-22,46.117
2020-01-23,45.9896
2020-01-24,43.6198
2020-01-25,43.6198
2020-01-26,43.6198
2020-01-27,40.2334
2020-01-28,41.4354
2020-01-29,41.286
2020-01-30,40.2722
2020-01-31,40.6075
2020-02-01,40.6075
2020-02-02,40.6075
2020-02-03,42.4456
2020-02-04,45.8598
2020-02-05,49.0355
2020-02-06,46.0705
2020-02-07,43.3585
2020-02-08,43.3585
2020-02-09,43.3585
2020-02-10,46.2573
2020-02-11,49.5324
2020-02-12,51.465
2020-02-13,50.6293
2020-02-14,48.4717
2020-02-15,48.4717
2020-02-16,48.4717
2020-02-17,48.4717
2020-02-18,47.1005
2020-02-19,49.264
2020-02-20,50.775
2020-02-21,48.2061
2020-02-22,48.2061
2020-02-23,48.2061
2020-02-24,42.7521
2020-02-25,38.8467
2020-02-26,39.9062
2020-02-27,36.528
2020-02-28,36.0146
2020-02-29,36.0146
2020-03-01,36.0146
2020-03-02,39.8464
2020-03-03,37.5695
2020-03-04,41.4532
2020-03-05,38.8241
2020-03-06,35.6805
2020-03-07,35.6805
2020-03-08,35.6805
2020-03-09,28.8297
2020-03-10,36.4927
2020-03-11,34.7108
2020-03-12,30.6226
2020-03-13,35.0849
2020-03-14,35.0849
2020-03-15,35.0849
2020-03-16,30.5666
2020-03-17,29.838
2020-03-18,26.4606
2020-03-19,28.6214
2020-03-20,29.632
2020-03-21,29.632
2020-03-22,29.632
2020-03-23,29.0968
2020-03-24,36.7757
2020-03-25,37.5334
2020-03-26,39.6404
2020-03-27,38.1715
2020-03-28,38.1715
2020-03-29,38.1715
2020-03-30,38.0973
2020-03-31,37.4196
2020-04-01,35.5767
2020-04-02,34.3449
2020-04-03,34.1733
2020-04-04,34.1733
2020-04-05,34.1733
2020-04-06,37.4287
2020-04-07,40.9309
2020-04-08,44.3033
2020-04-09,45.9263
2020-04-10,45.9263
2020-04-11,45.9263
2020-04-12,45.9263
2020-04-13,44.4146
2020-04-14,44.3715
2020-04-15,42.4918
2020-04-16,41.4058
2020-04-17,44.4015
2020-04-18,44.4015
2020-04-19,44.4015
2020-04-20,44.2561
2020-04-21,42.6107
2020-04-22,42.7267
2020-04-23,43.1622
2020-04-24,44.0229
2020-04-25,44.0229
2020-04-26,44.0229
2020-04-27,45.0243
2020-04-28,44.5788
2020-04-29,47.7482
2020-04-30,45.255
2020-05-01,43.084
2020-05-02,43.084
2020-05-03,43.084
2020-05-04,42.8545
2020-05-05,43.9055
2020-05-06,45.1935
2020-05-07,46.307
2020-05-08,49.1995
2020-05-09,49.1995
2020-05-10,49.1995
2020-05-11,47.2045
2020-05-12,46.7876
2020-05-13,44.9074
2020-05-14,46.6221
2020-05-15,47.2614
2020-05-16,47.2614
2020-05-17,47.2614
2020-05-18,51.3662
2020-05-19,51.1395
2020-05-20,52.565
2020-05-21,53.1379
2020-05-22,53.4649
2020-05-23,53.4649
2020-05-24,53.4649
2020-05-25,53.4649
2020-05-26,55.9724
2020-05-27,56.6363
2020-05-28,54.2288
2020-05-29,52.5629
2020-05-30,52.5629
2020-05-31,52.5629
2020-06-01,54.4796
2020-06-02,55.3079
2020-06-03,58.094
2020-06-04,58.24
2020-06-05,60.5319
2020-06-06,60.5319
2020-06-07,60.5319
2020-06-08,60.6398
2020-06-09,58.6956
2020-06-10,56.1735
2020-06-11,51.5306
2020-06-12,54.0784
2020-06-13,54.0784
2020-06-14,54.0784
2020-06-15,53.6984
2020-06-16,53.7161
2020-06-17,52.43
2020-06-18,52.2838
2020-06-19,51.2283
2020-06-20,51.2283
2020-06-21,51.2283
2020-06-22,50.7618
2020-06-23,50.5023
