,CNP US Equity
,RSI_30D
2020-01-01,50.6128
2020-01-02,48.525
2020-01-03,47.5112
2020-01-04,47.5112
2020-01-05,47.5112
2020-01-06,47.2559
2020-01-07,48.1211
2020-01-08,46.6053
2020-01-09,45.3836
2020-01-10,44.4324
2020-01-11,44.4324
2020-01-12,44.4324
2020-01-13,44.3043
2020-01-14,47.2908
2020-01-15,49.7831
2020-01-16,50.1418
2020-01-17,50.1418
2020-01-18,50.1418
2020-01-19,50.1418
2020-01-20,50.1418
2020-01-21,49.837
2020-01-22,44.0859
2020-01-23,49.5302
2020-01-24,46.5894
2020-01-25,46.5894
2020-01-26,46.5894
2020-01-27,45.1154
2020-01-28,45.8246
2020-01-29,47.7119
2020-01-30,48.3325
2020-01-31,47.1113
2020-02-01,47.1113
2020-02-02,47.1113
2020-02-03,46.2211
2020-02-04,47.5395
2020-02-05,49.1862
2020-02-06,49.9633
2020-02-07,48.9772
2020-02-08,48.9772
2020-02-09,48.9772
2020-02-10,49.9981
2020-02-11,51.2241
2020-02-12,51.8704
2020-02-13,52.3062
2020-02-14,52.3062
2020-02-15,52.3062
2020-02-16,52.3062
2020-02-17,52.3062
2020-02-18,51.4748
2020-02-19,48.5688
2020-02-20,43.5525
2020-02-21,40.7902
2020-02-22,40.7902
2020-02-23,40.7902
2020-02-24,40.495
2020-02-25,36.5047
2020-02-26,34.5279
2020-02-27,35.2358
2020-02-28,30.3918
2020-02-29,30.3918
2020-03-01,30.3918
2020-03-02,36.2018
2020-03-03,33.6172
2020-03-04,38.6372
2020-03-05,34.3457
2020-03-06,30.889
2020-03-07,30.889
2020-03-08,30.889
2020-03-09,23.2736
2020-03-10,26.8764
2020-03-11,25.0011
2020-03-12,20.9778
2020-03-13,24.0591
2020-03-14,24.0591
2020-03-15,24.0591
2020-03-16,20.3527
2020-03-17,28.4163
2020-03-18,25.7111
2020-03-19,25.4354
2020-03-20,26.2873
2020-03-21,26.2873
2020-03-22,26.2873
2020-03-23,25.8234
2020-03-24,30.9028
