,AGM US Equity
,RSI_30D
2020-01-01,49.2985
2020-01-02,49.0299
2020-01-03,48.9239
2020-01-04,48.9239
2020-01-05,48.9239
2020-01-06,49.1061
2020-01-07,48.4138
2020-01-08,48.1195
2020-01-09,47.0721
2020-01-10,46.2124
2020-01-11,46.2124
2020-01-12,46.2124
2020-01-13,46.4785
2020-01-14,45.5234
2020-01-15,46.4125
2020-01-16,50.1477
2020-01-17,48.0728
2020-01-18,48.0728
2020-01-19,48.0728
2020-01-20,48.0728
2020-01-21,46.0996
2020-01-22,48.3445
2020-01-23,46.3696
2020-01-24,44.6791
2020-01-25,44.6791
2020-01-26,44.6791
2020-01-27,42.5135
2020-01-28,44.051
2020-01-29,40.0465
2020-01-30,37.901
2020-01-31,36.2485
2020-02-01,36.2485
2020-02-02,36.2485
2020-02-03,34.9205
2020-02-04,31.6434
2020-02-05,35.4563
2020-02-06,33.7668
2020-02-07,32.6254
2020-02-08,32.6254
2020-02-09,32.6254
2020-02-10,34.9266
2020-02-11,34.4885
2020-02-12,33.7093
2020-02-13,34.7527
2020-02-14,34.0003
2020-02-15,34.0003
2020-02-16,34.0003
2020-02-17,34.0003
2020-02-18,41.3817
2020-02-19,37.774
2020-02-20,37.1342
2020-02-21,36.6828
2020-02-22,36.6828
2020-02-23,36.6828
2020-02-24,35.8897
2020-02-25,33.213
2020-02-26,44.5868
2020-02-27,42.0927
2020-02-28,45.5628
2020-02-29,45.5628
2020-03-01,45.5628
2020-03-02,45.7912
2020-03-03,45.7345
2020-03-04,45.5158
2020-03-05,41.9598
2020-03-06,42.2504
2020-03-07,42.2504
2020-03-08,42.2504
2020-03-09,39.2637
2020-03-10,40.3951
2020-03-11,35.0569
2020-03-12,27.3593
2020-03-13,29.0083
2020-03-14,29.0083
2020-03-15,29.0083
2020-03-16,25.6954
2020-03-17,32.9008
2020-03-18,29.349
2020-03-19,32.0224
2020-03-20,27.5027
2020-03-21,27.5027
2020-03-22,27.5027
2020-03-23,30.7952
