,CHX US Equity
,RSI_30D
2020-01-01,69.7119
2020-01-02,69.1921
2020-01-03,68.8061
2020-01-04,68.8061
2020-01-05,68.8061
2020-01-06,69.0073
2020-01-07,66.9233
2020-01-08,62.1608
2020-01-09,62.2687
2020-01-10,61.1861
2020-01-11,61.1861
2020-01-12,61.1861
2020-01-13,58.9336
2020-01-14,60.0086
2020-01-15,57.0476
2020-01-16,56.9633
2020-01-17,56.3177
2020-01-18,56.3177
2020-01-19,56.3177
2020-01-20,56.3177
2020-01-21,52.5016
2020-01-22,50.1216
2020-01-23,48.7428
2020-01-24,47.7068
2020-01-25,47.7068
2020-01-26,47.7068
2020-01-27,43.2472
2020-01-28,44.043
2020-01-29,40.7342
2020-01-30,41.1426
2020-01-31,39.0546
2020-02-01,39.0546
2020-02-02,39.0546
2020-02-03,38.9183
2020-02-04,40.1704
2020-02-05,44.6994
2020-02-06,43.8411
2020-02-07,42.868
2020-02-08,42.868
2020-02-09,42.868
2020-02-10,42.6842
2020-02-11,43.3955
2020-02-12,42.9094
2020-02-13,39.3809
2020-02-14,39.2083
2020-02-15,39.2083
2020-02-16,39.2083
2020-02-17,39.2083
2020-02-18,41.6753
2020-02-19,39.7959
2020-02-20,41.8624
2020-02-21,38.9788
2020-02-22,38.9788
2020-02-23,38.9788
2020-02-24,34.8115
2020-02-25,32.2039
2020-02-26,29.9755
2020-02-27,26.4601
2020-02-28,26.9055
2020-02-29,26.9055
2020-03-01,26.9055
2020-03-02,31.1784
2020-03-03,28.9313
2020-03-04,27.9345
2020-03-05,27.3525
2020-03-06,25.0079
2020-03-07,25.0079
2020-03-08,25.0079
2020-03-09,18.5439
2020-03-10,18.1605
2020-03-11,18.2577
2020-03-12,17.2151
2020-03-13,17.2481
2020-03-14,17.2481
2020-03-15,17.2481
2020-03-16,15.8182
2020-03-17,15.3378
2020-03-18,15.1768
2020-03-19,15.347
2020-03-20,15.9402
2020-03-21,15.9402
2020-03-22,15.9402
2020-03-23,15.5425
2020-03-24,19.5889
2020-03-25,24.3329
2020-03-26,26.2192
2020-03-27,25.8007
2020-03-28,25.8007
2020-03-29,25.8007
2020-03-30,25.6486
2020-03-31,25.6375
2020-04-01,26.7912
2020-04-02,29.8164
2020-04-03,29.1147
2020-04-04,29.1147
2020-04-05,29.1147
2020-04-06,30.7685
2020-04-07,31.4052
2020-04-08,35.7744
2020-04-09,37.6142
2020-04-10,37.6142
2020-04-11,37.6142
2020-04-12,37.6142
2020-04-13,37.787
2020-04-14,36.4298
2020-04-15,34.8843
2020-04-16,32.4638
2020-04-17,36.4752
2020-04-18,36.4752
2020-04-19,36.4752
2020-04-20,36.2349
2020-04-21,35.5407
2020-04-22,35.6889
2020-04-23,40.4485
2020-04-24,39.9749
2020-04-25,39.9749
2020-04-26,39.9749
2020-04-27,40.7206
2020-04-28,46.5241
2020-04-29,46.0739
2020-04-30,43.185
2020-05-01,42.6023
2020-05-02,42.6023
2020-05-03,42.6023
2020-05-04,43.0129
2020-05-05,43.2491
2020-05-06,42.1447
2020-05-07,42.9935
2020-05-08,45.5015
2020-05-09,45.5015
2020-05-10,45.5015
2020-05-11,44.447
2020-05-12,44.0376
2020-05-13,42.5442
2020-05-14,43.0579
2020-05-15,42.6199
2020-05-16,42.6199
2020-05-17,42.6199
2020-05-18,44.2621
2020-05-19,43.4129
2020-05-20,44.4557
2020-05-21,44.0004
2020-05-22,43.6353
2020-05-23,43.6353
2020-05-24,43.6353
2020-05-25,43.6353
2020-05-26,44.1783
2020-05-27,44.0492
2020-05-28,44.5188
2020-05-29,45.064
2020-05-30,45.064
2020-05-31,45.064
2020-06-01,45.3418
2020-06-02,48.5069
2020-06-03,49.3144
2020-06-04,51.2747
2020-06-05,54.6137
2020-06-06,54.6137
2020-06-07,54.6137
2020-06-08,58.8371
2020-06-09,55.7473
2020-06-10,52.533
2020-06-11,49.0598
2020-06-12,48.9543
2020-06-13,48.9543
2020-06-14,48.9543
2020-06-15,48.6031
