,EFX US Equity
,RSI_30D
2020-01-01,48.2766
2020-01-02,51.5974
2020-01-03,52.2678
2020-01-04,52.2678
2020-01-05,52.2678
2020-01-06,53.1213
2020-01-07,52.6899
2020-01-08,56.8152
2020-01-09,58.8696
2020-01-10,56.7979
2020-01-11,56.7979
2020-01-12,56.7979
2020-01-13,59.0125
2020-01-14,56.7436
2020-01-15,59.6887
2020-01-16,61.0139
2020-01-17,63.0353
2020-01-18,63.0353
2020-01-19,63.0353
2020-01-20,63.0353
2020-01-21,64.2839
2020-01-22,64.6703
2020-01-23,64.8621
2020-01-24,63.1939
2020-01-25,63.1939
2020-01-26,63.1939
2020-01-27,61.4884
2020-01-28,63.1874
2020-01-29,62.7806
2020-01-30,59.8518
2020-01-31,55.3765
2020-02-01,55.3765
2020-02-02,55.3765
2020-02-03,58.0913
2020-02-04,61.2503
2020-02-05,61.7841
2020-02-06,61.8632
2020-02-07,61.2731
2020-02-08,61.2731
2020-02-09,61.2731
2020-02-10,59.8139
2020-02-11,57.5671
2020-02-12,58.9365
2020-02-13,66.1622
2020-02-14,66.7103
2020-02-15,66.7103
2020-02-16,66.7103
2020-02-17,66.7103
2020-02-18,61.7856
2020-02-19,63.6607
2020-02-20,63.0209
2020-02-21,60.3709
2020-02-22,60.3709
2020-02-23,60.3709
2020-02-24,55.504
2020-02-25,51.563
2020-02-26,52.7495
2020-02-27,44.8827
2020-02-28,42.4747
2020-02-29,42.4747
2020-03-01,42.4747
2020-03-02,50.4383
2020-03-03,51.0669
2020-03-04,58.9712
2020-03-05,55.2914
2020-03-06,52.3163
2020-03-07,52.3163
2020-03-08,52.3163
2020-03-09,44.6836
2020-03-10,51.262
2020-03-11,47.4085
2020-03-12,42.8851
2020-03-13,45.6912
2020-03-14,45.6912
2020-03-15,45.6912
2020-03-16,41.0059
2020-03-17,43.5817
2020-03-18,40.0528
2020-03-19,37.304
2020-03-20,34.5521
2020-03-21,34.5521
2020-03-22,34.5521
2020-03-23,34.276
2020-03-24,38.7211
2020-03-25,39.6827
2020-03-26,42.3756
2020-03-27,41.6937
2020-03-28,41.6937
2020-03-29,41.6937
2020-03-30,42.8489
2020-03-31,41.9553
2020-04-01,40.0074
2020-04-02,38.7139
2020-04-03,37.8943
2020-04-04,37.8943
