,MTG US Equity
,RSI_30D
2020-04-14,38.7596
2020-04-15,38.0369
2020-04-16,36.9672
2020-04-17,39.4017
2020-04-18,39.4017
2020-04-19,39.4017
2020-04-20,38.1406
2020-04-21,37.4179
2020-04-22,39.1226
2020-04-23,39.9684
2020-04-24,40.6086
2020-04-25,40.6086
2020-04-26,40.6086
2020-04-27,42.0576
2020-04-28,43.6064
2020-04-29,46.9003
2020-04-30,45.1896
2020-05-01,43.3344
2020-05-02,43.3344
2020-05-03,43.3344
2020-05-04,42.7801
2020-05-05,43.7315
2020-05-06,43.6011
2020-05-07,46.5683
2020-05-08,45.6636
2020-05-09,45.6636
2020-05-10,45.6636
2020-05-11,45.7056
2020-05-12,44.2557
2020-05-13,43.2856
2020-05-14,44.7618
2020-05-15,44.4715
2020-05-16,44.4715
2020-05-17,44.4715
2020-05-18,46.3173
2020-05-19,46.8963
2020-05-20,50.0676
2020-05-21,49.7767
2020-05-22,48.5268
2020-05-23,48.5268
2020-05-24,48.5268
2020-05-25,48.5268
2020-05-26,51.8615
2020-05-27,55.4447
2020-05-28,51.8668
2020-05-29,50.6865
2020-05-30,50.6865
2020-05-31,50.6865
2020-06-01,52.1873
2020-06-02,52.7452
2020-06-03,53.5672
2020-06-04,54.6794
2020-06-05,56.5112
2020-06-06,56.5112
2020-06-07,56.5112
2020-06-08,58.1578
2020-06-09,54.7196
2020-06-10,52.7504
2020-06-11,49.5332
2020-06-12,51.5106
2020-06-13,51.5106
2020-06-14,51.5106
2020-06-15,51.6953
2020-06-16,52.4449
2020-06-17,51.1716
2020-06-18,50.6789
2020-06-19,49.5278
2020-06-20,49.5278
2020-06-21,49.5278
2020-06-22,50.4019
2020-06-23,50.5285
2020-06-24,47.9537
2020-06-25,48.8814
2020-06-26,46.7078
2020-06-27,46.7078
2020-06-28,46.7078
2020-06-29,48.5821
2020-06-30,49.3715
2020-07-01,48.3895
2020-07-02,48.2169
2020-07-03,48.2169
2020-07-04,48.2169
2020-07-05,48.2169
2020-07-06,48.3123
2020-07-07,45.825
2020-07-08,46.77
2020-07-09,45.307
2020-07-10,46.7267
2020-07-11,46.7267
2020-07-12,46.7267
2020-07-13,46.9809
2020-07-14,46.2502
2020-07-15,49.6427
2020-07-16,48.416
2020-07-17,47.2999
2020-07-18,47.2999
2020-07-19,47.2999
2020-07-20,46.9268
2020-07-21,48.0396
2020-07-22,48.8324
2020-07-23,48.7298
2020-07-24,48.3621
2020-07-25,48.3621
2020-07-26,48.3621
2020-07-27,47.4104
2020-07-28,48.2301
2020-07-29,50.5644
2020-07-30,51.0103
2020-07-31,51.407
2020-08-01,51.407
2020-08-02,51.407
2020-08-03,51.696
2020-08-04,51.4428
2020-08-05,52.5254
2020-08-06,51.8609
2020-08-07,53.3268
2020-08-08,53.3268
2020-08-09,53.3268
2020-08-10,55.9472
2020-08-11,56.1171
2020-08-12,55.2356
2020-08-13,53.0101
2020-08-14,53.6335
2020-08-15,53.6335
2020-08-16,53.6335
2020-08-17,54.1371
2020-08-18,53.0202
2020-08-19,53.0869
2020-08-20,53.009
2020-08-21,52.9287
2020-08-22,52.9287
2020-08-23,52.9287
2020-08-24,55.7723
2020-08-25,55.3505
2020-08-26,54.081
2020-08-27,56.0949
2020-08-28,56.5705
2020-08-29,56.5705
2020-08-30,56.5705
2020-08-31,56.4801
2020-09-01,56.8369
2020-09-02,59.1252
2020-09-03,57.0397
2020-09-04,57.8095
2020-09-05,57.8095
2020-09-06,57.8095
2020-09-07,57.8095
2020-09-08,53.07
2020-09-09,54.7359
2020-09-10,54.3886
2020-09-11,55.8382
2020-09-12,55.8382
2020-09-13,55.8382
2020-09-14,57.8476
2020-09-15,57.6604
2020-09-16,56.6181
2020-09-17,56.9837
2020-09-18,55.343
2020-09-19,55.343
2020-09-20,55.343
2020-09-21,51.2153
2020-09-22,50.6209
2020-09-23,47.7544
2020-09-24,48.1018
2020-09-25,48.6319
2020-09-26,48.6319
2020-09-27,48.6319
2020-09-28,52.6356
2020-09-29,50.1104
2020-09-30,51.0815
2020-10-01,53.5004
2020-10-02,56.9789
2020-10-03,56.9789
2020-10-04,56.9789
2020-10-05,58.2322
2020-10-06,58.7555
2020-10-07,61.9606
2020-10-08,62.9347
2020-10-09,61.8741
2020-10-10,61.8741
2020-10-11,61.8741
2020-10-12,63.3271
2020-10-13,61.4848
2020-10-14,59.5969
2020-10-15,61.0208
2020-10-16,58.6948
2020-10-17,58.6948
2020-10-18,58.6948
2020-10-19,57.3383
2020-10-20,57.4062
2020-10-21,54.1102
2020-10-22,56.6173
2020-10-23,58.6924
2020-10-24,58.6924
2020-10-25,58.6924
2020-10-26,56.1734
2020-10-27,54.5045
2020-10-28,51.1999
2020-10-29,51.847
2020-10-30,54.3521
2020-10-31,54.3521
