,MGY US Equity
,RSI_30D
2020-01-01,63.1367
2020-01-02,63.4654
2020-01-03,65.321
2020-01-04,65.321
2020-01-05,65.321
2020-01-06,66.4162
2020-01-07,64.0897
2020-01-08,58.9619
2020-01-09,59.5203
2020-01-10,59.5203
2020-01-11,59.5203
2020-01-12,59.5203
2020-01-13,57.6321
2020-01-14,58.3161
2020-01-15,58.3161
2020-01-16,58.7123
2020-01-17,57.5798
2020-01-18,57.5798
2020-01-19,57.5798
2020-01-20,57.5798
2020-01-21,55.1582
2020-01-22,52.5597
2020-01-23,48.7579
2020-01-24,46.7465
2020-01-25,46.7465
2020-01-26,46.7465
2020-01-27,44.438
2020-01-28,44.0362
2020-01-29,42.2958
2020-01-30,43.657
2020-01-31,41.1831
2020-02-01,41.1831
2020-02-02,41.1831
2020-02-03,39.5877
2020-02-04,39.9161
2020-02-05,42.1913
2020-02-06,40.3114
2020-02-07,39.297
2020-02-08,39.297
2020-02-09,39.297
2020-02-10,37.0252
2020-02-11,35.6678
2020-02-12,35.412
2020-02-13,34.9581
2020-02-14,36.8714
2020-02-15,36.8714
2020-02-16,36.8714
2020-02-17,36.8714
2020-02-18,33.7869
2020-02-19,34.8441
2020-02-20,32.4057
2020-02-21,30.8271
2020-02-22,30.8271
2020-02-23,30.8271
2020-02-24,28.6839
2020-02-25,25.6009
2020-02-26,25.4047
2020-02-27,24.2514
2020-02-28,29.1329
2020-02-29,29.1329
2020-03-01,29.1329
2020-03-02,30.0862
2020-03-03,30.409
2020-03-04,30.5197
2020-03-05,28.0729
2020-03-06,24.7773
2020-03-07,24.7773
2020-03-08,24.7773
2020-03-09,21.3857
2020-03-10,23.2461
2020-03-11,21.7601
2020-03-12,20.8247
2020-03-13,25.6896
2020-03-14,25.6896
2020-03-15,25.6896
2020-03-16,23.0372
2020-03-17,22.1028
2020-03-18,21.4859
2020-03-19,27.9652
2020-03-20,27.3596
2020-03-21,27.3596
2020-03-22,27.3596
2020-03-23,26.9854
2020-03-24,28.6928
2020-03-25,28.5985
2020-03-26,32.2836
2020-03-27,30.8755
2020-03-28,30.8755
2020-03-29,30.8755
2020-03-30,30.1781
2020-03-31,30.9465
2020-04-01,29.6309
2020-04-02,32.376
2020-04-03,32.1597
2020-04-04,32.1597
2020-04-05,32.1597
2020-04-06,32.1597
2020-04-07,32.6413
2020-04-08,35.7101
2020-04-09,36.5535
2020-04-10,36.5535
2020-04-11,36.5535
2020-04-12,36.5535
2020-04-13,36.4187
2020-04-14,37.3743
2020-04-15,35.7973
