,WDR US Equity
,RSI_30D
2020-01-01,56.5121
2020-01-02,55.8794
2020-01-03,53.2091
2020-01-04,53.2091
2020-01-05,53.2091
2020-01-06,53.2091
2020-01-07,54.288
2020-01-08,54.559
2020-01-09,56.1717
2020-01-10,56.8858
2020-01-11,56.8858
2020-01-12,56.8858
2020-01-13,58.4613
2020-01-14,59.3992
2020-01-15,58.7752
2020-01-16,61.9967
2020-01-17,57.6917
2020-01-18,57.6917
2020-01-19,57.6917
2020-01-20,57.6917
2020-01-21,55.4776
2020-01-22,56.5976
2020-01-23,56.1481
2020-01-24,53.1973
2020-01-25,53.1973
2020-01-26,53.1973
2020-01-27,48.1553
2020-01-28,48.8307
2020-01-29,49.5111
2020-01-30,52.8468
2020-01-31,48.6873
2020-02-01,48.6873
2020-02-02,48.6873
2020-02-03,50.5656
2020-02-04,53.6576
2020-02-05,56.5453
2020-02-06,58.5157
2020-02-07,55.8939
2020-02-08,55.8939
2020-02-09,55.8939
2020-02-10,55.7094
2020-02-11,58.2061
2020-02-12,54.0627
2020-02-13,52.3043
2020-02-14,49.2281
2020-02-15,49.2281
2020-02-16,49.2281
2020-02-17,49.2281
2020-02-18,48.2496
2020-02-19,49.9899
2020-02-20,50.9972
2020-02-21,48.4353
2020-02-22,48.4353
2020-02-23,48.4353
2020-02-24,43.8126
2020-02-25,40.806
2020-02-26,39.9551
2020-02-27,36.2533
2020-02-28,34.7972
2020-02-29,34.7972
2020-03-01,34.7972
2020-03-02,39.0456
2020-03-03,37.82
2020-03-04,40.5976
2020-03-05,38.5208
2020-03-06,36.5849
2020-03-07,36.5849
2020-03-08,36.5849
2020-03-09,32.5549
2020-03-10,34.7124
2020-03-11,30.8725
2020-03-12,27.9659
2020-03-13,35.1153
2020-03-14,35.1153
2020-03-15,35.1153
2020-03-16,33.9633
2020-03-17,42.3221
2020-03-18,41.096
2020-03-19,40.9596
2020-03-20,38.083
2020-03-21,38.083
2020-03-22,38.083
2020-03-23,36.2002
2020-03-24,37.0687
2020-03-25,36.8854
2020-03-26,39.4663
2020-03-27,37.742
2020-03-28,37.742
2020-03-29,37.742
2020-03-30,39.8075
2020-03-31,38.8959
2020-04-01,37.3171
2020-04-02,39.4527
2020-04-03,38.4209
2020-04-04,38.4209
2020-04-05,38.4209
2020-04-06,42.3218
2020-04-07,41.8759
2020-04-08,44.126
2020-04-09,47.858
2020-04-10,47.858
2020-04-11,47.858
2020-04-12,47.858
2020-04-13,46.9694
2020-04-14,49.0133
2020-04-15,47.0588
2020-04-16,46.2574
2020-04-17,48.0866
2020-04-18,48.0866
2020-04-19,48.0866
2020-04-20,48.3033
