,UFS US Equity
,RSI_30D
2020-01-01,59.5723
2020-01-02,58.3505
2020-01-03,55.5982
2020-01-04,55.5982
2020-01-05,55.5982
2020-01-06,51.7642
2020-01-07,51.5911
2020-01-08,56.2476
2020-01-09,56.7029
2020-01-10,55.1056
2020-01-11,55.1056
2020-01-12,55.1056
2020-01-13,57.8434
2020-01-14,58.6133
2020-01-15,58.8499
2020-01-16,61.1167
2020-01-17,62.7767
2020-01-18,62.7767
2020-01-19,62.7767
2020-01-20,62.7767
2020-01-21,58.5172
2020-01-22,61.2665
2020-01-23,59.8086
2020-01-24,52.0765
2020-01-25,52.0765
2020-01-26,52.0765
2020-01-27,47.1436
2020-01-28,49.2513
2020-01-29,47.9833
2020-01-30,46.241
2020-01-31,43.561
2020-02-01,43.561
2020-02-02,43.561
2020-02-03,44.4377
2020-02-04,46.0333
2020-02-05,49.7641
2020-02-06,48.6448
2020-02-07,42.0819
2020-02-08,42.0819
2020-02-09,42.0819
2020-02-10,44.5472
2020-02-11,47.3638
2020-02-12,48.6565
2020-02-13,44.6606
2020-02-14,44.1512
2020-02-15,44.1512
2020-02-16,44.1512
2020-02-17,44.1512
2020-02-18,43.0432
2020-02-19,41.976
2020-02-20,41.7936
2020-02-21,42.6001
2020-02-22,42.6001
2020-02-23,42.6001
2020-02-24,39.6451
2020-02-25,36.5391
2020-02-26,35.4026
2020-02-27,32.5996
2020-02-28,34.0251
2020-02-29,34.0251
2020-03-01,34.0251
2020-03-02,38.5872
2020-03-03,36.6821
2020-03-04,38.0259
2020-03-05,35.7416
2020-03-06,36.9969
2020-03-07,36.9969
2020-03-08,36.9969
2020-03-09,33.6901
2020-03-10,37.353
2020-03-11,32.8557
2020-03-12,30.5413
2020-03-13,40.622
2020-03-14,40.622
2020-03-15,40.622
2020-03-16,37.3685
2020-03-17,44.6293
2020-03-18,39.7338
2020-03-19,38.4348
2020-03-20,36.318
2020-03-21,36.318
2020-03-22,36.318
2020-03-23,33.7678
2020-03-24,35.7122
2020-03-25,37.6698
2020-03-26,39.4664
2020-03-27,38.9067
2020-03-28,38.9067
2020-03-29,38.9067
2020-03-30,39.6631
2020-03-31,39.2566
2020-04-01,37.7347
2020-04-02,39.6338
2020-04-03,39.3764
2020-04-04,39.3764
2020-04-05,39.3764
2020-04-06,41.4296
2020-04-07,40.5882
2020-04-08,43.4019
2020-04-09,43.3261
2020-04-10,43.3261
2020-04-11,43.3261
2020-04-12,43.3261
2020-04-13,43.1054
2020-04-14,42.7083
2020-04-15,41.3551
2020-04-16,40.3911
2020-04-17,42.57
2020-04-18,42.57
2020-04-19,42.57
2020-04-20,41.2098
2020-04-21,40.6875
2020-04-22,41.1122
2020-04-23,41.8366
2020-04-24,42.1748
2020-04-25,42.1748
2020-04-26,42.1748
2020-04-27,44.9406
2020-04-28,47.3442
2020-04-29,49.2848
2020-04-30,46.87
2020-05-01,45.6063
2020-05-02,45.6063
2020-05-03,45.6063
2020-05-04,44.9037
2020-05-05,44.3203
2020-05-06,43.3541
2020-05-07,45.2739
2020-05-08,48.2543
2020-05-09,48.2543
2020-05-10,48.2543
2020-05-11,45.0833
2020-05-12,44.3041
2020-05-13,42.4645
2020-05-14,42.8541
2020-05-15,41.7999
2020-05-16,41.7999
2020-05-17,41.7999
2020-05-18,43.478
2020-05-19,42.1751
2020-05-20,42.6452
2020-05-21,43.8362
2020-05-22,43.1647
2020-05-23,43.1647
2020-05-24,43.1647
2020-05-25,43.1647
2020-05-26,46.9663
2020-05-27,48.1188
2020-05-28,45.9673
2020-05-29,45.0646
2020-05-30,45.0646
2020-05-31,45.0646
2020-06-01,46.1779
2020-06-02,47.7809
2020-06-03,50.864
2020-06-04,51.8502
2020-06-05,52.8125
2020-06-06,52.8125
2020-06-07,52.8125
2020-06-08,54.6205
2020-06-09,52.7658
2020-06-10,49.3193
2020-06-11,46.1508
2020-06-12,47.2215
2020-06-13,47.2215
2020-06-14,47.2215
2020-06-15,50.372
2020-06-16,49.822
2020-06-17,49.4208
2020-06-18,48.4211
2020-06-19,49.4602
2020-06-20,49.4602
2020-06-21,49.4602
2020-06-22,48.3623
2020-06-23,47.9651
2020-06-24,46.6149
2020-06-25,46.3808
2020-06-26,44.0233
2020-06-27,44.0233
2020-06-28,44.0233
2020-06-29,46.9975
2020-06-30,47.0179
2020-07-01,45.3592
2020-07-02,46.1285
2020-07-03,46.1285
2020-07-04,46.1285
2020-07-05,46.1285
2020-07-06,47.1127
2020-07-07,45.2891
2020-07-08,44.3469
2020-07-09,43.8748
2020-07-10,47.3537
2020-07-11,47.3537
2020-07-12,47.3537
2020-07-13,47.4401
2020-07-14,48.8304
2020-07-15,49.1565
2020-07-16,49.7963
2020-07-17,50.812
2020-07-18,50.812
2020-07-19,50.812
2020-07-20,49.3743
2020-07-21,50.8576
2020-07-22,49.3394
2020-07-23,49.3394
2020-07-24,49.7943
2020-07-25,49.7943
2020-07-26,49.7943
2020-07-27,50.4483
2020-07-28,48.7218
2020-07-29,49.4527
2020-07-30,47.4733
2020-07-31,47.5528
2020-08-01,47.5528
2020-08-02,47.5528
2020-08-03,48.1478
2020-08-04,48.3955
2020-08-05,49.5319
2020-08-06,51.5767
2020-08-07,63.6312
2020-08-08,63.6312
2020-08-09,63.6312
2020-08-10,62.5063
2020-08-11,63.5074
2020-08-12,64.0899
2020-08-13,65.4914
2020-08-14,66.4297
