,PRKS US Equity
,RSI_30D
2020-01-01,58.8423
2020-01-02,62.7134
2020-01-03,58.6699
2020-01-04,58.6699
2020-01-05,58.6699
2020-01-06,59.8666
2020-01-07,64.6828
2020-01-08,64.6364
2020-01-09,66.0951
2020-01-10,65.6124
2020-01-11,65.6124
2020-01-12,65.6124
2020-01-13,66.1998
2020-01-14,66.5085
2020-01-15,64.3302
2020-01-16,66.4204
2020-01-17,67.3719
2020-01-18,67.3719
2020-01-19,67.3719
2020-01-20,67.3719
2020-01-21,65.3555
2020-01-22,65.8315
2020-01-23,66.1787
2020-01-24,66.2334
2020-01-25,66.2334
2020-01-26,66.2334
2020-01-27,61.2224
2020-01-28,61.6209
2020-01-29,61.2204
2020-01-30,60.2583
2020-01-31,59.8486
2020-02-01,59.8486
2020-02-02,59.8486
2020-02-03,59.5867
2020-02-04,61.2364
2020-02-05,61.513
2020-02-06,62.073
2020-02-07,61.3801
2020-02-08,61.3801
2020-02-09,61.3801
2020-02-10,63.5546
2020-02-11,64.7789
2020-02-12,65.1067
2020-02-13,65.8946
2020-02-14,67.6275
2020-02-15,67.6275
2020-02-16,67.6275
2020-02-17,67.6275
2020-02-18,62.2167
2020-02-19,62.6917
2020-02-20,58.7099
2020-02-21,55.4179
2020-02-22,55.4179
2020-02-23,55.4179
2020-02-24,46.8528
2020-02-25,38.3606
2020-02-26,33.7854
2020-02-27,33.7854
2020-02-28,32.8383
2020-02-29,32.8383
2020-03-01,32.8383
2020-03-02,31.4045
2020-03-03,28.9483
2020-03-04,28.6317
2020-03-05,23.7751
2020-03-06,23.1475
2020-03-07,23.1475
2020-03-08,23.1475
2020-03-09,18.7671
2020-03-10,22.4534
2020-03-11,21.0098
2020-03-12,18.0946
2020-03-13,19.048
2020-03-14,19.048
2020-03-15,19.048
2020-03-16,17.8459
2020-03-17,16.758
2020-03-18,16.031
2020-03-19,19.0946
2020-03-20,22.3769
2020-03-21,22.3769
2020-03-22,22.3769
2020-03-23,24.3961
2020-03-24,31.2661
2020-03-25,35.5851
2020-03-26,35.3934
2020-03-27,33.6293
2020-03-28,33.6293
2020-03-29,33.6293
2020-03-30,31.4692
2020-03-31,30.9859
2020-04-01,29.9486
2020-04-02,29.6752
2020-04-03,29.1157
2020-04-04,29.1157
2020-04-05,29.1157
2020-04-06,32.3364
2020-04-07,32.2103
2020-04-08,33.3975
2020-04-09,35.6841
2020-04-10,35.6841
2020-04-11,35.6841
2020-04-12,35.6841
2020-04-13,34.5514
2020-04-14,35.0402
2020-04-15,34.0826
2020-04-16,32.7405
2020-04-17,36.2975
2020-04-18,36.2975
2020-04-19,36.2975
2020-04-20,36.2103
2020-04-21,37.541
2020-04-22,37.0743
2020-04-23,39.4761
2020-04-24,39.7185
2020-04-25,39.7185
2020-04-26,39.7185
2020-04-27,43.4866
2020-04-28,44.3406
2020-04-29,47.6896
2020-04-30,45.3587
2020-05-01,44.441
2020-05-02,44.441
2020-05-03,44.441
2020-05-04,45.3094
2020-05-05,44.1098
2020-05-06,44.4593
2020-05-07,46.0002
2020-05-08,46.5524
2020-05-09,46.5524
2020-05-10,46.5524
2020-05-11,44.6961
2020-05-12,42.8452
2020-05-13,41.8125
2020-05-14,43.2065
2020-05-15,45.3147
2020-05-16,45.3147
2020-05-17,45.3147
2020-05-18,49.1039
2020-05-19,49.0484
2020-05-20,51.506
2020-05-21,52.0762
2020-05-22,52.597
2020-05-23,52.597
2020-05-24,52.597
2020-05-25,52.597
2020-05-26,54.8279
2020-05-27,57.0061
2020-05-28,54.0968
2020-05-29,52.8236
2020-05-30,52.8236
2020-05-31,52.8236
2020-06-01,53.2929
2020-06-02,51.2054
2020-06-03,53.5447
2020-06-04,55.1773
2020-06-05,54.6489
2020-06-06,54.6489
2020-06-07,54.6489
2020-06-08,56.9031
2020-06-09,54.9344
2020-06-10,52.7194
2020-06-11,49.3639
2020-06-12,50.5118
2020-06-13,50.5118
2020-06-14,50.5118
2020-06-15,51.4303
2020-06-16,51.2335
2020-06-17,50.1228
2020-06-18,49.8433
2020-06-19,47.6635
2020-06-20,47.6635
2020-06-21,47.6635
2020-06-22,46.3966
2020-06-23,47.6639
2020-06-24,45.1379
2020-06-25,44.8465
2020-06-26,43.733
2020-06-27,43.733
2020-06-28,43.733
2020-06-29,45.9191
2020-06-30,45.9643
2020-07-01,47.9682
2020-07-02,47.1352
2020-07-03,47.1352
2020-07-04,47.1352
2020-07-05,47.1352
2020-07-06,48.1797
2020-07-07,47.7553
2020-07-08,49.213
2020-07-09,46.9953
2020-07-10,48.2599
2020-07-11,48.2599
2020-07-12,48.2599
2020-07-13,47.1395
2020-07-14,46.9013
2020-07-15,52.0109
2020-07-16,51.1919
2020-07-17,50.5063
2020-07-18,50.5063
2020-07-19,50.5063
2020-07-20,49.4557
2020-07-21,50.6785
2020-07-22,50.583
2020-07-23,50.5337
2020-07-24,48.931
2020-07-25,48.931
2020-07-26,48.931
2020-07-27,48.1771
2020-07-28,48.2569
2020-07-29,46.8633
2020-07-30,46.5899
2020-07-31,45.153
2020-08-01,45.153
2020-08-02,45.153
2020-08-03,45.3634
2020-08-04,47.9031
2020-08-05,48.0773
2020-08-06,50.9075
2020-08-07,52.1223
2020-08-08,52.1223
2020-08-09,52.1223
2020-08-10,54.6505
2020-08-11,55.2246
2020-08-12,55.0678
2020-08-13,56.2247
2020-08-14,57.4341
2020-08-15,57.4341
2020-08-16,57.4341
2020-08-17,56.9593
2020-08-18,56.7513
2020-08-19,56.887
2020-08-20,58.2688
2020-08-21,56.4699
2020-08-22,56.4699
2020-08-23,56.4699
2020-08-24,58.1868
2020-08-25,58.8268
2020-08-26,58.4796
2020-08-27,60.869
2020-08-28,62.8823
2020-08-29,62.8823
2020-08-30,62.8823
2020-08-31,59.1577
2020-09-01,59.2607
2020-09-02,60.1439
