,FBK US Equity
,RSI_30D
2020-01-01,56.9688
2020-01-02,56.6054
2020-01-03,55.2207
2020-01-04,55.2207
2020-01-05,55.2207
2020-01-06,52.8284
2020-01-07,49.562
2020-01-08,51.3663
2020-01-09,52.6355
2020-01-10,51.0601
2020-01-11,51.0601
2020-01-12,51.0601
2020-01-13,51.436
2020-01-14,49.5968
2020-01-15,46.931
2020-01-16,51.2203
2020-01-17,51.2203
2020-01-18,51.2203
2020-01-19,51.2203
2020-01-20,51.2203
2020-01-21,47.7577
2020-01-22,47.0647
2020-01-23,47.8475
2020-01-24,45.4159
2020-01-25,45.4159
2020-01-26,45.4159
2020-01-27,41.7571
2020-01-28,39.1471
2020-01-29,36.181
2020-01-30,39.7086
2020-01-31,36.8463
2020-02-01,36.8463
2020-02-02,36.8463
2020-02-03,38.6878
2020-02-04,39.3814
2020-02-05,45.7318
2020-02-06,44.0815
2020-02-07,42.4549
2020-02-08,42.4549
2020-02-09,42.4549
2020-02-10,42.5673
2020-02-11,46.0049
2020-02-12,45.5129
2020-02-13,47.676
2020-02-14,45.2296
2020-02-15,45.2296
2020-02-16,45.2296
2020-02-17,45.2296
2020-02-18,41.8556
2020-02-19,43.2964
2020-02-20,44.9683
2020-02-21,43.8808
2020-02-22,43.8808
2020-02-23,43.8808
2020-02-24,39.7155
2020-02-25,37.3595
2020-02-26,36.7474
2020-02-27,33.6002
2020-02-28,31.9555
2020-02-29,31.9555
2020-03-01,31.9555
2020-03-02,35.6419
2020-03-03,31.4072
2020-03-04,30.8813
2020-03-05,27.7093
2020-03-06,26.1379
2020-03-07,26.1379
2020-03-08,26.1379
2020-03-09,22.8218
2020-03-10,24.949
2020-03-11,21.9432
2020-03-12,18.7137
2020-03-13,22.4193
2020-03-14,22.4193
2020-03-15,22.4193
2020-03-16,19.0028
2020-03-17,19.8998
2020-03-18,16.7113
2020-03-19,25.8511
2020-03-20,25.0304
2020-03-21,25.0304
2020-03-22,25.0304
2020-03-23,24.5281
2020-03-24,27.5122
2020-03-25,29.1994
2020-03-26,32.8436
2020-03-27,32.2076
2020-03-28,32.2076
2020-03-29,32.2076
2020-03-30,32.377
2020-03-31,32.246
2020-04-01,30.7046
2020-04-02,30.6128
2020-04-03,32.031
