,TAP US Equity
,RSI_30D
2020-01-01,48.6479
2020-01-02,47.5827
2020-01-03,47.1085
2020-01-04,47.1085
2020-01-05,47.1085
2020-01-06,51.0513
2020-01-07,50.6141
2020-01-08,52.2165
2020-01-09,52.0189
2020-01-10,52.3609
2020-01-11,52.3609
2020-01-12,52.3609
2020-01-13,53.3614
2020-01-14,55.0696
2020-01-15,54.9581
2020-01-16,56.9143
2020-01-17,56.9143
2020-01-18,56.9143
2020-01-19,56.9143
2020-01-20,56.9143
2020-01-21,56.6308
2020-01-22,56.5476
2020-01-23,57.3899
2020-01-24,54.7709
2020-01-25,54.7709
2020-01-26,54.7709
2020-01-27,54.0303
2020-01-28,54.56
2020-01-29,55.3057
2020-01-30,55.1275
2020-01-31,52.1699
2020-02-01,52.1699
2020-02-02,52.1699
2020-02-03,54.8594
2020-02-04,56.9191
2020-02-05,60.3789
2020-02-06,58.117
2020-02-07,58.9731
2020-02-08,58.9731
2020-02-09,58.9731
2020-02-10,59.1582
2020-02-11,59.8145
2020-02-12,49.7682
2020-02-13,49.298
2020-02-14,48.9222
2020-02-15,48.9222
2020-02-16,48.9222
2020-02-17,48.9222
2020-02-18,46.2691
2020-02-19,47.8419
2020-02-20,49.7186
2020-02-21,49.3031
2020-02-22,49.3031
2020-02-23,49.3031
2020-02-24,45.7133
2020-02-25,38.3468
2020-02-26,39.5076
2020-02-27,35.7439
2020-02-28,34.9475
2020-02-29,34.9475
2020-03-01,34.9475
2020-03-02,41.2748
2020-03-03,39.0676
2020-03-04,45.0071
2020-03-05,40.3258
2020-03-06,37.7005
2020-03-07,37.7005
2020-03-08,37.7005
2020-03-09,30.7923
2020-03-10,33.0138
2020-03-11,29.707
2020-03-12,27.2738
2020-03-13,36.1365
2020-03-14,36.1365
2020-03-15,36.1365
2020-03-16,35.3753
2020-03-17,39.358
2020-03-18,35.6033
2020-03-19,33.7765
2020-03-20,32.3854
2020-03-21,32.3854
2020-03-22,32.3854
2020-03-23,30.4206
2020-03-24,35.3794
2020-03-25,35.4938
2020-03-26,37.2664
2020-03-27,36.7251
2020-03-28,36.7251
2020-03-29,36.7251
2020-03-30,40.3126
2020-03-31,38.9954
2020-04-01,37.8451
2020-04-02,41.1723
2020-04-03,42.6639
2020-04-04,42.6639
2020-04-05,42.6639
2020-04-06,45.3464
2020-04-07,46.2141
2020-04-08,48.9933
2020-04-09,51.2143
2020-04-10,51.2143
2020-04-11,51.2143
2020-04-12,51.2143
2020-04-13,48.305
2020-04-14,50.2105
2020-04-15,47.8896
2020-04-16,46.2831
2020-04-17,47.8154
2020-04-18,47.8154
2020-04-19,47.8154
2020-04-20,46.7996
2020-04-21,45.2466
2020-04-22,45.2466
2020-04-23,44.9822
2020-04-24,46.6095
2020-04-25,46.6095
2020-04-26,46.6095
2020-04-27,48.7197
2020-04-28,49.8372
2020-04-29,50.7899
2020-04-30,44.5963
2020-05-01,42.4284
2020-05-02,42.4284
2020-05-03,42.4284
2020-05-04,41.696
2020-05-05,40.9449
2020-05-06,41.295
2020-05-07,41.2107
2020-05-08,43.1455
2020-05-09,43.1455
2020-05-10,43.1455
2020-05-11,42.7506
2020-05-12,41.7897
2020-05-13,40.1742
2020-05-14,40.2879
2020-05-15,40.3883
2020-05-16,40.3883
2020-05-17,40.3883
2020-05-18,43.9646
2020-05-19,43.0894
2020-05-20,43.1869
2020-05-21,41.8279
2020-05-22,41.8967
2020-05-23,41.8967
2020-05-24,41.8967
2020-05-25,41.8967
2020-05-26,41.769
2020-05-27,46.8173
2020-05-28,44.9554
2020-05-29,44.4424
2020-05-30,44.4424
2020-05-31,44.4424
2020-06-01,44.4592
2020-06-02,46.7112
2020-06-03,48.6573
2020-06-04,51.3252
2020-06-05,51.4579
2020-06-06,51.4579
2020-06-07,51.4579
2020-06-08,52.8896
2020-06-09,50.3251
2020-06-10,47.0475
2020-06-11,43.2288
2020-06-12,45.5534
2020-06-13,45.5534
2020-06-14,45.5534
2020-06-15,45.8744
2020-06-16,48.1913
2020-06-17,46.8051
2020-06-18,47.2773
2020-06-19,45.8511
2020-06-20,45.8511
2020-06-21,45.8511
2020-06-22,45.7424
2020-06-23,45.7756
2020-06-24,43.7369
2020-06-25,42.5112
2020-06-26,41.0244
2020-06-27,41.0244
2020-06-28,41.0244
2020-06-29,42.8057
2020-06-30,41.42
2020-07-01,42.6875
2020-07-02,43.1961
2020-07-03,43.1961
2020-07-04,43.1961
2020-07-05,43.1961
2020-07-06,43.7858
2020-07-07,42.364
2020-07-08,42.5184
2020-07-09,40.4306
2020-07-10,43.1628
2020-07-11,43.1628
2020-07-12,43.1628
2020-07-13,42.6745
2020-07-14,44.1358
2020-07-15,45.442
2020-07-16,46.0097
2020-07-17,46.0291
2020-07-18,46.0291
2020-07-19,46.0291
2020-07-20,44.2554
2020-07-21,45.9511
2020-07-22,45.8662
2020-07-23,47.375
2020-07-24,47.266
2020-07-25,47.266
2020-07-26,47.266
2020-07-27,46.6368
2020-07-28,47.0017
2020-07-29,47.8907
2020-07-30,49.4108
2020-07-31,49.5822
2020-08-01,49.5822
2020-08-02,49.5822
2020-08-03,48.0861
2020-08-04,47.9596
2020-08-05,47.4858
2020-08-06,47.5832
2020-08-07,49.2862
2020-08-08,49.2862
2020-08-09,49.2862
2020-08-10,50.7753
2020-08-11,51.5001
2020-08-12,52.0189
2020-08-13,50.4459
2020-08-14,50.1172
2020-08-15,50.1172
2020-08-16,50.1172
2020-08-17,50.2719
2020-08-18,50.325
2020-08-19,50.5709
2020-08-20,48.661
2020-08-21,47.6889
2020-08-22,47.6889
2020-08-23,47.6889
2020-08-24,51.1126
2020-08-25,50.0026
