,NI US Equity
,RSI_30D
2020-01-01,53.265
2020-01-02,47.7185
2020-01-03,49.5307
2020-01-04,49.5307
2020-01-05,49.5307
2020-01-06,49.4501
2020-01-07,51.413
2020-01-08,51.6558
2020-01-09,52.3939
2020-01-10,51.4016
2020-01-11,51.4016
2020-01-12,51.4016
2020-01-13,53.2342
2020-01-14,55.7451
2020-01-15,59.3442
2020-01-16,60.3259
2020-01-17,61.6046
2020-01-18,61.6046
2020-01-19,61.6046
2020-01-20,61.6046
2020-01-21,62.5414
2020-01-22,61.2027
2020-01-23,62.0431
2020-01-24,60.8885
2020-01-25,60.8885
2020-01-26,60.8885
2020-01-27,58.929
2020-01-28,60.5201
2020-01-29,60.9958
2020-01-30,60.0336
2020-01-31,61.4996
2020-02-01,61.4996
2020-02-02,61.4996
2020-02-03,64.5722
2020-02-04,61.3035
2020-02-05,63.1107
2020-02-06,63.5958
2020-02-07,63.0596
2020-02-08,63.0596
2020-02-09,63.0596
2020-02-10,64.7325
2020-02-11,65.1557
2020-02-12,64.0204
2020-02-13,66.213
2020-02-14,66.3309
2020-02-15,66.3309
2020-02-16,66.3309
2020-02-17,66.3309
2020-02-18,66.3309
2020-02-19,64.058
2020-02-20,64.2581
2020-02-21,62.2278
2020-02-22,62.2278
2020-02-23,62.2278
2020-02-24,55.5046
2020-02-25,48.0832
2020-02-26,43.7055
2020-02-27,40.9507
2020-02-28,39.354
2020-02-29,39.354
2020-03-01,39.354
2020-03-02,50.3652
2020-03-03,49.2832
2020-03-04,57.1185
2020-03-05,55.7343
2020-03-06,54.7203
2020-03-07,54.7203
2020-03-08,54.7203
2020-03-09,45.7544
2020-03-10,49.7485
2020-03-11,44.0131
2020-03-12,34.9674
2020-03-13,39.7887
2020-03-14,39.7887
2020-03-15,39.7887
2020-03-16,31.077
2020-03-17,42.2714
2020-03-18,40.455
2020-03-19,40.015
2020-03-20,36.0281
2020-03-21,36.0281
2020-03-22,36.0281
2020-03-23,35.8092
2020-03-24,38.7783
2020-03-25,41.1007
2020-03-26,45.2528
2020-03-27,45.736
2020-03-28,45.736
2020-03-29,45.736
2020-03-30,48.6809
2020-03-31,46.4863
2020-04-01,43.0329
2020-04-02,44.0018
2020-04-03,42.2722
2020-04-04,42.2722
2020-04-05,42.2722
2020-04-06,46.734
2020-04-07,45.9493
2020-04-08,48.7033
2020-04-09,50.8191
2020-04-10,50.8191
2020-04-11,50.8191
2020-04-12,50.8191
2020-04-13,49.1746
2020-04-14,50.894
2020-04-15,48.7026
2020-04-16,49.6232
2020-04-17,50.485
2020-04-18,50.485
2020-04-19,50.485
2020-04-20,48.7592
2020-04-21,48.5684
2020-04-22,49.8476
2020-04-23,49.524
2020-04-24,49.9025
2020-04-25,49.9025
2020-04-26,49.9025
2020-04-27,50.3731
2020-04-28,51.6542
2020-04-29,50.0598
2020-04-30,48.2792
2020-05-01,46.9315
2020-05-02,46.9315
2020-05-03,46.9315
2020-05-04,46.7837
2020-05-05,47.1037
2020-05-06,43.7347
2020-05-07,43.6945
2020-05-08,44.667
2020-05-09,44.667
2020-05-10,44.667
2020-05-11,45.2486
2020-05-12,43.6937
2020-05-13,42.9306
2020-05-14,43.1588
2020-05-15,42.8926
2020-05-16,42.8926
2020-05-17,42.8926
2020-05-18,45.2222
2020-05-19,44.9378
2020-05-20,45.0272
