,BCO US Equity
,RSI_30D
2020-01-01,54.3452
2020-01-02,57.2383
2020-01-03,55.6806
2020-01-04,55.6806
2020-01-05,55.6806
2020-01-06,58.4233
2020-01-07,57.119
2020-01-08,59.3329
2020-01-09,61.9645
2020-01-10,63.0212
2020-01-11,63.0212
2020-01-12,63.0212
2020-01-13,62.1887
2020-01-14,57.9281
2020-01-15,55.1513
2020-01-16,57.3012
2020-01-17,53.7096
2020-01-18,53.7096
2020-01-19,53.7096
2020-01-20,53.7096
2020-01-21,52.4486
2020-01-22,49.8441
2020-01-23,50.2758
2020-01-24,49.3961
2020-01-25,49.3961
2020-01-26,49.3961
2020-01-27,48.644
2020-01-28,47.926
2020-01-29,43.7622
2020-01-30,43.4727
2020-01-31,39.7004
2020-02-01,39.7004
2020-02-02,39.7004
2020-02-03,42.4093
2020-02-04,46.207
2020-02-05,47.6254
2020-02-06,37.9099
2020-02-07,40.9216
2020-02-08,40.9216
2020-02-09,40.9216
2020-02-10,40.3002
2020-02-11,43.8897
2020-02-12,44.3533
2020-02-13,43.3047
2020-02-14,44.1404
2020-02-15,44.1404
2020-02-16,44.1404
2020-02-17,44.1404
2020-02-18,44.05
2020-02-19,44.6698
2020-02-20,44.7554
2020-02-21,44.1481
2020-02-22,44.1481
2020-02-23,44.1481
2020-02-24,42.1002
2020-02-25,39.0331
2020-02-26,46.8764
2020-02-27,42.2319
2020-02-28,39.4668
2020-02-29,39.4668
2020-03-01,39.4668
2020-03-02,44.0559
2020-03-03,41.2651
2020-03-04,45.0333
2020-03-05,44.0133
2020-03-06,42.4305
2020-03-07,42.4305
2020-03-08,42.4305
2020-03-09,35.5784
2020-03-10,37.9237
2020-03-11,32.8523
2020-03-12,29.189
2020-03-13,35.6078
2020-03-14,35.6078
2020-03-15,35.6078
2020-03-16,31.8687
2020-03-17,32.0599
2020-03-18,29.5624
2020-03-19,28.6615
2020-03-20,27.5593
2020-03-21,27.5593
2020-03-22,27.5593
2020-03-23,26.3508
2020-03-24,29.2137
2020-03-25,33.9597
2020-03-26,37.554
2020-03-27,36.1403
2020-03-28,36.1403
2020-03-29,36.1403
2020-03-30,39.0359
2020-03-31,37.5857
2020-04-01,35.1571
2020-04-02,35.2987
2020-04-03,34.0513
2020-04-04,34.0513
2020-04-05,34.0513
2020-04-06,36.1534
2020-04-07,36.4958
2020-04-08,37.6066
2020-04-09,40.8265
2020-04-10,40.8265
2020-04-11,40.8265
2020-04-12,40.8265
2020-04-13,39.7625
2020-04-14,41.3956
2020-04-15,40.1746
2020-04-16,40.3698
2020-04-17,42.7582
2020-04-18,42.7582
2020-04-19,42.7582
2020-04-20,41.3338
2020-04-21,40.5614
2020-04-22,40.1785
2020-04-23,39.4143
2020-04-24,37.6705
2020-04-25,37.6705
2020-04-26,37.6705
2020-04-27,40.8024
2020-04-28,40.9243
2020-04-29,45.0291
2020-04-30,43.7149
2020-05-01,42.3153
2020-05-02,42.3153
2020-05-03,42.3153
2020-05-04,41.0954
2020-05-05,42.5393
2020-05-06,38.6463
2020-05-07,38.7746
2020-05-08,38.6492
2020-05-09,38.6492
2020-05-10,38.6492
2020-05-11,37.1626
2020-05-12,36.6644
2020-05-13,35.465
2020-05-14,35.45
2020-05-15,38.0114
2020-05-16,38.0114
2020-05-17,38.0114
2020-05-18,41.1656
2020-05-19,39.2676
2020-05-20,41.5587
2020-05-21,42.0567
2020-05-22,41.6594
2020-05-23,41.6594
2020-05-24,41.6594
2020-05-25,41.6594
2020-05-26,43.1084
2020-05-27,44.8627
2020-05-28,42.9954
2020-05-29,42.1689
2020-05-30,42.1689
2020-05-31,42.1689
2020-06-01,43.4635
2020-06-02,44.1106
2020-06-03,46.3748
2020-06-04,47.7878
2020-06-05,51.0368
2020-06-06,51.0368
2020-06-07,51.0368
2020-06-08,53.1127
2020-06-09,51.5913
2020-06-10,49.9097
2020-06-11,47.1689
2020-06-12,48.4214
2020-06-13,48.4214
2020-06-14,48.4214
2020-06-15,48.6656
2020-06-16,49.1481
2020-06-17,48.0259
2020-06-18,47.8212
2020-06-19,45.7232
2020-06-20,45.7232
2020-06-21,45.7232
2020-06-22,45.4005
2020-06-23,46.8639
2020-06-24,45.2393
2020-06-25,46.0315
2020-06-26,46.0002
2020-06-27,46.0002
2020-06-28,46.0002
2020-06-29,47.7722
2020-06-30,47.5131
2020-07-01,46.594
2020-07-02,46.0529
2020-07-03,46.0529
2020-07-04,46.0529
2020-07-05,46.0529
2020-07-06,46.9688
2020-07-07,45.3667
2020-07-08,45.9848
2020-07-09,43.4584
2020-07-10,43.844
2020-07-11,43.844
2020-07-12,43.844
2020-07-13,43.7155
2020-07-14,42.7817
2020-07-15,44.9987
2020-07-16,44.1366
2020-07-17,43.7393
2020-07-18,43.7393
2020-07-19,43.7393
2020-07-20,42.8683
2020-07-21,42.056
2020-07-22,42.4695
2020-07-23,43.068
2020-07-24,42.0813
2020-07-25,42.0813
2020-07-26,42.0813
2020-07-27,42.6806
2020-07-28,42.5794
2020-07-29,53.6965
2020-07-30,51.8079
2020-07-31,49.8319
2020-08-01,49.8319
2020-08-02,49.8319
2020-08-03,49.1029
2020-08-04,49.6457
2020-08-05,51.7153
2020-08-06,52.5246
2020-08-07,52.7472
2020-08-08,52.7472
2020-08-09,52.7472
2020-08-10,55.2432
2020-08-11,54.7466
2020-08-12,54.159
2020-08-13,52.0705
2020-08-14,51.9184
2020-08-15,51.9184
2020-08-16,51.9184
2020-08-17,50.5323
2020-08-18,49.9131
2020-08-19,50.5283
2020-08-20,49.4528
2020-08-21,48.7056
2020-08-22,48.7056
2020-08-23,48.7056
2020-08-24,52.155
2020-08-25,52.536
2020-08-26,52.0939
2020-08-27,55.0086
2020-08-28,55.6702
2020-08-29,55.6702
2020-08-30,55.6702
2020-08-31,53.2016
2020-09-01,49.5382
2020-09-02,52.7232
2020-09-03,50.4335
2020-09-04,50.832
2020-09-05,50.832
2020-09-06,50.832
2020-09-07,50.832
2020-09-08,50.0003
2020-09-09,49.5806
2020-09-10,48.6396
2020-09-11,49.278
2020-09-12,49.278
2020-09-13,49.278
2020-09-14,50.3755
2020-09-15,49.1724
2020-09-16,49.7666
2020-09-17,50.1417
2020-09-18,49.5808
2020-09-19,49.5808
2020-09-20,49.5808
2020-09-21,47.1332
2020-09-22,46.0095
2020-09-23,42.5509
2020-09-24,42.324
2020-09-25,43.294
2020-09-26,43.294
2020-09-27,43.294
2020-09-28,43.9079
2020-09-29,42.7897
2020-09-30,44.8493
2020-10-01,46.5319
2020-10-02,50.9878
2020-10-03,50.9878
2020-10-04,50.9878
2020-10-05,52.1313
2020-10-06,53.5112
2020-10-07,53.679
2020-10-08,55.1728
2020-10-09,55.5942
2020-10-10,55.5942
2020-10-11,55.5942
2020-10-12,56.0476
2020-10-13,52.9027
2020-10-14,51.6101
2020-10-15,50.1922
2020-10-16,49.5109
2020-10-17,49.5109
2020-10-18,49.5109
2020-10-19,49.5263
2020-10-20,51.881
2020-10-21,50.2537
2020-10-22,51.1678
2020-10-23,53.1565
2020-10-24,53.1565
2020-10-25,53.1565
2020-10-26,51.9958
2020-10-27,48.7251
2020-10-28,47.6522
2020-10-29,46.2804
2020-10-30,46.0926
2020-10-31,46.0926
2020-11-01,46.0926
2020-11-02,45.7674
2020-11-03,51.7109
2020-11-04,51.7256
2020-11-05,56.7204
2020-11-06,55.5765
2020-11-07,55.5765
2020-11-08,55.5765
2020-11-09,60.8198
2020-11-10,61.1996
2020-11-11,60.0783
2020-11-12,60.7664
2020-11-13,62.306
2020-11-14,62.306
2020-11-15,62.306
2020-11-16,65.8762
2020-11-17,68.2953
2020-11-18,69.1061
2020-11-19,70.0688
2020-11-20,70.6412
2020-11-21,70.6412
2020-11-22,70.6412
2020-11-23,73.6881
2020-11-24,75.5646
2020-11-25,71.3882
2020-11-26,71.3882
2020-11-27,69.9428
2020-11-28,69.9428
2020-11-29,69.9428
2020-11-30,66.981
2020-12-01,68.2052
2020-12-02,69.2025
2020-12-03,69.6082
2020-12-04,71.383
2020-12-05,71.383
2020-12-06,71.383
2020-12-07,66.1878
