,ONB US Equity
,RSI_30D
2020-01-01,58.5762
2020-01-02,59.0488
2020-01-03,57.5213
2020-01-04,57.5213
2020-01-05,57.5213
2020-01-06,56.8452
2020-01-07,55.0059
2020-01-08,57.3424
2020-01-09,56.8335
2020-01-10,54.9829
2020-01-11,54.9829
2020-01-12,54.9829
2020-01-13,56.7064
2020-01-14,57.4836
2020-01-15,54.4501
2020-01-16,57.5406
2020-01-17,58.7471
2020-01-18,58.7471
2020-01-19,58.7471
2020-01-20,58.7471
2020-01-21,49.4453
2020-01-22,51.5531
2020-01-23,53.4431
2020-01-24,53.4431
2020-01-25,53.4431
2020-01-26,53.4431
2020-01-27,51.952
2020-01-28,52.5742
2020-01-29,51.0691
2020-01-30,53.5692
2020-01-31,49.7558
2020-02-01,49.7558
2020-02-02,49.7558
2020-02-03,50.7562
2020-02-04,51.1336
2020-02-05,55.9112
2020-02-06,53.6609
2020-02-07,52.5036
2020-02-08,52.5036
2020-02-09,52.5036
2020-02-10,52.116
2020-02-11,52.8363
2020-02-12,53.2005
2020-02-13,55.3407
2020-02-14,53.6487
2020-02-15,53.6487
2020-02-16,53.6487
2020-02-17,53.6487
2020-02-18,50.8985
2020-02-19,50.9619
2020-02-20,52.4857
2020-02-21,50.9834
2020-02-22,50.9834
2020-02-23,50.9834
2020-02-24,46.4792
2020-02-25,41.6189
2020-02-26,41.3273
2020-02-27,36.6367
2020-02-28,30.9643
2020-02-29,30.9643
2020-03-01,30.9643
2020-03-02,41.577
2020-03-03,39.7421
2020-03-04,43.6487
2020-03-05,39.8069
2020-03-06,36.9025
2020-03-07,36.9025
2020-03-08,36.9025
2020-03-09,28.9368
2020-03-10,34.6629
2020-03-11,31.9286
2020-03-12,29.9719
2020-03-13,40.7942
2020-03-14,40.7942
2020-03-15,40.7942
2020-03-16,37.5338
2020-03-17,42.907
2020-03-18,39.552
2020-03-19,39.7431
2020-03-20,37.075
2020-03-21,37.075
2020-03-22,37.075
2020-03-23,34.1383
2020-03-24,38.3987
2020-03-25,36.0272
2020-03-26,39.9088
2020-03-27,39.7181
2020-03-28,39.7181
2020-03-29,39.7181
2020-03-30,41.334
2020-03-31,40.6974
2020-04-01,38.8946
2020-04-02,40.2215
2020-04-03,38.8968
2020-04-04,38.8968
2020-04-05,38.8968
2020-04-06,41.1164
2020-04-07,41.6227
2020-04-08,44.0685
2020-04-09,47.7889
2020-04-10,47.7889
2020-04-11,47.7889
2020-04-12,47.7889
2020-04-13,45.1014
2020-04-14,44.4396
2020-04-15,42.5043
2020-04-16,41.575
2020-04-17,44.8124
2020-04-18,44.8124
2020-04-19,44.8124
2020-04-20,44.7198
2020-04-21,44.3718
2020-04-22,43.9218
2020-04-23,44.0476
2020-04-24,44.6046
2020-04-25,44.6046
2020-04-26,44.6046
2020-04-27,47.4558
2020-04-28,48.6337
2020-04-29,50.3132
2020-04-30,48.3361
2020-05-01,45.9474
2020-05-02,45.9474
2020-05-03,45.9474
2020-05-04,45.2004
2020-05-05,44.5727
2020-05-06,42.8623
2020-05-07,42.6929
2020-05-08,46.7444
2020-05-09,46.7444
2020-05-10,46.7444
2020-05-11,44.8064
2020-05-12,42.7718
2020-05-13,40.8228
2020-05-14,42.3994
2020-05-15,42.1413
2020-05-16,42.1413
2020-05-17,42.1413
2020-05-18,45.9889
2020-05-19,43.6812
2020-05-20,47.1546
2020-05-21,47.2502
2020-05-22,47.0214
2020-05-23,47.0214
2020-05-24,47.0214
2020-05-25,47.0214
2020-05-26,50.0438
2020-05-27,53.2097
2020-05-28,50.6985
2020-05-29,49.5661
2020-05-30,49.5661
2020-05-31,49.5661
2020-06-01,49.64
2020-06-02,49.6781
2020-06-03,52.2581
2020-06-04,53.5436
2020-06-05,56.6309
2020-06-06,56.6309
2020-06-07,56.6309
2020-06-08,57.4262
2020-06-09,55.5912
2020-06-10,52.0141
2020-06-11,48.2191
2020-06-12,49.6746
2020-06-13,49.6746
2020-06-14,49.6746
2020-06-15,49.1862
2020-06-16,51.1384
2020-06-17,49.3724
2020-06-18,49.645
2020-06-19,49.4247
2020-06-20,49.4247
2020-06-21,49.4247
2020-06-22,49.7323
2020-06-23,48.9433
2020-06-24,47.1504
2020-06-25,48.3052
2020-06-26,46.109
2020-06-27,46.109
2020-06-28,46.109
2020-06-29,48.8026
2020-06-30,49.7475
2020-07-01,47.5535
2020-07-02,47.4043
2020-07-03,47.4043
2020-07-04,47.4043
2020-07-05,47.4043
