,TPX US Equity
,RSI_30D
2020-01-01,54.3457
2020-01-02,53.674
2020-01-03,51.2573
2020-01-04,51.2573
2020-01-05,51.2573
2020-01-06,53.321
2020-01-07,49.3458
2020-01-08,50.5311
2020-01-09,50.6059
2020-01-10,50.8936
2020-01-11,50.8936
2020-01-12,50.8936
2020-01-13,54.2056
2020-01-14,54.9048
2020-01-15,55.2757
2020-01-16,54.5246
2020-01-17,55.1549
2020-01-18,55.1549
2020-01-19,55.1549
2020-01-20,55.1549
2020-01-21,56.2437
2020-01-22,56.1719
2020-01-23,55.4164
2020-01-24,53.4261
2020-01-25,53.4261
2020-01-26,53.4261
2020-01-27,55.7816
2020-01-28,62.2537
2020-01-29,63.4458
2020-01-30,63.6156
2020-01-31,59.5382
2020-02-01,59.5382
2020-02-02,59.5382
2020-02-03,60.217
2020-02-04,62.8539
2020-02-05,59.823
2020-02-06,60.003
2020-02-07,55.3822
2020-02-08,55.3822
2020-02-09,55.3822
2020-02-10,55.118
2020-02-11,58.3153
2020-02-12,61.5034
2020-02-13,61.1835
2020-02-14,63.0521
2020-02-15,63.0521
2020-02-16,63.0521
2020-02-17,63.0521
2020-02-18,60.2842
2020-02-19,59.7416
2020-02-20,59.2746
2020-02-21,53.1061
2020-02-22,53.1061
2020-02-23,53.1061
2020-02-24,45.9925
2020-02-25,40.4058
2020-02-26,38.3627
2020-02-27,35.9164
2020-02-28,33.5029
2020-02-29,33.5029
2020-03-01,33.5029
2020-03-02,37.8988
2020-03-03,38.6086
2020-03-04,44.1192
2020-03-05,36.9579
2020-03-06,37.2926
2020-03-07,37.2926
2020-03-08,37.2926
2020-03-09,30.4861
2020-03-10,35.2513
2020-03-11,30.7614
2020-03-12,28.1382
2020-03-13,30.2308
2020-03-14,30.2308
2020-03-15,30.2308
2020-03-16,24.5265
2020-03-17,22.85
2020-03-18,20.5478
2020-03-19,28.0255
2020-03-20,27.9353
2020-03-21,27.9353
2020-03-22,27.9353
2020-03-23,30.264
2020-03-24,35.1632
2020-03-25,38.7891
2020-03-26,38.4475
2020-03-27,37.7135
2020-03-28,37.7135
2020-03-29,37.7135
2020-03-30,37.1785
2020-03-31,36.7338
2020-04-01,34.3773
2020-04-02,34.142
2020-04-03,33.1772
2020-04-04,33.1772
2020-04-05,33.1772
2020-04-06,37.4826
2020-04-07,38.5121
2020-04-08,41.6034
2020-04-09,41.862
2020-04-10,41.862
2020-04-11,41.862
2020-04-12,41.862
2020-04-13,40.9857
2020-04-14,41.0183
2020-04-15,39.3246
2020-04-16,38.9539
2020-04-17,41.1011
2020-04-18,41.1011
2020-04-19,41.1011
2020-04-20,40.4634
2020-04-21,39.7688
2020-04-22,40.1066
2020-04-23,41.3871
2020-04-24,43.1213
2020-04-25,43.1213
2020-04-26,43.1213
2020-04-27,46.3896
2020-04-28,47.469
2020-04-29,50.0925
2020-04-30,48.4284
2020-05-01,47.805
2020-05-02,47.805
2020-05-03,47.805
2020-05-04,48.1855
2020-05-05,48.1424
2020-05-06,47.5582
2020-05-07,48.6465
2020-05-08,50.7606
2020-05-09,50.7606
2020-05-10,50.7606
2020-05-11,49.0316
2020-05-12,48.3954
2020-05-13,45.7371
2020-05-14,47.9753
2020-05-15,48.8403
2020-05-16,48.8403
2020-05-17,48.8403
2020-05-18,51.1348
2020-05-19,49.5315
2020-05-20,50.6389
2020-05-21,52.3839
2020-05-22,53.1825
2020-05-23,53.1825
2020-05-24,53.1825
2020-05-25,53.1825
2020-05-26,55.0719
2020-05-27,57.2008
2020-05-28,56.8074
2020-05-29,55.8875
2020-05-30,55.8875
2020-05-31,55.8875
2020-06-01,56.3093
2020-06-02,56.8986
2020-06-03,58.2317
