,AAWW US Equity
,RSI_30D
2020-01-01,57.5246
2020-01-02,57.8964
2020-01-03,56.9933
2020-01-04,56.9933
2020-01-05,56.9933
2020-01-06,56.9277
2020-01-07,53.5477
2020-01-08,55.581
2020-01-09,54.7031
2020-01-10,53.5163
2020-01-11,53.5163
2020-01-12,53.5163
2020-01-13,55.0815
2020-01-14,57.0953
2020-01-15,55.9049
2020-01-16,56.8234
2020-01-17,56.7215
2020-01-18,56.7215
2020-01-19,56.7215
2020-01-20,56.7215
2020-01-21,54.466
2020-01-22,51.6892
2020-01-23,49.6396
2020-01-24,47.1547
2020-01-25,47.1547
2020-01-26,47.1547
2020-01-27,44.733
2020-01-28,44.3997
2020-01-29,43.5729
2020-01-30,42.5734
2020-01-31,41.0017
2020-02-01,41.0017
2020-02-02,41.0017
2020-02-03,39.9601
2020-02-04,42.7254
2020-02-05,49.164
2020-02-06,48.7323
2020-02-07,55.3055
2020-02-08,55.3055
2020-02-09,55.3055
2020-02-10,54.4412
2020-02-11,54.7948
2020-02-12,55.7192
2020-02-13,52.7439
2020-02-14,54.8541
2020-02-15,54.8541
2020-02-16,54.8541
2020-02-17,54.8541
2020-02-18,55.508
2020-02-19,59.9839
2020-02-20,65.9804
2020-02-21,62.0155
2020-02-22,62.0155
2020-02-23,62.0155
2020-02-24,54.8255
2020-02-25,50.1039
2020-02-26,46.9091
2020-02-27,48.8602
2020-02-28,51.0181
2020-02-29,51.0181
2020-03-01,51.0181
2020-03-02,50.7679
2020-03-03,49.477
2020-03-04,50.2763
2020-03-05,46.1401
2020-03-06,44.5207
2020-03-07,44.5207
2020-03-08,44.5207
2020-03-09,41.5477
2020-03-10,42.3714
2020-03-11,38.0527
2020-03-12,36.2247
2020-03-13,39.0966
2020-03-14,39.0966
2020-03-15,39.0966
2020-03-16,40.6057
2020-03-17,48.6921
2020-03-18,43.6548
2020-03-19,46.8344
2020-03-20,48.2133
2020-03-21,48.2133
2020-03-22,48.2133
2020-03-23,50.1055
2020-03-24,49.1948
2020-03-25,48.0282
2020-03-26,49.9554
2020-03-27,47.4141
2020-03-28,47.4141
2020-03-29,47.4141
2020-03-30,47.4412
2020-03-31,51.9055
2020-04-01,49.7451
2020-04-02,49.191
2020-04-03,45.3259
2020-04-04,45.3259
2020-04-05,45.3259
2020-04-06,47.627
2020-04-07,49.0683
2020-04-08,50.665
2020-04-09,51.6898
2020-04-10,51.6898
2020-04-11,51.6898
2020-04-12,51.6898
2020-04-13,50.2259
2020-04-14,52.0361
2020-04-15,49.8285
2020-04-16,49.9144
2020-04-17,50.86
2020-04-18,50.86
2020-04-19,50.86
2020-04-20,50.7427
2020-04-21,53.5748
2020-04-22,54.5388
2020-04-23,54.7404
2020-04-24,56.8365
2020-04-25,56.8365
2020-04-26,56.8365
2020-04-27,58.7261
2020-04-28,59.2412
2020-04-29,62.4528
2020-04-30,59.0474
2020-05-01,57.7444
2020-05-02,57.7444
2020-05-03,57.7444
2020-05-04,58.7284
2020-05-05,59.2505
2020-05-06,61.3833
2020-05-07,64.1777
2020-05-08,64.3008
2020-05-09,64.3008
2020-05-10,64.3008
2020-05-11,62.9739
2020-05-12,61.7198
2020-05-13,60.5824
2020-05-14,61.5695
2020-05-15,58.6857
2020-05-16,58.6857
2020-05-17,58.6857
2020-05-18,61.6918
2020-05-19,61.9799
2020-05-20,63.0437
2020-05-21,62.603
2020-05-22,62.0874
2020-05-23,62.0874
2020-05-24,62.0874
2020-05-25,62.0874
2020-05-26,61.6974
2020-05-27,61.8483
2020-05-28,61.3305
2020-05-29,61.5144
2020-05-30,61.5144
2020-05-31,61.5144
2020-06-01,63.426
2020-06-02,67.9585
2020-06-03,68.2283
2020-06-04,68.0944
2020-06-05,64.9298
2020-06-06,64.9298
2020-06-07,64.9298
2020-06-08,59.1109
2020-06-09,59.921
2020-06-10,59.3372
2020-06-11,56.4606
2020-06-12,56.8176
2020-06-13,56.8176
2020-06-14,56.8176
2020-06-15,58.4956
2020-06-16,58.8541
2020-06-17,56.7281
2020-06-18,57.2321
2020-06-19,57.9125
2020-06-20,57.9125
2020-06-21,57.9125
2020-06-22,57.2953
2020-06-23,58.5025
2020-06-24,57.0622
2020-06-25,55.933
2020-06-26,54.4412
2020-06-27,54.4412
2020-06-28,54.4412
2020-06-29,56.4044
2020-06-30,59.6121
2020-07-01,60.6191
2020-07-02,61.2772
2020-07-03,61.2772
2020-07-04,61.2772
2020-07-05,61.2772
2020-07-06,62.3578
2020-07-07,62.9897
2020-07-08,63.0597
2020-07-09,63.3227
2020-07-10,64.5799
2020-07-11,64.5799
2020-07-12,64.5799
2020-07-13,64.8503
2020-07-14,65.0424
2020-07-15,66.3158
2020-07-16,66.9215
2020-07-17,67.6846
2020-07-18,67.6846
2020-07-19,67.6846
2020-07-20,67.8705
2020-07-21,68.2949
2020-07-22,65.2009
2020-07-23,64.1665
2020-07-24,62.0812
2020-07-25,62.0812
2020-07-26,62.0812
2020-07-27,64.5842
2020-07-28,62.4408
