,RGS US Equity
,RSI_30D
2020-01-01,42.5648
2020-01-02,37.1554
2020-01-03,34.8456
2020-01-04,34.8456
2020-01-05,34.8456
2020-01-06,34.0072
2020-01-07,34.2207
2020-01-08,38.7963
2020-01-09,40.5211
2020-01-10,38.3277
2020-01-11,38.3277
2020-01-12,38.3277
2020-01-13,38.3277
2020-01-14,39.7115
2020-01-15,41.5838
2020-01-16,48.8387
2020-01-17,48.5949
2020-01-18,48.5949
2020-01-19,48.5949
2020-01-20,48.5949
2020-01-21,48.2955
2020-01-22,44.6003
2020-01-23,46.3954
2020-01-24,47.2526
2020-01-25,47.2526
2020-01-26,47.2526
2020-01-27,45.0184
2020-01-28,44.0312
2020-01-29,41.8316
2020-01-30,40.2805
2020-01-31,38.1255
2020-02-01,38.1255
2020-02-02,38.1255
2020-02-03,37.6786
2020-02-04,36.1798
2020-02-05,35.5728
2020-02-06,35.8348
2020-02-07,33.3447
2020-02-08,33.3447
2020-02-09,33.3447
2020-02-10,30.9623
2020-02-11,30.3137
2020-02-12,31.9885
2020-02-13,34.2761
2020-02-14,32.9337
2020-02-15,32.9337
2020-02-16,32.9337
2020-02-17,32.9337
2020-02-18,35.6062
2020-02-19,38.4458
2020-02-20,36.3301
2020-02-21,36.0904
2020-02-22,36.0904
2020-02-23,36.0904
2020-02-24,35.1647
2020-02-25,33.7389
2020-02-26,33.706
2020-02-27,33.5034
2020-02-28,33.3306
2020-02-29,33.3306
2020-03-01,33.3306
2020-03-02,32.3304
2020-03-03,30.6567
2020-03-04,29.2441
2020-03-05,28.4196
2020-03-06,27.4474
2020-03-07,27.4474
2020-03-08,27.4474
2020-03-09,25.8595
2020-03-10,25.5741
2020-03-11,23.7502
2020-03-12,23.5158
2020-03-13,23.2077
2020-03-14,23.2077
2020-03-15,23.2077
2020-03-16,18.8139
2020-03-17,30.7946
2020-03-18,27.7558
2020-03-19,28.5266
2020-03-20,26.3012
2020-03-21,26.3012
2020-03-22,26.3012
2020-03-23,25.3067
2020-03-24,33.9766
2020-03-25,35.2585
2020-03-26,37.7587
2020-03-27,33.052
2020-03-28,33.052
2020-03-29,33.052
2020-03-30,32.5956
2020-03-31,31.8005
2020-04-01,30.1006
2020-04-02,29.5104
2020-04-03,29.8036
2020-04-04,29.8036
2020-04-05,29.8036
2020-04-06,31.2404
2020-04-07,35.1577
2020-04-08,37.9477
2020-04-09,41.5015
2020-04-10,41.5015
2020-04-11,41.5015
2020-04-12,41.5015
2020-04-13,43.7136
2020-04-14,48.4951
2020-04-15,44.2182
2020-04-16,42.3842
2020-04-17,46.1428
2020-04-18,46.1428
2020-04-19,46.1428
2020-04-20,45.3048
2020-04-21,45.5811
2020-04-22,45.8077
2020-04-23,47.5307
2020-04-24,48.2011
2020-04-25,48.2011
2020-04-26,48.2011
2020-04-27,52.7541
2020-04-28,52.7541
2020-04-29,56.4308
2020-04-30,55.4359
2020-05-01,52.0713
2020-05-02,52.0713
2020-05-03,52.0713
2020-05-04,50.9364
2020-05-05,49.6889
2020-05-06,49.1049
2020-05-07,49.2123
2020-05-08,51.9398
2020-05-09,51.9398
2020-05-10,51.9398
2020-05-11,49.4815
2020-05-12,47.0539
2020-05-13,44.8252
2020-05-14,44.5298
2020-05-15,46.6292
2020-05-16,46.6292
2020-05-17,46.6292
2020-05-18,50.3368
2020-05-19,50.831
2020-05-20,51.0577
2020-05-21,51.2643
2020-05-22,50.4382
2020-05-23,50.4382
2020-05-24,50.4382
2020-05-25,50.4382
2020-05-26,51.9598
2020-05-27,52.5415
2020-05-28,51.6591
2020-05-29,50.7191
2020-05-30,50.7191
2020-05-31,50.7191
2020-06-01,50.8059
2020-06-02,49.8966
2020-06-03,51.0447
2020-06-04,50.4157
2020-06-05,54.2904
2020-06-06,54.2904
2020-06-07,54.2904
2020-06-08,57.9456
2020-06-09,53.234
2020-06-10,51.6716
2020-06-11,46.7664
2020-06-12,46.5978
2020-06-13,46.5978
2020-06-14,46.5978
2020-06-15,48.5969
2020-06-16,49.3493
2020-06-17,47.3029
2020-06-18,47.1512
2020-06-19,45.4669
2020-06-20,45.4669
2020-06-21,45.4669
2020-06-22,44.8485
2020-06-23,45.9139
2020-06-24,44.8386
2020-06-25,44.2515
2020-06-26,42.9858
2020-06-27,42.9858
2020-06-28,42.9858
2020-06-29,45.5014
2020-06-30,45.0532
2020-07-01,44.8382
2020-07-02,44.8106
2020-07-03,44.8106
2020-07-04,44.8106
2020-07-05,44.8106
2020-07-06,45.5059
2020-07-07,43.7935
2020-07-08,44.0838
2020-07-09,42.6321
2020-07-10,43.9426
2020-07-11,43.9426
2020-07-12,43.9426
2020-07-13,44.0936
2020-07-14,43.7886
2020-07-15,45.3529
2020-07-16,46.4324
2020-07-17,45.8965
2020-07-18,45.8965
2020-07-19,45.8965
2020-07-20,44.957
2020-07-21,45.7771
2020-07-22,45.427
2020-07-23,46.6097
2020-07-24,45.3039
2020-07-25,45.3039
2020-07-26,45.3039
2020-07-27,45.3918
2020-07-28,44.9804
2020-07-29,45.4454
2020-07-30,45.5406
2020-07-31,44.8921
2020-08-01,44.8921
2020-08-02,44.8921
2020-08-03,43.8032
2020-08-04,46.7244
2020-08-05,48.0963
2020-08-06,48.0081
2020-08-07,49.0235
2020-08-08,49.0235
2020-08-09,49.0235
2020-08-10,51.7176
2020-08-11,52.0341
2020-08-12,52.0805
2020-08-13,52.8824
2020-08-14,52.8824
2020-08-15,52.8824
2020-08-16,52.8824
2020-08-17,51.3672
2020-08-18,50.776
2020-08-19,51.4072
2020-08-20,49.9709
2020-08-21,48.6198
2020-08-22,48.6198
2020-08-23,48.6198
2020-08-24,49.7443
2020-08-25,49.3532
2020-08-26,47.4776
2020-08-27,48.7806
2020-08-28,51.8158
2020-08-29,51.8158
2020-08-30,51.8158
2020-08-31,43.4749
2020-09-01,44.1898
2020-09-02,43.3607
2020-09-03,42.323
2020-09-04,41.8055
2020-09-05,41.8055
2020-09-06,41.8055
2020-09-07,41.8055
2020-09-08,39.6729
2020-09-09,39.1863
2020-09-10,39.2505
2020-09-11,38.0048
2020-09-12,38.0048
2020-09-13,38.0048
2020-09-14,37.8804
2020-09-15,36.8815
2020-09-16,37.0247
2020-09-17,35.8065
2020-09-18,35.7645
2020-09-19,35.7645
2020-09-20,35.7645
2020-09-21,35.8423
2020-09-22,39.4105
2020-09-23,36.8822
2020-09-24,36.5788
2020-09-25,37.4158
2020-09-26,37.4158
2020-09-27,37.4158
2020-09-28,39.6625
2020-09-29,41.4034
2020-09-30,42.4061
2020-10-01,43.0542
2020-10-02,44.138
2020-10-03,44.138
2020-10-04,44.138
2020-10-05,45.2165
2020-10-06,46.5683
2020-10-07,48.2373
2020-10-08,49.6607
2020-10-09,48.5429
2020-10-10,48.5429
2020-10-11,48.5429
2020-10-12,50.2465
2020-10-13,49.3009
2020-10-14,48.9605
2020-10-15,49.1783
2020-10-16,50.2042
2020-10-17,50.2042
2020-10-18,50.2042
2020-10-19,48.539
2020-10-20,46.2616
2020-10-21,46.1259
2020-10-22,46.4508
2020-10-23,45.1821
2020-10-24,45.1821
2020-10-25,45.1821
2020-10-26,41.5914
2020-10-27,40.2673
2020-10-28,38.5365
2020-10-29,40.5627
2020-10-30,39.7956
2020-10-31,39.7956
2020-11-01,39.7956
2020-11-02,37.4299
2020-11-03,38.6868
2020-11-04,38.6868
2020-11-05,40.7782
2020-11-06,40.2837
2020-11-07,40.2837
2020-11-08,40.2837
2020-11-09,48.8625
2020-11-10,48.8625
2020-11-11,48.5833
2020-11-12,46.1939
2020-11-13,47.64
2020-11-14,47.64
2020-11-15,47.64
2020-11-16,50.8074
2020-11-17,51.8349
2020-11-18,51.9733
2020-11-19,54.0881
2020-11-20,54.8837
2020-11-21,54.8837
2020-11-22,54.8837
2020-11-23,59.6459
2020-11-24,64.0663
2020-11-25,61.2584
2020-11-26,61.2584
2020-11-27,59.68
2020-11-28,59.68
2020-11-29,59.68
2020-11-30,59.9848
2020-12-01,61.4419
2020-12-02,62.9807
2020-12-03,66.0469
2020-12-04,67.48
2020-12-05,67.48
2020-12-06,67.48
2020-12-07,60.5741
2020-12-08,60.9262
2020-12-09,62.1076
2020-12-10,62.8815
2020-12-11,60.6736
2020-12-12,60.6736
2020-12-13,60.6736
2020-12-14,58.0873
2020-12-15,59.768
2020-12-16,59.5621
2020-12-17,60.9984
2020-12-18,58.9039
2020-12-19,58.9039
2020-12-20,58.9039
2020-12-21,57.9434
2020-12-22,57.3218
2020-12-23,59.1358
2020-12-24,58.7769
2020-12-25,58.7769
2020-12-26,58.7769
2020-12-27,58.7769
2020-12-28,59.4891
2020-12-29,57.7205
2020-12-30,56.632
2020-12-31,56.3389
2021-01-01,56.3389
2021-01-02,56.3389
2021-01-03,56.3389
2021-01-04,54.5854
2021-01-05,54.0058
2021-01-06,53.7108
2021-01-07,54.4191
2021-01-08,51.8807
2021-01-09,51.8807
2021-01-10,51.8807
2021-01-11,50.3793
2021-01-12,48.9148
2021-01-13,48.0885
2021-01-14,52.766
2021-01-15,51.5644
2021-01-16,51.5644
2021-01-17,51.5644
2021-01-18,51.5644
2021-01-19,52.4215
2021-01-20,54.473
2021-01-21,56.0653
2021-01-22,55.6779
2021-01-23,55.6779
2021-01-24,55.6779
2021-01-25,60.4801
2021-01-26,67.7864
2021-01-27,68.2454
2021-01-28,54.4227
2021-01-29,53.4233
2021-01-30,53.4233
2021-01-31,53.4233
2021-02-01,55.7358
2021-02-02,52.8721
2021-02-03,53.5531
2021-02-04,55.9407
2021-02-05,55.7363
2021-02-06,55.7363
2021-02-07,55.7363
2021-02-08,57.3873
2021-02-09,57.1721
2021-02-10,57.4609
2021-02-11,56.7818
2021-02-12,57.1312
2021-02-13,57.1312
2021-02-14,57.1312
2021-02-15,57.1312
2021-02-16,55.6761
2021-02-17,56.7251
2021-02-18,55.3121
2021-02-19,56.2515
2021-02-20,56.2515
2021-02-21,56.2515
2021-02-22,57.7226
2021-02-23,58.1773
2021-02-24,64.8944
2021-02-25,62.9486
2021-02-26,59.6527
2021-02-27,59.6527
2021-02-28,59.6527
2021-03-01,62.7335
2021-03-02,62.6198
2021-03-03,65.2279
2021-03-04,59.6326
2021-03-05,56.1359
2021-03-06,56.1359
2021-03-07,56.1359
2021-03-08,59.7482
2021-03-09,57.7881
2021-03-10,58.4117
2021-03-11,59.7081
2021-03-12,61.5079
2021-03-13,61.5079
2021-03-14,61.5079
2021-03-15,62.2006
2021-03-16,57.0308
2021-03-17,57.9034
2021-03-18,55.5273
2021-03-19,58.6249
2021-03-20,58.6249
2021-03-21,58.6249
2021-03-22,55.5311
2021-03-23,53.9219
2021-03-24,52.4269
2021-03-25,54.4694
2021-03-26,55.7266
2021-03-27,55.7266
2021-03-28,55.7266
2021-03-29,54.4115
2021-03-30,54.3713
2021-03-31,55.0587
2021-04-01,55.9511
2021-04-02,55.9511
2021-04-03,55.9511
2021-04-04,55.9511
2021-04-05,57.0703
2021-04-06,56.5746
2021-04-07,55.9802
2021-04-08,56.3089
2021-04-09,55.6874
2021-04-10,55.6874
2021-04-11,55.6874
2021-04-12,55.1546
2021-04-13,54.9075
2021-04-14,55.4443
2021-04-15,53.6159
2021-04-16,54.3938
2021-04-17,54.3938
2021-04-18,54.3938
2021-04-19,54.4816
2021-04-20,50.0029
2021-04-21,52.4728
2021-04-22,51.235
2021-04-23,53.3791
2021-04-24,53.3791
2021-04-25,53.3791
2021-04-26,52.8882
2021-04-27,52.5383
2021-04-28,53.1791
2021-04-29,57.6956
2021-04-30,54.3502
2021-05-01,54.3502
2021-05-02,54.3502
2021-05-03,52.3519
2021-05-04,52.116
2021-05-05,50.1066
2021-05-06,43.0404
2021-05-07,41.0122
2021-05-08,41.0122
2021-05-09,41.0122
2021-05-10,39.6278
2021-05-11,39.2769
2021-05-12,39.6787
2021-05-13,39.0439
2021-05-14,40.2921
2021-05-15,40.2921
2021-05-16,40.2921
2021-05-17,39.5932
2021-05-18,38.964
2021-05-19,38.4027
2021-05-20,39.2513
2021-05-21,39.9925
2021-05-22,39.9925
2021-05-23,39.9925
2021-05-24,39.1934
2021-05-25,38.6232
2021-05-26,42.6514
2021-05-27,42.2416
2021-05-28,41.826
2021-05-29,41.826
2021-05-30,41.826
2021-05-31,41.826
2021-06-01,43.0435
2021-06-02,43.8538
2021-06-03,43.9128
2021-06-04,43.0247
2021-06-05,43.0247
2021-06-06,43.0247
2021-06-07,45.1971
2021-06-08,49.715
2021-06-09,50.7397
2021-06-10,47.4865
2021-06-11,48.9958
2021-06-12,48.9958
2021-06-13,48.9958
2021-06-14,49.3592
2021-06-15,48.5414
2021-06-16,46.4513
2021-06-17,43.7159
2021-06-18,45.5161
2021-06-19,45.5161
2021-06-20,45.5161
2021-06-21,45.0042
2021-06-22,44.4402
2021-06-23,45.7873
2021-06-24,47.0574
2021-06-25,45.9934
2021-06-26,45.9934
2021-06-27,45.9934
2021-06-28,44.4582
2021-06-29,44.6432
2021-06-30,45.1471
2021-07-01,45.9739
2021-07-02,45.537
2021-07-03,45.537
2021-07-04,45.537
2021-07-05,45.537
2021-07-06,43.2513
2021-07-07,41.6422
2021-07-08,40.9043
2021-07-09,41.3344
2021-07-10,41.3344
2021-07-11,41.3344
2021-07-12,40.5207
2021-07-13,40.747
2021-07-14,39.2538
2021-07-15,39.6483
2021-07-16,38.5101
2021-07-17,38.5101
2021-07-18,38.5101
2021-07-19,36.3047
2021-07-20,40.8955
2021-07-21,41.7784
2021-07-22,41.4052
2021-07-23,41.1336
2021-07-24,41.1336
2021-07-25,41.1336
2021-07-26,42.9901
2021-07-27,41.4681
2021-07-28,41.6265
2021-07-29,41.7081
2021-07-30,40.8228
2021-07-31,40.8228
2021-08-01,40.8228
2021-08-02,40.4088
2021-08-03,38.6145
2021-08-04,38.5004
2021-08-05,39.6985
2021-08-06,38.2745
2021-08-07,38.2745
2021-08-08,38.2745
2021-08-09,37.407
2021-08-10,40.2108
2021-08-11,42.3481
2021-08-12,41.8324
2021-08-13,41.7667
2021-08-14,41.7667
2021-08-15,41.7667
2021-08-16,38.8597
2021-08-17,37.7948
2021-08-18,37.2088
2021-08-19,35.2311
2021-08-20,37.1084
2021-08-21,37.1084
2021-08-22,37.1084
2021-08-23,37.6983
2021-08-24,38.7872
2021-08-25,38.5968
2021-08-26,32.8685
2021-08-27,32.2437
2021-08-28,32.2437
2021-08-29,32.2437
2021-08-30,30.491
2021-08-31,30.3116
2021-09-01,28.5723
2021-09-02,28.4878
2021-09-03,28.1858
2021-09-04,28.1858
2021-09-05,28.1858
2021-09-06,28.1858
2021-09-07,27.7511
2021-09-08,28.0953
2021-09-09,29.1429
2021-09-10,27.7046
2021-09-11,27.7046
2021-09-12,27.7046
2021-09-13,26.864
2021-09-14,25.5152
2021-09-15,25.6359
2021-09-16,24.885
2021-09-17,26.006
2021-09-18,26.006
2021-09-19,26.006
2021-09-20,25.1018
2021-09-21,24.473
2021-09-22,26.3807
2021-09-23,27.8882
2021-09-24,27.0757
2021-09-25,27.0757
2021-09-26,27.0757
2021-09-27,27.0757
2021-09-28,30.9987
2021-09-29,30.0807
2021-09-30,27.8243
2021-10-01,26.7629
2021-10-02,26.7629
2021-10-03,26.7629
2021-10-04,26.0478
2021-10-05,26.0028
2021-10-06,25.5024
2021-10-07,25.5024
2021-10-08,27.0058
2021-10-09,27.0058
2021-10-10,27.0058
2021-10-11,27.2819
2021-10-12,27.4238
2021-10-13,27.5701
2021-10-14,27.3421
2021-10-15,26.4373
2021-10-16,26.4373
2021-10-17,26.4373
2021-10-18,26.2687
2021-10-19,26.0397
2021-10-20,25.9811
2021-10-21,27.0005
2021-10-22,26.8729
2021-10-23,26.8729
2021-10-24,26.8729
2021-10-25,31.0853
2021-10-26,29.0755
2021-10-27,28.1032
2021-10-28,29.4056
2021-10-29,28.9312
2021-10-30,28.9312
2021-10-31,28.9312
2021-11-01,32.3197
2021-11-02,32.4783
2021-11-03,35.1506
2021-11-04,32.2747
2021-11-05,32.8888
2021-11-06,32.8888
2021-11-07,32.8888
2021-11-08,32.8888
2021-11-09,34.9405
2021-11-10,36.4856
2021-11-11,36.4856
2021-11-12,44.1508
2021-11-13,44.1508
2021-11-14,44.1508
2021-11-15,44.5355
2021-11-16,43.8071
2021-11-17,40.7537
2021-11-18,38.3455
2021-11-19,38.2589
2021-11-20,38.2589
2021-11-21,38.2589
2021-11-22,37.6432
2021-11-23,36.5141
2021-11-24,37.7036
2021-11-25,37.7036
2021-11-26,39.3207
2021-11-27,39.3207
2021-11-28,39.3207
2021-11-29,38.3837
2021-11-30,37.7325
2021-12-01,34.769
2021-12-02,37.1712
2021-12-03,37.764
2021-12-04,37.764
2021-12-05,37.764
2021-12-06,37.5806
2021-12-07,38.2015
2021-12-08,39.2947
2021-12-09,39.453
2021-12-10,39.1363
2021-12-11,39.1363
2021-12-12,39.1363
2021-12-13,37.8782
2021-12-14,37.3605
2021-12-15,37.8874
2021-12-16,37.1334
2021-12-17,36.4895
2021-12-18,36.4895
2021-12-19,36.4895
2021-12-20,33.4863
2021-12-21,33.0177
2021-12-22,32.7334
2021-12-23,29.9747
2021-12-24,29.9747
2021-12-25,29.9747
2021-12-26,29.9747
2021-12-27,31.1367
2021-12-28,30.8717
2021-12-29,29.8215
2021-12-30,31.4302
2021-12-31,32.6284
2022-01-01,32.6284
2022-01-02,32.6284
2022-01-03,33.6282
2022-01-04,35.413
2022-01-05,34.663
2022-01-06,33.01
2022-01-07,32.6079
2022-01-08,32.6079
2022-01-09,32.6079
2022-01-10,31.8062
2022-01-11,32.0223
2022-01-12,31.6078
2022-01-13,31.6078
2022-01-14,31.3904
2022-01-15,31.3904
2022-01-16,31.3904
2022-01-17,31.3904
2022-01-18,30.5217
2022-01-19,31.5022
2022-01-20,30.9376
2022-01-21,30.4854
2022-01-22,30.4854
2022-01-23,30.4854
2022-01-24,32.7724
2022-01-25,35.9224
2022-01-26,35.0087
2022-01-27,33.4976
2022-01-28,34.9499
2022-01-29,34.9499
2022-01-30,34.9499
2022-01-31,36.1518
2022-02-01,36.8758
2022-02-02,36.3079
2022-02-03,38.7473
2022-02-04,36.9887
2022-02-05,36.9887
2022-02-06,36.9887
2022-02-07,38.9012
2022-02-08,41.4297
2022-02-09,41.4297
2022-02-10,42.1287
2022-02-11,43.5232
2022-02-12,43.5232
2022-02-13,43.5232
2022-02-14,42.4647
2022-02-15,45.2212
2022-02-16,46.7604
2022-02-17,48.2642
2022-02-18,47.4715
2022-02-19,47.4715
2022-02-20,47.4715
2022-02-21,47.4715
2022-02-22,43.9267
2022-02-23,43.9267
2022-02-24,44.1615
2022-02-25,46.2572
2022-02-26,46.2572
2022-02-27,46.2572
2022-02-28,46.2572
2022-03-01,44.856
2022-03-02,45.1017
2022-03-03,43.114
2022-03-04,42.3418
2022-03-05,42.3418
2022-03-06,42.3418
2022-03-07,43.6469
2022-03-08,48.6929
2022-03-09,50.8604
2022-03-10,49.9865
2022-03-11,48.9002
2022-03-12,48.9002
2022-03-13,48.9002
2022-03-14,45.2386
2022-03-15,49.3777
2022-03-16,50.7951
2022-03-17,51.7925
2022-03-18,54.1024
2022-03-19,54.1024
2022-03-20,54.1024
2022-03-21,51.5473
2022-03-22,54.6837
2022-03-23,55.73
2022-03-24,55.0723
2022-03-25,52.5082
2022-03-26,52.5082
2022-03-27,52.5082
2022-03-28,53.2586
2022-03-29,54.1945
2022-03-30,54.7568
