,MAR US Equity
,RSI_30D
2020-01-01,77.4401
2020-01-02,77.4833
2020-01-03,72.1897
2020-01-04,72.1897
2020-01-05,72.1897
2020-01-06,68.011
2020-01-07,63.2975
2020-01-08,65.1605
2020-01-09,64.6296
2020-01-10,62.6314
2020-01-11,62.6314
2020-01-12,62.6314
2020-01-13,64.1564
2020-01-14,64.5281
2020-01-15,64.6904
2020-01-16,66.5086
2020-01-17,67.7472
2020-01-18,67.7472
2020-01-19,67.7472
2020-01-20,67.7472
2020-01-21,57.329
2020-01-22,56.9445
2020-01-23,57.9254
2020-01-24,52.1597
2020-01-25,52.1597
2020-01-26,52.1597
2020-01-27,48.3441
2020-01-28,52.234
2020-01-29,53.742
2020-01-30,54.5067
2020-01-31,50.4972
2020-02-01,50.4972
2020-02-02,50.4972
2020-02-03,52.0901
2020-02-04,57.9287
2020-02-05,58.2046
2020-02-06,56.3666
2020-02-07,53.8292
2020-02-08,53.8292
2020-02-09,53.8292
2020-02-10,55.4316
2020-02-11,56.7959
2020-02-12,59.9171
2020-02-13,55.2477
2020-02-14,53.3208
2020-02-15,53.3208
2020-02-16,53.3208
2020-02-17,53.3208
2020-02-18,53.3577
2020-02-19,55.7945
2020-02-20,54.9228
2020-02-21,51.155
2020-02-22,51.155
2020-02-23,51.155
2020-02-24,43.8803
2020-02-25,36.9348
2020-02-26,34.8688
2020-02-27,34.8324
2020-02-28,38.9412
2020-02-29,38.9412
2020-03-01,38.9412
2020-03-02,38.3446
2020-03-03,33.8653
2020-03-04,37.3953
2020-03-05,33.6722
2020-03-06,34.0408
2020-03-07,34.0408
2020-03-08,34.0408
2020-03-09,31.3877
2020-03-10,36.0051
2020-03-11,32.1855
2020-03-12,30.0473
2020-03-13,31.446
2020-03-14,31.446
2020-03-15,31.446
2020-03-16,28.5861
2020-03-17,25.6502
2020-03-18,23.1371
2020-03-19,25.1224
2020-03-20,29.9898
2020-03-21,29.9898
2020-03-22,29.9898
2020-03-23,28.879
2020-03-24,33.9993
2020-03-25,37.1724
2020-03-26,36.4485
2020-03-27,35.2945
2020-03-28,35.2945
2020-03-29,35.2945
2020-03-30,34.5263
2020-03-31,34.1406
2020-04-01,32.5626
2020-04-02,30.9544
2020-04-03,29.9782
2020-04-04,29.9782
2020-04-05,29.9782
2020-04-06,36.0995
2020-04-07,37.6811
2020-04-08,41.7059
2020-04-09,41.3192
2020-04-10,41.3192
2020-04-11,41.3192
2020-04-12,41.3192
2020-04-13,40.2991
2020-04-14,42.3962
2020-04-15,41.7517
2020-04-16,41.6375
2020-04-17,43.4582
2020-04-18,43.4582
2020-04-19,43.4582
2020-04-20,41.8897
2020-04-21,41.9525
2020-04-22,42.0123
2020-04-23,42.5631
2020-04-24,42.4126
2020-04-25,42.4126
2020-04-26,42.4126
2020-04-27,44.7746
2020-04-28,45.8578
2020-04-29,49.9089
2020-04-30,47.7318
2020-05-01,45.23
2020-05-02,45.23
2020-05-03,45.23
2020-05-04,44.3863
2020-05-05,44.9153
2020-05-06,43.8954
2020-05-07,46.3043
2020-05-08,46.8808
2020-05-09,46.8808
2020-05-10,46.8808
2020-05-11,44.8465
2020-05-12,43.6452
2020-05-13,42.0537
2020-05-14,44.1202
2020-05-15,44.3825
2020-05-16,44.3825
2020-05-17,44.3825
2020-05-18,50.8658
2020-05-19,49.593
2020-05-20,50.4666
2020-05-21,49.8749
2020-05-22,49.7388
2020-05-23,49.7388
2020-05-24,49.7388
2020-05-25,49.7388
2020-05-26,51.5046
2020-05-27,52.8507
2020-05-28,49.8735
2020-05-29,48.4702
2020-05-30,48.4702
2020-05-31,48.4702
2020-06-01,51.4115
2020-06-02,51.665
2020-06-03,53.5205
2020-06-04,55.5451
2020-06-05,56.7878
2020-06-06,56.7878
2020-06-07,56.7878
2020-06-08,58.7555
2020-06-09,55.8022
2020-06-10,53.5534
2020-06-11,48.7218
2020-06-12,49.0704
2020-06-13,49.0704
2020-06-14,49.0704
2020-06-15,48.4594
2020-06-16,49.8652
2020-06-17,48.6387
2020-06-18,49.3684
2020-06-19,48.0306
2020-06-20,48.0306
2020-06-21,48.0306
2020-06-22,48.2668
2020-06-23,48.4799
2020-06-24,45.9767
2020-06-25,45.561
2020-06-26,44.2253
2020-06-27,44.2253
2020-06-28,44.2253
2020-06-29,47.1518
2020-06-30,46.7616
2020-07-01,47.2237
2020-07-02,47.8447
2020-07-03,47.8447
2020-07-04,47.8447
2020-07-05,47.8447
2020-07-06,48.9143
2020-07-07,47.7174
2020-07-08,49.092
2020-07-09,47.2159
2020-07-10,48.4474
2020-07-11,48.4474
2020-07-12,48.4474
2020-07-13,47.9304
2020-07-14,47.7322
2020-07-15,51.5055
2020-07-16,50.9984
2020-07-17,50.0945
2020-07-18,50.0945
2020-07-19,50.0945
2020-07-20,48.4591
2020-07-21,49.3037
2020-07-22,49.7926
2020-07-23,48.7401
2020-07-24,47.9034
2020-07-25,47.9034
2020-07-26,47.9034
2020-07-27,47.2019
2020-07-28,47.3833
2020-07-29,47.7746
2020-07-30,46.7805
2020-07-31,45.7622
2020-08-01,45.7622
2020-08-02,45.7622
2020-08-03,45.5765
2020-08-04,47.4434
2020-08-05,48.2757
2020-08-06,50.441
2020-08-07,52.6681
2020-08-08,52.6681
2020-08-09,52.6681
2020-08-10,54.7469
2020-08-11,54.658
2020-08-12,53.9178
2020-08-13,54.2221
2020-08-14,53.8385
2020-08-15,53.8385
2020-08-16,53.8385
2020-08-17,53.604
2020-08-18,52.5584
2020-08-19,52.1964
2020-08-20,52.2119
2020-08-21,53.1918
2020-08-22,53.1918
2020-08-23,53.1918
2020-08-24,55.1844
2020-08-25,55.8376
2020-08-26,54.5387
2020-08-27,57.7633
2020-08-28,60.6873
2020-08-29,60.6873
2020-08-30,60.6873
2020-08-31,57.5961
2020-09-01,57.7158
2020-09-02,58.5893
2020-09-03,57.3634
2020-09-04,58.5571
2020-09-05,58.5571
2020-09-06,58.5571
2020-09-07,58.5571
2020-09-08,57.7451
2020-09-09,55.8655
2020-09-10,54.3512
2020-09-11,53.3238
2020-09-12,53.3238
2020-09-13,53.3238
2020-09-14,57.3589
2020-09-15,57.8527
2020-09-16,59.4732
2020-09-17,56.3075
2020-09-18,52.4055
2020-09-19,52.4055
2020-09-20,52.4055
2020-09-21,47.2734
2020-09-22,49.1362
2020-09-23,47.3499
2020-09-24,46.2691
2020-09-25,47.5466
2020-09-26,47.5466
2020-09-27,47.5466
2020-09-28,49.8122
2020-09-29,47.8346
2020-09-30,47.3908
2020-10-01,48.7615
2020-10-02,49.4543
2020-10-03,49.4543
2020-10-04,49.4543
2020-10-05,50.6281
2020-10-06,50.7364
2020-10-07,52.3506
2020-10-08,53.3344
2020-10-09,52.4977
2020-10-10,52.4977
2020-10-11,52.4977
2020-10-12,53.5621
2020-10-13,51.4135
2020-10-14,50.4223
2020-10-15,50.4223
2020-10-16,51.0183
2020-10-17,51.0183
2020-10-18,51.0183
2020-10-19,47.7322
2020-10-20,49.6215
2020-10-21,48.8233
2020-10-22,53.4914
2020-10-23,54.2077
2020-10-24,54.2077
2020-10-25,54.2077
2020-10-26,49.4012
2020-10-27,47.4596
2020-10-28,44.9672
2020-10-29,47.7025
2020-10-30,47.3763
2020-10-31,47.3763
2020-11-01,47.3763
2020-11-02,47.3928
2020-11-03,49.9869
2020-11-04,51.4992
2020-11-05,53.6339
2020-11-06,55.727
2020-11-07,55.727
2020-11-08,55.727
2020-11-09,63.8828
2020-11-10,63.9686
2020-11-11,62.1945
2020-11-12,61.3108
2020-11-13,63.6801
2020-11-14,63.6801
2020-11-15,63.6801
2020-11-16,65.4464
2020-11-17,64.5993
2020-11-18,62.5154
2020-11-19,62.906
2020-11-20,61.3345
2020-11-21,61.3345
2020-11-22,61.3345
2020-11-23,63.3087
2020-11-24,66.8974
2020-11-25,65.4659
2020-11-26,65.4659
2020-11-27,64.7283
2020-11-28,64.7283
2020-11-29,64.7283
2020-11-30,63.4698
2020-12-01,64.271
2020-12-02,64.3689
2020-12-03,66.1001
2020-12-04,67.5889
2020-12-05,67.5889
2020-12-06,67.5889
2020-12-07,65.2029
2020-12-08,64.8366
2020-12-09,62.9796
2020-12-10,63.6527
2020-12-11,60.7857
2020-12-12,60.7857
2020-12-13,60.7857
2020-12-14,59.1869
2020-12-15,61.2721
2020-12-16,61.3159
2020-12-17,61.1819
2020-12-18,59.8556
2020-12-19,59.8556
2020-12-20,59.8556
2020-12-21,58.5166
2020-12-22,57.575
2020-12-23,59.0849
2020-12-24,59.1744
2020-12-25,59.1744
2020-12-26,59.1744
2020-12-27,59.1744
2020-12-28,58.7658
2020-12-29,59.2264
2020-12-30,60.2202
2020-12-31,61.1855
2021-01-01,61.1855
2021-01-02,61.1855
2021-01-03,61.1855
2021-01-04,54.4459
2021-01-05,55.3844
2021-01-06,57.6415
2021-01-07,58.2767
2021-01-08,57.6617
2021-01-09,57.6617
2021-01-10,57.6617
2021-01-11,56.6958
2021-01-12,55.5098
2021-01-13,54.6897
2021-01-14,56.5172
2021-01-15,54.5152
2021-01-16,54.5152
2021-01-17,54.5152
2021-01-18,54.5152
2021-01-19,54.5621
2021-01-20,54.4363
2021-01-21,54.3266
2021-01-22,50.7501
2021-01-23,50.7501
2021-01-24,50.7501
2021-01-25,47.8753
2021-01-26,48.6279
2021-01-27,46.1322
2021-01-28,49.0813
2021-01-29,45.576
2021-01-30,45.576
2021-01-31,45.576
2021-02-01,46.8609
2021-02-02,50.512
2021-02-03,51.5025
2021-02-04,53.1328
2021-02-05,56.0649
2021-02-06,56.0649
2021-02-07,56.0649
2021-02-08,55.7159
2021-02-09,53.9006
2021-02-10,53.6347
2021-02-11,53.5437
2021-02-12,55.7435
2021-02-13,55.7435
2021-02-14,55.7435
2021-02-15,55.7435
2021-02-16,56.4373
2021-02-17,57.1473
2021-02-18,57.6336
2021-02-19,60.7312
2021-02-20,60.7312
