,DISCK US Equity
,RSI_30D
2020-01-01,65.1898
2020-01-02,62.7073
2020-01-03,61.36
2020-01-04,61.36
2020-01-05,61.36
2020-01-06,60.9219
2020-01-07,61.0787
2020-01-08,61.9217
2020-01-09,62.3956
2020-01-10,59.3395
2020-01-11,59.3395
2020-01-12,59.3395
2020-01-13,58.7606
2020-01-14,59.662
2020-01-15,61.488
2020-01-16,63.1347
2020-01-17,62.0719
2020-01-18,62.0719
2020-01-19,62.0719
2020-01-20,62.0719
2020-01-21,58.7471
2020-01-22,58.7471
2020-01-23,49.0203
2020-01-24,48.4365
2020-01-25,48.4365
2020-01-26,48.4365
2020-01-27,47.7552
2020-01-28,50.3493
2020-01-29,46.1486
2020-01-30,47.0945
2020-01-31,43.7757
2020-02-01,43.7757
2020-02-02,43.7757
2020-02-03,43.3061
2020-02-04,47.0903
2020-02-05,51.7437
2020-02-06,48.8364
2020-02-07,47.8395
2020-02-08,47.8395
2020-02-09,47.8395
2020-02-10,47.8974
2020-02-11,49.5767
2020-02-12,50.7654
2020-02-13,50.9931
2020-02-14,49.9771
2020-02-15,49.9771
2020-02-16,49.9771
2020-02-17,49.9771
2020-02-18,50.812
2020-02-19,51.7638
2020-02-20,49.1212
2020-02-21,45.3865
2020-02-22,45.3865
2020-02-23,45.3865
2020-02-24,41.49
2020-02-25,37.9895
2020-02-26,34.7719
2020-02-27,29.9167
2020-02-28,37.2063
2020-02-29,37.2063
2020-03-01,37.2063
2020-03-02,37.5653
2020-03-03,37.2818
2020-03-04,37.4446
2020-03-05,33.569
2020-03-06,34.9195
2020-03-07,34.9195
2020-03-08,34.9195
2020-03-09,30.9378
2020-03-10,37.1409
2020-03-11,35.0303
2020-03-12,31.0693
2020-03-13,31.4923
2020-03-14,31.4923
2020-03-15,31.4923
2020-03-16,27.1638
2020-03-17,29.8004
2020-03-18,26.7907
2020-03-19,31.5224
2020-03-20,28.4486
2020-03-21,28.4486
2020-03-22,28.4486
2020-03-23,27.8778
2020-03-24,33.3443
2020-03-25,35.649
2020-03-26,35.5288
2020-03-27,32.9203
2020-03-28,32.9203
2020-03-29,32.9203
2020-03-30,35.3596
2020-03-31,34.6825
2020-04-01,34.9966
2020-04-02,34.0316
2020-04-03,33.6444
2020-04-04,33.6444
2020-04-05,33.6444
2020-04-06,37.604
2020-04-07,39.5014
2020-04-08,41.601
2020-04-09,43.5977
2020-04-10,43.5977
2020-04-11,43.5977
2020-04-12,43.5977
2020-04-13,42.9768
2020-04-14,44.0847
2020-04-15,42.3392
2020-04-16,42.5598
2020-04-17,44.5633
2020-04-18,44.5633
2020-04-19,44.5633
2020-04-20,43.509
2020-04-21,41.8716
2020-04-22,40.8969
2020-04-23,41.0231
2020-04-24,42.7469
2020-04-25,42.7469
2020-04-26,42.7469
2020-04-27,47.3074
2020-04-28,48.9
2020-04-29,51.9791
2020-04-30,46.9266
2020-05-01,45.0413
2020-05-02,45.0413
2020-05-03,45.0413
2020-05-04,46.0591
2020-05-05,44.8094
2020-05-06,44.1202
2020-05-07,43.7504
2020-05-08,45.0946
2020-05-09,45.0946
2020-05-10,45.0946
2020-05-11,43.1713
2020-05-12,41.9621
2020-05-13,40.7499
2020-05-14,44.0914
2020-05-15,44.6894
2020-05-16,44.6894
2020-05-17,44.6894
2020-05-18,46.3062
2020-05-19,45.9146
2020-05-20,45.866
2020-05-21,44.7264
2020-05-22,44.0328
2020-05-23,44.0328
2020-05-24,44.0328
2020-05-25,44.0328
2020-05-26,48.1888
2020-05-27,50.1764
2020-05-28,48.5996
2020-05-29,47.7402
2020-05-30,47.7402
2020-05-31,47.7402
2020-06-01,48.4718
2020-06-02,48.0171
2020-06-03,49.5714
2020-06-04,51.3546
2020-06-05,55.1724
2020-06-06,55.1724
2020-06-07,55.1724
2020-06-08,57.6419
2020-06-09,52.3448
2020-06-10,50.5979
2020-06-11,48.5572
2020-06-12,47.8677
2020-06-13,47.8677
2020-06-14,47.8677
2020-06-15,49.1805
2020-06-16,48.7324
2020-06-17,48.656
2020-06-18,49.5563
2020-06-19,49.0441
2020-06-20,49.0441
2020-06-21,49.0441
2020-06-22,48.3369
2020-06-23,48.8649
2020-06-24,47.7979
2020-06-25,46.6607
2020-06-26,44.6248
2020-06-27,44.6248
2020-06-28,44.6248
2020-06-29,47.2561
2020-06-30,47.0085
2020-07-01,46.9661
2020-07-02,46.063
2020-07-03,46.063
2020-07-04,46.063
2020-07-05,46.063
2020-07-06,47.033
2020-07-07,44.6009
2020-07-08,44.1013
2020-07-09,41.585
2020-07-10,44.4621
2020-07-11,44.4621
2020-07-12,44.4621
2020-07-13,45.0559
2020-07-14,45.7418
2020-07-15,49.2789
2020-07-16,49.8116
2020-07-17,48.1795
2020-07-18,48.1795
2020-07-19,48.1795
2020-07-20,46.2282
2020-07-21,47.2331
2020-07-22,47.571
2020-07-23,48.2226
2020-07-24,47.6742
2020-07-25,47.6742
2020-07-26,47.6742
2020-07-27,46.8953
2020-07-28,46.6325
2020-07-29,47.5819
2020-07-30,47.8124
2020-07-31,47.9308
2020-08-01,47.9308
2020-08-02,47.9308
2020-08-03,48.654
2020-08-04,50.8509
2020-08-05,48.5119
2020-08-06,50.8506
2020-08-07,49.3675
2020-08-08,49.3675
2020-08-09,49.3675
2020-08-10,51.7917
2020-08-11,54.4962
2020-08-12,51.927
2020-08-13,52.7415
2020-08-14,54.3091
2020-08-15,54.3091
