,MYL US Equity
,RSI_30D
2020-01-01,56.8774
2020-01-02,59.3063
2020-01-03,56.6076
2020-01-04,56.6076
2020-01-05,56.6076
2020-01-06,59.4497
2020-01-07,60.6437
2020-01-08,60.8425
2020-01-09,59.0528
2020-01-10,58.5612
2020-01-11,58.5612
2020-01-12,58.5612
2020-01-13,58.1233
2020-01-14,59.9809
2020-01-15,63.3818
2020-01-16,62.8617
2020-01-17,60.8597
2020-01-18,60.8597
2020-01-19,60.8597
2020-01-20,60.8597
2020-01-21,60.7951
2020-01-22,61.3888
2020-01-23,62.8439
2020-01-24,60.8774
2020-01-25,60.8774
2020-01-26,60.8774
2020-01-27,56.5239
2020-01-28,59.4782
2020-01-29,60.5388
2020-01-30,59.4249
2020-01-31,56.4406
2020-02-01,56.4406
2020-02-02,56.4406
2020-02-03,57.3273
2020-02-04,60.0215
2020-02-05,62.2919
2020-02-06,62.2919
2020-02-07,61.7828
2020-02-08,61.7828
2020-02-09,61.7828
2020-02-10,60.8186
2020-02-11,59.1012
2020-02-12,57.9107
2020-02-13,54.7863
2020-02-14,56.0138
2020-02-15,56.0138
2020-02-16,56.0138
2020-02-17,56.0138
2020-02-18,52.4979
2020-02-19,50.4886
2020-02-20,50.6173
2020-02-21,51.7836
2020-02-22,51.7836
2020-02-23,51.7836
2020-02-24,47.455
2020-02-25,45.5333
2020-02-26,43.9178
2020-02-27,40.3775
2020-02-28,35.2802
2020-02-29,35.2802
2020-03-01,35.2802
2020-03-02,36.8845
2020-03-03,33.3729
2020-03-04,36.2232
2020-03-05,33.9944
2020-03-06,32.3718
2020-03-07,32.3718
2020-03-08,32.3718
2020-03-09,29.9754
2020-03-10,33.4718
2020-03-11,32.0301
2020-03-12,29.429
2020-03-13,37.2298
2020-03-14,37.2298
2020-03-15,37.2298
2020-03-16,37.2061
2020-03-17,39.3297
2020-03-18,36.0243
2020-03-19,38.6712
2020-03-20,40.0834
2020-03-21,40.0834
2020-03-22,40.0834
2020-03-23,41.8691
2020-03-24,40.346
2020-03-25,39.8215
2020-03-26,42.0839
2020-03-27,40.3845
2020-03-28,40.3845
2020-03-29,40.3845
2020-03-30,41.0929
2020-03-31,40.6719
2020-04-01,38.993
2020-04-02,38.141
2020-04-03,37.69
2020-04-04,37.69
2020-04-05,37.69
2020-04-06,38.935
2020-04-07,40.2924
2020-04-08,43.3331
2020-04-09,46.7573
2020-04-10,46.7573
2020-04-11,46.7573
2020-04-12,46.7573
2020-04-13,46.6952
2020-04-14,47.7365
2020-04-15,44.9489
2020-04-16,45.0979
2020-04-17,47.3471
2020-04-18,47.3471
2020-04-19,47.3471
2020-04-20,46.5388
2020-04-21,44.2565
2020-04-22,43.5901
2020-04-23,45.106
2020-04-24,46.8488
2020-04-25,46.8488
2020-04-26,46.8488
2020-04-27,48.2528
2020-04-28,49.3455
2020-04-29,52.396
2020-04-30,50.4324
2020-05-01,48.2391
2020-05-02,48.2391
2020-05-03,48.2391
2020-05-04,49.627
2020-05-05,49.8032
2020-05-06,50.8527
2020-05-07,52.4393
2020-05-08,53.2963
2020-05-09,53.2963
2020-05-10,53.2963
2020-05-11,50.9414
2020-05-12,48.3737
2020-05-13,46.0715
2020-05-14,45.043
2020-05-15,44.8488
2020-05-16,44.8488
2020-05-17,44.8488
2020-05-18,49.7086
2020-05-19,48.3194
2020-05-20,49.2674
2020-05-21,48.1638
