,SCS US Equity
,RSI_30D
2020-01-01,60.8479
2020-01-02,60.4993
2020-01-03,59.3562
2020-01-04,59.3562
2020-01-05,59.3562
2020-01-06,57.9619
2020-01-07,57.1802
2020-01-08,56.9156
2020-01-09,52.5539
2020-01-10,50.4023
2020-01-11,50.4023
2020-01-12,50.4023
2020-01-13,50.6263
2020-01-14,52.2622
2020-01-15,52.3365
2020-01-16,52.4894
2020-01-17,51.2147
2020-01-18,51.2147
2020-01-19,51.2147
2020-01-20,51.2147
2020-01-21,50.2882
2020-01-22,50.3726
2020-01-23,50.4596
2020-01-24,49.4723
2020-01-25,49.4723
2020-01-26,49.4723
2020-01-27,48.2298
2020-01-28,49.173
2020-01-29,47.3867
2020-01-30,48.8289
2020-01-31,45.0791
2020-02-01,45.0791
2020-02-02,45.0791
2020-02-03,46.4332
2020-02-04,45.9311
2020-02-05,49.5079
2020-02-06,51.6832
2020-02-07,49.7327
2020-02-08,49.7327
2020-02-09,49.7327
2020-02-10,49.5568
2020-02-11,50.1946
2020-02-12,52.3322
2020-02-13,48.2281
2020-02-14,49.2134
2020-02-15,49.2134
2020-02-16,49.2134
2020-02-17,49.2134
2020-02-18,48.3481
2020-02-19,47.3997
2020-02-20,48.724
2020-02-21,47.3156
2020-02-22,47.3156
2020-02-23,47.3156
2020-02-24,41.5673
2020-02-25,37.5496
2020-02-26,35.3608
2020-02-27,32.2222
2020-02-28,31.3095
2020-02-29,31.3095
2020-03-01,31.3095
2020-03-02,32.3989
2020-03-03,30.5748
2020-03-04,34.5758
2020-03-05,31.4102
2020-03-06,30.0474
2020-03-07,30.0474
2020-03-08,30.0474
2020-03-09,26.2374
2020-03-10,25.244
2020-03-11,23.9641
2020-03-12,19.6193
2020-03-13,25.6385
2020-03-14,25.6385
2020-03-15,25.6385
2020-03-16,21.5985
2020-03-17,20.2326
2020-03-18,17.1999
2020-03-19,24.7499
2020-03-20,28.7005
2020-03-21,28.7005
2020-03-22,28.7005
2020-03-23,28.4431
2020-03-24,31.0482
2020-03-25,37.3412
2020-03-26,36.5245
2020-03-27,35.3256
2020-03-28,35.3256
2020-03-29,35.3256
2020-03-30,34.9302
2020-03-31,33.6322
2020-04-01,31.4745
2020-04-02,30.895
2020-04-03,30.4885
2020-04-04,30.4885
2020-04-05,30.4885
2020-04-06,34.36
2020-04-07,35.059
2020-04-08,37.097
2020-04-09,39.6444
2020-04-10,39.6444
2020-04-11,39.6444
2020-04-12,39.6444
2020-04-13,38.8433
2020-04-14,38.3423
2020-04-15,36.2849
2020-04-16,35.6334
2020-04-17,38.9927
2020-04-18,38.9927
2020-04-19,38.9927
2020-04-20,38.0521
2020-04-21,37.7055
2020-04-22,37.6548
2020-04-23,39.3421
2020-04-24,39.6378
2020-04-25,39.6378
2020-04-26,39.6378
2020-04-27,41.7773
2020-04-28,43.5233
2020-04-29,45.9413
2020-04-30,45.3901
2020-05-01,44.1021
2020-05-02,44.1021
2020-05-03,44.1021
2020-05-04,44.3471
2020-05-05,45.7415
2020-05-06,42.9272
2020-05-07,44.608
2020-05-08,47.1227
2020-05-09,47.1227
2020-05-10,47.1227
2020-05-11,45.6488
2020-05-12,43.4141
2020-05-13,42.5219
2020-05-14,42.4286
2020-05-15,42.6023
2020-05-16,42.6023
2020-05-17,42.6023
2020-05-18,48.2192
2020-05-19,47.054
2020-05-20,48.2338
2020-05-21,48.3874
2020-05-22,49.8863
2020-05-23,49.8863
2020-05-24,49.8863
2020-05-25,49.8863
2020-05-26,54.5119
2020-05-27,54.7411
2020-05-28,51.9559
2020-05-29,49.7728
2020-05-30,49.7728
2020-05-31,49.7728
2020-06-01,49.8454
2020-06-02,50.4022
2020-06-03,53.3655
2020-06-04,53.9146
2020-06-05,55.6694
2020-06-06,55.6694
2020-06-07,55.6694
2020-06-08,57.8714
2020-06-09,57.3588
2020-06-10,53.4795
2020-06-11,48.1911
2020-06-12,49.844
2020-06-13,49.844
2020-06-14,49.844
2020-06-15,50.9567
2020-06-16,52.0897
2020-06-17,50.9789
2020-06-18,50.5117
2020-06-19,49.4301
2020-06-20,49.4301
2020-06-21,49.4301
2020-06-22,49.8007
2020-06-23,50.6612
2020-06-24,48.9261
2020-06-25,48.4042
2020-06-26,48.1763
2020-06-27,48.1763
2020-06-28,48.1763
2020-06-29,51.1498
2020-06-30,50.5102
2020-07-01,44.4386
2020-07-02,44.3407
2020-07-03,44.3407
2020-07-04,44.3407
2020-07-05,44.3407
2020-07-06,46.8438
2020-07-07,45.6006
2020-07-08,45.6006
2020-07-09,45.3146
2020-07-10,45.6671
2020-07-11,45.6671
2020-07-12,45.6671
2020-07-13,45.8027
2020-07-14,46.3106
2020-07-15,49.4308
2020-07-16,49.3884
2020-07-17,48.6116
2020-07-18,48.6116
2020-07-19,48.6116
2020-07-20,47.5795
2020-07-21,48.6141
2020-07-22,49.8248
2020-07-23,50.4289
2020-07-24,48.7928
2020-07-25,48.7928
2020-07-26,48.7928
2020-07-27,47.695
2020-07-28,47.0112
2020-07-29,48.3393
2020-07-30,47.0262
2020-07-31,46.8851
2020-08-01,46.8851
2020-08-02,46.8851
2020-08-03,47.5367
2020-08-04,47.3365
2020-08-05,48.0161
2020-08-06,48.5881
2020-08-07,50.987
2020-08-08,50.987
2020-08-09,50.987
2020-08-10,52.4288
2020-08-11,52.0766
