,ROP US Equity
,RSI_30D
2020-01-01,56.2904
2020-01-02,61.7979
2020-01-03,60.2614
2020-01-04,60.2614
2020-01-05,60.2614
2020-01-06,57.8821
2020-01-07,58.7829
2020-01-08,60.6607
2020-01-09,62.9797
2020-01-10,63.0828
2020-01-11,63.0828
2020-01-12,63.0828
2020-01-13,64.6691
2020-01-14,63.5438
2020-01-15,63.9488
2020-01-16,64.8905
2020-01-17,66.572
2020-01-18,66.572
2020-01-19,66.572
2020-01-20,66.572
2020-01-21,65.3852
2020-01-22,63.3334
2020-01-23,64.572
2020-01-24,63.2923
2020-01-25,63.2923
2020-01-26,63.2923
2020-01-27,59.9829
2020-01-28,62.5042
2020-01-29,62.755
2020-01-30,67.1832
2020-01-31,61.8088
2020-02-01,61.8088
2020-02-02,61.8088
2020-02-03,60.5433
2020-02-04,63.1379
2020-02-05,62.8476
2020-02-06,62.3689
2020-02-07,62.5352
2020-02-08,62.5352
2020-02-09,62.5352
2020-02-10,65.0666
2020-02-11,63.656
2020-02-12,64.1717
2020-02-13,62.2796
2020-02-14,64.0614
2020-02-15,64.0614
2020-02-16,64.0614
2020-02-17,64.0614
2020-02-18,61.6994
2020-02-19,60.7722
2020-02-20,58.1404
2020-02-21,59.6205
2020-02-22,59.6205
2020-02-23,59.6205
2020-02-24,52.3876
2020-02-25,47.9089
2020-02-26,47.4894
2020-02-27,43.1899
2020-02-28,41.8951
2020-02-29,41.8951
2020-03-01,41.8951
2020-03-02,46.5747
2020-03-03,43.2965
2020-03-04,49.5465
2020-03-05,44.1585
2020-03-06,43.7721
2020-03-07,43.7721
2020-03-08,43.7721
2020-03-09,34.6871
2020-03-10,43.7376
2020-03-11,39.7295
2020-03-12,34.0995
2020-03-13,40.2511
2020-03-14,40.2511
2020-03-15,40.2511
2020-03-16,35.639
2020-03-17,41.6151
2020-03-18,38.4857
2020-03-19,41.1236
2020-03-20,38.8432
2020-03-21,38.8432
2020-03-22,38.8432
2020-03-23,35.3712
2020-03-24,40.7945
2020-03-25,41.2053
2020-03-26,44.8436
