,ATO US Equity
,RSI_30D
2020-01-01,54.6988
2020-01-02,50.9423
2020-01-03,52.6032
2020-01-04,52.6032
2020-01-05,52.6032
2020-01-06,52.2273
2020-01-07,53.9081
2020-01-08,51.4775
2020-01-09,52.3116
2020-01-10,52.9851
2020-01-11,52.9851
2020-01-12,52.9851
2020-01-13,55.5597
2020-01-14,56.1431
2020-01-15,58.1228
2020-01-16,60.029
2020-01-17,60.5514
2020-01-18,60.5514
2020-01-19,60.5514
2020-01-20,60.5514
2020-01-21,62.3249
2020-01-22,62.6392
2020-01-23,64.0795
2020-01-24,64.9638
2020-01-25,64.9638
2020-01-26,64.9638
2020-01-27,61.8451
2020-01-28,61.5979
2020-01-29,61.5979
2020-01-30,63.6761
2020-01-31,62.531
2020-02-01,62.531
2020-02-02,62.531
2020-02-03,65.5352
2020-02-04,61.0577
2020-02-05,62.9709
2020-02-06,61.153
2020-02-07,60.9475
2020-02-08,60.9475
2020-02-09,60.9475
2020-02-10,62.2957
2020-02-11,64.1621
2020-02-12,60.0064
2020-02-13,62.7484
2020-02-14,64.2908
2020-02-15,64.2908
2020-02-16,64.2908
2020-02-17,64.2908
2020-02-18,64.4829
2020-02-19,61.7063
2020-02-20,60.6753
2020-02-21,60.7583
2020-02-22,60.7583
2020-02-23,60.7583
2020-02-24,54.2403
2020-02-25,48.8222
2020-02-26,45.6815
2020-02-27,38.1562
2020-02-28,33.5394
2020-02-29,33.5394
2020-03-01,33.5394
2020-03-02,42.0589
2020-03-03,40.4964
2020-03-04,49.618
2020-03-05,47.5207
2020-03-06,47.6758
2020-03-07,47.6758
2020-03-08,47.6758
2020-03-09,41.2443
2020-03-10,41.6435
2020-03-11,39.2698
2020-03-12,33.0909
2020-03-13,40.2245
2020-03-14,40.2245
2020-03-15,40.2245
2020-03-16,35.6377
2020-03-17,48.2276
2020-03-18,46.7505
2020-03-19,42.3764
2020-03-20,36.4513
2020-03-21,36.4513
2020-03-22,36.4513
2020-03-23,34.1632
2020-03-24,39.7189
2020-03-25,40.811
2020-03-26,44.4461
2020-03-27,45.112
2020-03-28,45.112
2020-03-29,45.112
2020-03-30,48.1623
2020-03-31,46.3925
2020-04-01,44.2421
2020-04-02,45.7882
2020-04-03,44.2942
2020-04-04,44.2942
2020-04-05,44.2942
2020-04-06,49.3388
2020-04-07,46.9206
2020-04-08,49.0192
2020-04-09,50.246
2020-04-10,50.246
2020-04-11,50.246
2020-04-12,50.246
2020-04-13,49.3169
2020-04-14,51.637
2020-04-15,50.7629
2020-04-16,50.1343
2020-04-17,52.8248
2020-04-18,52.8248
2020-04-19,52.8248
2020-04-20,48.8537
2020-04-21,48.0577
2020-04-22,48.8163
