,MOH US Equity
,RSI_30D
2020-01-01,57.6117
2020-01-02,54.9569
2020-01-03,54.0354
2020-01-04,54.0354
2020-01-05,54.0354
2020-01-06,58.234
2020-01-07,59.7445
2020-01-08,63.0187
2020-01-09,62.6108
2020-01-10,62.5151
2020-01-11,62.5151
2020-01-12,62.5151
2020-01-13,58.3845
2020-01-14,50.7157
2020-01-15,56.0672
2020-01-16,57.3558
2020-01-17,53.8967
2020-01-18,53.8967
2020-01-19,53.8967
2020-01-20,53.8967
2020-01-21,54.9812
2020-01-22,54.4461
2020-01-23,54.6057
2020-01-24,51.7094
2020-01-25,51.7094
2020-01-26,51.7094
2020-01-27,47.0614
2020-01-28,49.3103
2020-01-29,47.7787
2020-01-30,46.049
2020-01-31,43.5718
2020-02-01,43.5718
2020-02-02,43.5718
2020-02-03,45.1857
2020-02-04,44.8671
2020-02-05,48.9766
2020-02-06,47.7539
2020-02-07,47.7329
2020-02-08,47.7329
2020-02-09,47.7329
2020-02-10,48.7821
2020-02-11,56.8023
2020-02-12,59.1644
2020-02-13,59.0481
2020-02-14,58.5798
2020-02-15,58.5798
2020-02-16,58.5798
2020-02-17,58.5798
2020-02-18,60.8758
2020-02-19,63.1916
2020-02-20,60.5108
2020-02-21,59.9687
2020-02-22,59.9687
2020-02-23,59.9687
2020-02-24,51.891
2020-02-25,46.7382
2020-02-26,46.5765
2020-02-27,44.2513
2020-02-28,43.4475
2020-02-29,43.4475
2020-03-01,43.4475
2020-03-02,46.3952
2020-03-03,43.9649
2020-03-04,54.0976
2020-03-05,52.9392
2020-03-06,52.0389
2020-03-07,52.0389
2020-03-08,52.0389
2020-03-09,49.4435
2020-03-10,51.1201
2020-03-11,49.0415
2020-03-12,48.1871
2020-03-13,55.1929
2020-03-14,55.1929
2020-03-15,55.1929
2020-03-16,45.558
2020-03-17,47.1262
2020-03-18,45.2326
2020-03-19,45.4041
2020-03-20,43.2131
2020-03-21,43.2131
2020-03-22,43.2131
2020-03-23,41.3837
2020-03-24,45.4409
2020-03-25,49.8154
2020-03-26,52.9067
2020-03-27,51.2942
2020-03-28,51.2942
2020-03-29,51.2942
2020-03-30,52.5932
2020-03-31,52.7055
2020-04-01,49.805
2020-04-02,50.5686
2020-04-03,50.1097
2020-04-04,50.1097
2020-04-05,50.1097
2020-04-06,53.0081
2020-04-07,52.6904
2020-04-08,57.8187
2020-04-09,56.271
2020-04-10,56.271
2020-04-11,56.271
2020-04-12,56.271
2020-04-13,57.2204
2020-04-14,58.9873
2020-04-15,57.827
2020-04-16,60.62
2020-04-17,60.1798
2020-04-18,60.1798
2020-04-19,60.1798
2020-04-20,58.0851
2020-04-21,56.655
2020-04-22,57.4778
2020-04-23,58.5438
2020-04-24,58.8378
2020-04-25,58.8378
2020-04-26,58.8378
2020-04-27,59.5625
