,PFS US Equity
,RSI_30D
2020-01-01,49.721
2020-01-02,47.4604
2020-01-03,47.9755
2020-01-04,47.9755
2020-01-05,47.9755
2020-01-06,45.1155
2020-01-07,43.7137
2020-01-08,47.4796
2020-01-09,44.7054
2020-01-10,44.6018
2020-01-11,44.6018
2020-01-12,44.6018
2020-01-13,45.6451
2020-01-14,47.6836
2020-01-15,46.3353
2020-01-16,48.8299
2020-01-17,48.4802
2020-01-18,48.4802
2020-01-19,48.4802
2020-01-20,48.4802
2020-01-21,45.4498
2020-01-22,44.3868
2020-01-23,46.0827
2020-01-24,43.1508
2020-01-25,43.1508
2020-01-26,43.1508
2020-01-27,39.9574
2020-01-28,40.2266
2020-01-29,38.1058
2020-01-30,40.9249
2020-01-31,35.0302
2020-02-01,35.0302
2020-02-02,35.0302
2020-02-03,39.2542
2020-02-04,40.8456
2020-02-05,42.7303
2020-02-06,41.1352
2020-02-07,41.3617
2020-02-08,41.3617
2020-02-09,41.3617
2020-02-10,38.7409
2020-02-11,39.2097
2020-02-12,41.1884
2020-02-13,43.8827
2020-02-14,42.1354
2020-02-15,42.1354
2020-02-16,42.1354
2020-02-17,42.1354
2020-02-18,41.5647
2020-02-19,41.2346
2020-02-20,41.0659
2020-02-21,40.8068
2020-02-22,40.8068
2020-02-23,40.8068
2020-02-24,38.4638
2020-02-25,33.8029
2020-02-26,31.8381
2020-02-27,27.3205
2020-02-28,24.5006
2020-02-29,24.5006
2020-03-01,24.5006
2020-03-02,34.1771
2020-03-03,32.7597
2020-03-04,34.394
2020-03-05,30.1048
2020-03-06,29.8406
2020-03-07,29.8406
2020-03-08,29.8406
2020-03-09,23.1697
2020-03-10,22.8132
2020-03-11,20.5068
2020-03-12,16.0927
2020-03-13,23.8954
2020-03-14,23.8954
2020-03-15,23.8954
2020-03-16,20.1669
2020-03-17,24.0064
2020-03-18,19.6824
2020-03-19,23.1365
2020-03-20,23.0365
2020-03-21,23.0365
2020-03-22,23.0365
2020-03-23,24.8835
2020-03-24,30.4917
2020-03-25,29.6587
2020-03-26,34.3337
2020-03-27,35.1842
2020-03-28,35.1842
2020-03-29,35.1842
2020-03-30,35.0153
2020-03-31,34.2777
2020-04-01,34.1442
2020-04-02,35.3355
2020-04-03,33.9459
2020-04-04,33.9459
2020-04-05,33.9459
2020-04-06,35.9919
2020-04-07,36.8383
2020-04-08,38.4133
2020-04-09,43.1534
2020-04-10,43.1534
2020-04-11,43.1534
2020-04-12,43.1534
2020-04-13,40.8376
2020-04-14,40.7234
2020-04-15,38.4754
2020-04-16,36.9905
2020-04-17,40.6609
2020-04-18,40.6609
2020-04-19,40.6609
2020-04-20,40.2639
2020-04-21,40.1962
2020-04-22,39.8727
2020-04-23,40.8229
2020-04-24,41.0371
2020-04-25,41.0371
2020-04-26,41.0371
2020-04-27,44.1069
2020-04-28,45.927
2020-04-29,50.0002
2020-04-30,45.3744
2020-05-01,43.7154
2020-05-02,43.7154
2020-05-03,43.7154
2020-05-04,42.5491
2020-05-05,41.8333
2020-05-06,41.4148
2020-05-07,42.0479
2020-05-08,43.9283
2020-05-09,43.9283
2020-05-10,43.9283
2020-05-11,42.5987
2020-05-12,40.6764
2020-05-13,39.5681
2020-05-14,39.4028
2020-05-15,40.2509
2020-05-16,40.2509
2020-05-17,40.2509
2020-05-18,44.7384
2020-05-19,43.2787
2020-05-20,45.1626
2020-05-21,44.8115
2020-05-22,44.1827
2020-05-23,44.1827
2020-05-24,44.1827
2020-05-25,44.1827
2020-05-26,46.9291
2020-05-27,50.9482
2020-05-28,48.2289
2020-05-29,46.4733
2020-05-30,46.4733
2020-05-31,46.4733
2020-06-01,46.5042
2020-06-02,46.0082
2020-06-03,48.742
2020-06-04,49.7405
2020-06-05,52.7691
2020-06-06,52.7691
2020-06-07,52.7691
2020-06-08,53.8379
2020-06-09,52.7301
2020-06-10,49.6786
2020-06-11,46.4053
2020-06-12,47.2216
2020-06-13,47.2216
2020-06-14,47.2216
2020-06-15,47.74
2020-06-16,49.1383
2020-06-17,47.4536
2020-06-18,47.4536
2020-06-19,46.8994
2020-06-20,46.8994
2020-06-21,46.8994
2020-06-22,47.7956
2020-06-23,47.4885
2020-06-24,46.1094
2020-06-25,48.2514
2020-06-26,47.1568
2020-06-27,47.1568
2020-06-28,47.1568
2020-06-29,50.7249
2020-06-30,51.6934
2020-07-01,49.1161
2020-07-02,48.8015
2020-07-03,48.8015
2020-07-04,48.8015
2020-07-05,48.8015
2020-07-06,49.4381
2020-07-07,48.3578
2020-07-08,48.1598
2020-07-09,46.55
2020-07-10,48.6865
2020-07-11,48.6865
2020-07-12,48.6865
2020-07-13,49.6395
2020-07-14,49.6042
2020-07-15,51.9037
2020-07-16,52.422
2020-07-17,50.7987
2020-07-18,50.7987
2020-07-19,50.7987
2020-07-20,48.5906
2020-07-21,51.4535
2020-07-22,51.4165
2020-07-23,52.6844
2020-07-24,51.9059
2020-07-25,51.9059
2020-07-26,51.9059
2020-07-27,50.7044
2020-07-28,51.7115
2020-07-29,52.4558
2020-07-30,51.3104
2020-07-31,48.7539
2020-08-01,48.7539
2020-08-02,48.7539
2020-08-03,47.4739
2020-08-04,47.8902
2020-08-05,48.0605
2020-08-06,47.4588
2020-08-07,51.9405
2020-08-08,51.9405
2020-08-09,51.9405
2020-08-10,52.5224
2020-08-11,52.6804
2020-08-12,52.4996
2020-08-13,50.9378
2020-08-14,51.8957
2020-08-15,51.8957
2020-08-16,51.8957
2020-08-17,50.3248
2020-08-18,48.7968
2020-08-19,49.2655
2020-08-20,47.7727
2020-08-21,46.2781
2020-08-22,46.2781
2020-08-23,46.2781
2020-08-24,50.0354
2020-08-25,49.6715
2020-08-26,47.7407
2020-08-27,49.1205
2020-08-28,48.6622
2020-08-29,48.6622
2020-08-30,48.6622
2020-08-31,47.6503
2020-09-01,48.0062
2020-09-02,47.958
2020-09-03,48.756
2020-09-04,50.2809
2020-09-05,50.2809
2020-09-06,50.2809
2020-09-07,50.2809
2020-09-08,47.4598
2020-09-09,46.0749
2020-09-10,45.6944
2020-09-11,46.0401
2020-09-12,46.0401
2020-09-13,46.0401
2020-09-14,49.9415
2020-09-15,47.7292
2020-09-16,48.4275
2020-09-17,48.0698
2020-09-18,46.5948
2020-09-19,46.5948
2020-09-20,46.5948
2020-09-21,44.1313
2020-09-22,43.1593
2020-09-23,41.6239
2020-09-24,42.9214
2020-09-25,42.9838
2020-09-26,42.9838
2020-09-27,42.9838
2020-09-28,45.5114
2020-09-29,44.3216
2020-09-30,44.4468
2020-10-01,44.8954
2020-10-02,47.8222
2020-10-03,47.8222
2020-10-04,47.8222
2020-10-05,49.5332
2020-10-06,49.2452
2020-10-07,50.0858
2020-10-08,51.7967
2020-10-09,50.3201
2020-10-10,50.3201
2020-10-11,50.3201
2020-10-12,51.8007
2020-10-13,48.5664
2020-10-14,47.6544
2020-10-15,49.8465
2020-10-16,49.4301
2020-10-17,49.4301
2020-10-18,49.4301
2020-10-19,47.9503
2020-10-20,49.8154
2020-10-21,50.9073
2020-10-22,54.2803
2020-10-23,53.8908
2020-10-24,53.8908
2020-10-25,53.8908
2020-10-26,53.4937
2020-10-27,51.5296
2020-10-28,49.5835
2020-10-29,51.2426
2020-10-30,52.4419
2020-10-31,52.4419
2020-11-01,52.4419
2020-11-02,55.8147
2020-11-03,56.6625
2020-11-04,51.6631
2020-11-05,54.6358
2020-11-06,52.2042
2020-11-07,52.2042
2020-11-08,52.2042
2020-11-09,60.0542
2020-11-10,60.8524
2020-11-11,57.3524
2020-11-12,55.4606
2020-11-13,56.0603
2020-11-14,56.0603
2020-11-15,56.0603
2020-11-16,58.6133
2020-11-17,59.783
2020-11-18,59.1489
2020-11-19,58.5648
2020-11-20,59.8765
2020-11-21,59.8765
2020-11-22,59.8765
2020-11-23,61.1104
