,ETN US Equity
,RSI_30D
2020-01-01,68.2714
2020-01-02,70.1398
2020-01-03,67.5975
2020-01-04,67.5975
2020-01-05,67.5975
2020-01-06,67.9026
2020-01-07,66.1136
2020-01-08,66.6409
2020-01-09,66.7517
2020-01-10,65.9589
2020-01-11,65.9589
2020-01-12,65.9589
2020-01-13,65.499
2020-01-14,62.6379
2020-01-15,61.9018
2020-01-16,63.9195
2020-01-17,65.6773
2020-01-18,65.6773
2020-01-19,65.6773
2020-01-20,65.6773
2020-01-21,61.4968
2020-01-22,66.5149
2020-01-23,67.7342
2020-01-24,64.2664
2020-01-25,64.2664
2020-01-26,64.2664
2020-01-27,57.9015
2020-01-28,60.8717
2020-01-29,61.8954
2020-01-30,62.5043
2020-01-31,55.4738
2020-02-01,55.4738
2020-02-02,55.4738
2020-02-03,57.3096
2020-02-04,65.1971
2020-02-05,66.8679
2020-02-06,67.0282
2020-02-07,65.8048
2020-02-08,65.8048
2020-02-09,65.8048
2020-02-10,66.9451
2020-02-11,67.6728
2020-02-12,68.2559
2020-02-13,65.4707
2020-02-14,66.2944
2020-02-15,66.2944
2020-02-16,66.2944
2020-02-17,66.2944
2020-02-18,67.4153
2020-02-19,67.0144
2020-02-20,67.9869
2020-02-21,67.5436
2020-02-22,67.5436
2020-02-23,67.5436
2020-02-24,59.7656
2020-02-25,53.1279
2020-02-26,50.3849
2020-02-27,45.4147
2020-02-28,42.1681
2020-02-29,42.1681
2020-03-01,42.1681
2020-03-02,49.5165
2020-03-03,46.0619
2020-03-04,52.4522
2020-03-05,47.523
2020-03-06,46.6186
2020-03-07,46.6186
2020-03-08,46.6186
2020-03-09,38.4251
2020-03-10,44.6191
2020-03-11,41.2261
2020-03-12,36.4633
2020-03-13,44.7139
2020-03-14,44.7139
2020-03-15,44.7139
2020-03-16,39.1302
2020-03-17,38.3655
2020-03-18,36.0933
2020-03-19,38.8572
2020-03-20,35.5612
2020-03-21,35.5612
2020-03-22,35.5612
2020-03-23,32.8193
2020-03-24,41.5679
2020-03-25,43.4882
2020-03-26,45.4837
2020-03-27,43.8554
2020-03-28,43.8554
2020-03-29,43.8554
2020-03-30,45.8969
2020-03-31,45.6109
2020-04-01,43.5823
2020-04-02,43.8379
2020-04-03,42.7951
2020-04-04,42.7951
2020-04-05,42.7951
2020-04-06,46.27
2020-04-07,45.6911
2020-04-08,47.8573
2020-04-09,48.5507
2020-04-10,48.5507
2020-04-11,48.5507
2020-04-12,48.5507
2020-04-13,47.0327
2020-04-14,47.8349
2020-04-15,45.8058
2020-04-16,45.8521
2020-04-17,47.8372
2020-04-18,47.8372
2020-04-19,47.8372
2020-04-20,47.1254
2020-04-21,46.6122
2020-04-22,47.0625
2020-04-23,47.3728
2020-04-24,47.8221
2020-04-25,47.8221
2020-04-26,47.8221
2020-04-27,50.1058
2020-04-28,50.4472
2020-04-29,52.071
2020-04-30,50.6114
2020-05-01,49.7074
2020-05-02,49.7074
2020-05-03,49.7074
2020-05-04,48.0018
2020-05-05,48.9765
2020-05-06,48.4182
2020-05-07,48.6522
2020-05-08,50.0245
2020-05-09,50.0245
2020-05-10,50.0245
2020-05-11,49.2244
2020-05-12,46.827
2020-05-13,45.0179
2020-05-14,45.8055
2020-05-15,45.0355
2020-05-16,45.0355
2020-05-17,45.0355
2020-05-18,48.4425
2020-05-19,47.1625
2020-05-20,48.3262
2020-05-21,48.5913
2020-05-22,48.8778
2020-05-23,48.8778
2020-05-24,48.8778
2020-05-25,48.8778
2020-05-26,51.2798
2020-05-27,54.2623
2020-05-28,53.3708
2020-05-29,53.19
2020-05-30,53.19
2020-05-31,53.19
2020-06-01,52.9962
2020-06-02,53.6943
2020-06-03,56.2897
2020-06-04,58.0342
2020-06-05,60.1614
2020-06-06,60.1614
2020-06-07,60.1614
2020-06-08,60.3067
2020-06-09,60.0707
2020-06-10,56.9017
2020-06-11,51.3243
2020-06-12,51.9502
2020-06-13,51.9502
2020-06-14,51.9502
2020-06-15,52.4391
2020-06-16,54.0397
2020-06-17,53.9562
2020-06-18,52.8497
2020-06-19,54.1924
2020-06-20,54.1924
2020-06-21,54.1924
2020-06-22,52.2698
2020-06-23,52.3008
2020-06-24,49.7055
2020-06-25,50.889
2020-06-26,50.9136
2020-06-27,50.9136
2020-06-28,50.9136
2020-06-29,52.0784
2020-06-30,52.5493
2020-07-01,52.1956
2020-07-02,53.1738
2020-07-03,53.1738
2020-07-04,53.1738
2020-07-05,53.1738
2020-07-06,53.7238
2020-07-07,52.2556
2020-07-08,52.1958
2020-07-09,50.5013
2020-07-10,51.2714
2020-07-11,51.2714
2020-07-12,51.2714
2020-07-13,52.223
2020-07-14,55.1859
2020-07-15,57.484
2020-07-16,57.6158
2020-07-17,58.4567
2020-07-18,58.4567
2020-07-19,58.4567
2020-07-20,56.4051
2020-07-21,57.084
2020-07-22,57.4444
2020-07-23,57.2745
2020-07-24,57.0005
2020-07-25,57.0005
2020-07-26,57.0005
2020-07-27,58.5127
2020-07-28,56.1303
2020-07-29,59.3465
2020-07-30,56.4177
