,SNA US Equity
,RSI_30D
2020-03-26,38.8454
2020-03-27,37.1466
2020-03-28,37.1466
2020-03-29,37.1466
2020-03-30,39.6329
2020-03-31,38.3572
2020-04-01,37.022
2020-04-02,36.0318
2020-04-03,34.5854
2020-04-04,34.5854
2020-04-05,34.5854
2020-04-06,39.6105
2020-04-07,41.2796
2020-04-08,44.0747
2020-04-09,46.3593
2020-04-10,46.3593
2020-04-11,46.3593
2020-04-12,46.3593
2020-04-13,43.7758
2020-04-14,44.5865
2020-04-15,42.5415
2020-04-16,43.0068
2020-04-17,46.049
2020-04-18,46.049
2020-04-19,46.049
2020-04-20,44.8437
2020-04-21,43.5208
2020-04-22,44.8365
2020-04-23,44.8063
2020-04-24,45.8125
2020-04-25,45.8125
2020-04-26,45.8125
2020-04-27,49.3803
2020-04-28,49.894
2020-04-29,53.2152
2020-04-30,51.204
2020-05-01,48.9218
2020-05-02,48.9218
2020-05-03,48.9218
2020-05-04,47.9823
2020-05-05,48.0874
2020-05-06,47.3652
2020-05-07,48.3868
2020-05-08,50.4177
2020-05-09,50.4177
2020-05-10,50.4177
2020-05-11,49.439
2020-05-12,48.6157
2020-05-13,47.566
2020-05-14,49.1862
2020-05-15,48.8043
2020-05-16,48.8043
2020-05-17,48.8043
2020-05-18,53.3631
2020-05-19,52.7178
2020-05-20,53.463
2020-05-21,53.0819
2020-05-22,51.3057
2020-05-23,51.3057
2020-05-24,51.3057
2020-05-25,51.3057
2020-05-26,54.5101
2020-05-27,54.1515
2020-05-28,53.0276
2020-05-29,51.2128
2020-05-30,51.2128
2020-05-31,51.2128
2020-06-01,51.3486
2020-06-02,53.2049
2020-06-03,55.8002
2020-06-04,56.5338
2020-06-05,59.8522
2020-06-06,59.8522
2020-06-07,59.8522
2020-06-08,61.1278
2020-06-09,58.8141
2020-06-10,56.0178
2020-06-11,50.8308
2020-06-12,51.4699
2020-06-13,51.4699
2020-06-14,51.4699
2020-06-15,51.644
2020-06-16,52.3516
2020-06-17,51.7898
2020-06-18,51.6298
2020-06-19,51.7497
2020-06-20,51.7497
2020-06-21,51.7497
2020-06-22,51.2801
2020-06-23,52.2616
2020-06-24,49.3233
2020-06-25,49.7296
2020-06-26,50.6102
2020-06-27,50.6102
2020-06-28,50.6102
2020-06-29,51.7967
2020-06-30,52.9071
2020-07-01,50.706
2020-07-02,51.5934
2020-07-03,51.5934
2020-07-04,51.5934
2020-07-05,51.5934
2020-07-06,52.0802
2020-07-07,50.6092
2020-07-08,49.9334
2020-07-09,47.9514
2020-07-10,49.5306
2020-07-11,49.5306
2020-07-12,49.5306
2020-07-13,50.2976
2020-07-14,51.8625
2020-07-15,54.2948
2020-07-16,54.9448
2020-07-17,53.3136
2020-07-18,53.3136
2020-07-19,53.3136
2020-07-20,51.768
2020-07-21,53.0449
2020-07-22,52.8732
2020-07-23,54.3707
2020-07-24,54.0204
2020-07-25,54.0204
2020-07-26,54.0204
2020-07-27,55.9733
2020-07-28,54.3583
2020-07-29,55.882
2020-07-30,55.4256
2020-07-31,55.7218
2020-08-01,55.7218
2020-08-02,55.7218
2020-08-03,54.2501
2020-08-04,54.3277
2020-08-05,56.7161
2020-08-06,55.4015
2020-08-07,55.9866
2020-08-08,55.9866
2020-08-09,55.9866
2020-08-10,57.4908
2020-08-11,59.4389
2020-08-12,59.0695
2020-08-13,58.8575
2020-08-14,59.1499
2020-08-15,59.1499
2020-08-16,59.1499
2020-08-17,58.75
2020-08-18,57.6452
2020-08-19,57.3255
2020-08-20,56.1443
2020-08-21,55.3441
2020-08-22,55.3441
2020-08-23,55.3441
2020-08-24,56.2485
2020-08-25,55.0361
2020-08-26,54.5091
2020-08-27,54.8051
2020-08-28,56.7374
2020-08-29,56.7374
2020-08-30,56.7374
2020-08-31,54.8899
2020-09-01,57.0296
2020-09-02,59.516
2020-09-03,56.1298
2020-09-04,56.0615
2020-09-05,56.0615
2020-09-06,56.0615
2020-09-07,56.0615
2020-09-08,53.0921
2020-09-09,55.022
2020-09-10,52.8068
2020-09-11,52.8856
2020-09-12,52.8856
2020-09-13,52.8856
2020-09-14,56.3208
2020-09-15,56.4062
2020-09-16,53.2056
2020-09-17,52.9007
2020-09-18,51.9444
2020-09-19,51.9444
2020-09-20,51.9444
2020-09-21,47.0193
2020-09-22,49.6847
2020-09-23,47.3383
2020-09-24,47.5644
2020-09-25,48.064
2020-09-26,48.064
2020-09-27,48.064
2020-09-28,51.4989
2020-09-29,50.5291
2020-09-30,51.7699
2020-10-01,50.255
2020-10-02,52.4053
2020-10-03,52.4053
2020-10-04,52.4053
2020-10-05,54.7717
2020-10-06,57.5229
2020-10-07,58.898
2020-10-08,58.8896
2020-10-09,57.8828
2020-10-10,57.8828
2020-10-11,57.8828
2020-10-12,58.2272
2020-10-13,56.2464
2020-10-14,57.1421
2020-10-15,57.8897
2020-10-16,58.6681
2020-10-17,58.6681
2020-10-18,58.6681
2020-10-19,55.7986
2020-10-20,54.9045
2020-10-21,55.1499
2020-10-22,63.6784
2020-10-23,63.6255
2020-10-24,63.6255
2020-10-25,63.6255
2020-10-26,59.258
2020-10-27,54.841
2020-10-28,52.256
2020-10-29,53.0096
2020-10-30,53.9988
2020-10-31,53.9988
2020-11-01,53.9988
2020-11-02,57.5799
2020-11-03,57.6397
2020-11-04,53.2063
2020-11-05,55.5029
2020-11-06,56.0173
2020-11-07,56.0173
2020-11-08,56.0173
2020-11-09,58.9478
