,KNX US Equity
,RSI_30D
2020-01-01,47.756
2020-01-02,52.2137
2020-01-03,50.7718
2020-01-04,50.7718
2020-01-05,50.7718
2020-01-06,50.9611
2020-01-07,53.3726
2020-01-08,52.4288
2020-01-09,52.1386
2020-01-10,53.0226
2020-01-11,53.0226
2020-01-12,53.0226
2020-01-13,53.7903
2020-01-14,55.8076
2020-01-15,55.7144
2020-01-16,56.056
2020-01-17,53.4949
2020-01-18,53.4949
2020-01-19,53.4949
2020-01-20,53.4949
2020-01-21,52.1262
2020-01-22,50.7385
2020-01-23,53.1919
2020-01-24,51.2238
2020-01-25,51.2238
2020-01-26,51.2238
2020-01-27,48.4823
2020-01-28,47.4714
2020-01-29,52.7322
2020-01-30,54.836
2020-01-31,50.9905
2020-02-01,50.9905
2020-02-02,50.9905
2020-02-03,51.8003
2020-02-04,52.098
2020-02-05,55.3771
2020-02-06,54.7867
2020-02-07,54.316
2020-02-08,54.316
2020-02-09,54.316
2020-02-10,55.6768
2020-02-11,54.701
2020-02-12,58.6848
2020-02-13,59.3797
2020-02-14,56.9476
2020-02-15,56.9476
2020-02-16,56.9476
2020-02-17,56.9476
2020-02-18,57.97
2020-02-19,59.23
2020-02-20,58.7627
2020-02-21,56.8153
2020-02-22,56.8153
2020-02-23,56.8153
2020-02-24,50.7283
2020-02-25,44.6962
2020-02-26,39.2954
2020-02-27,37.1808
2020-02-28,34.7767
2020-02-29,34.7767
2020-03-01,34.7767
2020-03-02,39.7137
2020-03-03,37.6825
2020-03-04,40.4677
2020-03-05,38.0389
2020-03-06,41.2465
2020-03-07,41.2465
2020-03-08,41.2465
2020-03-09,39.0332
2020-03-10,40.9454
2020-03-11,37.7206
2020-03-12,33.9092
2020-03-13,40.4344
2020-03-14,40.4344
2020-03-15,40.4344
2020-03-16,36.9585
2020-03-17,45.6233
2020-03-18,46.8074
2020-03-19,42.8383
2020-03-20,42.1853
2020-03-21,42.1853
2020-03-22,42.1853
2020-03-23,40.7846
2020-03-24,44.317
2020-03-25,45.939
2020-03-26,44.7589
2020-03-27,46.0074
2020-03-28,46.0074
2020-03-29,46.0074
2020-03-30,48.385
2020-03-31,47.5804
2020-04-01,45.0349
2020-04-02,44.5601
2020-04-03,42.5109
2020-04-04,42.5109
2020-04-05,42.5109
2020-04-06,48.0654
2020-04-07,48.5991
2020-04-08,50.1398
2020-04-09,52.0425
2020-04-10,52.0425
2020-04-11,52.0425
2020-04-12,52.0425
2020-04-13,50.1621
2020-04-14,51.4938
2020-04-15,50.6836
2020-04-16,52.5965
2020-04-17,54.366
2020-04-18,54.366
2020-04-19,54.366
2020-04-20,53.433
2020-04-21,51.8745
2020-04-22,51.9733
2020-04-23,52.092
2020-04-24,53.0523
2020-04-25,53.0523
2020-04-26,53.0523
2020-04-27,55.5228
2020-04-28,55.9227
2020-04-29,58.1789
2020-04-30,54.4041
2020-05-01,55.5657
2020-05-02,55.5657
2020-05-03,55.5657
2020-05-04,55.4275
2020-05-05,55.785
2020-05-06,54.956
2020-05-07,54.1854
2020-05-08,54.9449
2020-05-09,54.9449
2020-05-10,54.9449
2020-05-11,56.2703
2020-05-12,54.8857
2020-05-13,54.0343
2020-05-14,54.3909
2020-05-15,54.5827
2020-05-16,54.5827
2020-05-17,54.5827
2020-05-18,56.9964
2020-05-19,57.3778
2020-05-20,56.3438
2020-05-21,55.6521
2020-05-22,58.193
2020-05-23,58.193
2020-05-24,58.193
2020-05-25,58.193
2020-05-26,59.0976
2020-05-27,58.7818
2020-05-28,60.2113
2020-05-29,61.1931
2020-05-30,61.1931
2020-05-31,61.1931
2020-06-01,58.6091
2020-06-02,57.4209
2020-06-03,57.0751
2020-06-04,58.6056
2020-06-05,58.4097
2020-06-06,58.4097
2020-06-07,58.4097
2020-06-08,58.4097
2020-06-09,56.4207
2020-06-10,57.8829
2020-06-11,52.1111
2020-06-12,53.114
2020-06-13,53.114
2020-06-14,53.114
2020-06-15,54.8738
2020-06-16,55.4504
2020-06-17,57.3104
2020-06-18,60.1169
2020-06-19,59.4753
2020-06-20,59.4753
2020-06-21,59.4753
2020-06-22,57.6758
2020-06-23,59.5273
2020-06-24,57.0801
2020-06-25,56.6518
2020-06-26,56.5147
2020-06-27,56.5147
2020-06-28,56.5147
2020-06-29,57.0947
2020-06-30,57.2911
2020-07-01,55.6512
2020-07-02,57.6017
2020-07-03,57.6017
2020-07-04,57.6017
2020-07-05,57.6017
2020-07-06,59.7688
2020-07-07,61.9006
2020-07-08,61.3759
2020-07-09,61.3958
2020-07-10,61.0053
2020-07-11,61.0053
2020-07-12,61.0053
2020-07-13,54.707
2020-07-14,57.5159
2020-07-15,57.9721
2020-07-16,59.1882
2020-07-17,61.4565
2020-07-18,61.4565
2020-07-19,61.4565
2020-07-20,62.1506
2020-07-21,61.2866
2020-07-22,61.3461
2020-07-23,62.169
2020-07-24,60.7018
2020-07-25,60.7018
2020-07-26,60.7018
2020-07-27,58.7264
2020-07-28,54.9938
2020-07-29,55.9212
2020-07-30,54.8685
2020-07-31,55.3754
2020-08-01,55.3754
2020-08-02,55.3754
2020-08-03,54.3825
2020-08-04,55.6295
2020-08-05,51.6018
2020-08-06,51.7589
2020-08-07,52.9183
2020-08-08,52.9183
2020-08-09,52.9183
2020-08-10,54.7833
2020-08-11,57.0268
2020-08-12,57.3329
2020-08-13,54.9649
2020-08-14,55.066
2020-08-15,55.066
2020-08-16,55.066
2020-08-17,54.9067
2020-08-18,55.5976
2020-08-19,57.1898
2020-08-20,58.7452
2020-08-21,62.2049
2020-08-22,62.2049
2020-08-23,62.2049
2020-08-24,60.1989
2020-08-25,59.4467
2020-08-26,60.7162
2020-08-27,58.8788
2020-08-28,58.6364
2020-08-29,58.6364
2020-08-30,58.6364
2020-08-31,56.9386
2020-09-01,59.0893
2020-09-02,58.7364
2020-09-03,56.398
2020-09-04,55.9509
2020-09-05,55.9509
2020-09-06,55.9509
2020-09-07,55.9509
2020-09-08,56.1445
2020-09-09,59.0947
2020-09-10,56.4071
2020-09-11,54.5171
2020-09-12,54.5171
2020-09-13,54.5171
2020-09-14,48.9704
2020-09-15,50.174
2020-09-16,45.9313
2020-09-17,45.5802
2020-09-18,45.6109
2020-09-19,45.6109
2020-09-20,45.6109
2020-09-21,44.2417
2020-09-22,42.5466
2020-09-23,43.2086
2020-09-24,44.916
2020-09-25,46.3596
2020-09-26,46.3596
2020-09-27,46.3596
2020-09-28,47.2182
2020-09-29,44.5155
2020-09-30,42.9485
2020-10-01,42.4418
2020-10-02,46.0933
2020-10-03,46.0933
