,ZUMZ US Equity
,RSI_30D
2020-01-01,55.2777
2020-01-02,53.9255
2020-01-03,53.1484
2020-01-04,53.1484
2020-01-05,53.1484
2020-01-06,54.6563
2020-01-07,53.9441
2020-01-08,54.7399
2020-01-09,53.1102
2020-01-10,52.5291
2020-01-11,52.5291
2020-01-12,52.5291
2020-01-13,50.2537
2020-01-14,54.5222
2020-01-15,52.4786
2020-01-16,54.5518
2020-01-17,54.0034
2020-01-18,54.0034
2020-01-19,54.0034
2020-01-20,54.0034
2020-01-21,50.1769
2020-01-22,47.8138
2020-01-23,47.7094
2020-01-24,47.229
2020-01-25,47.229
2020-01-26,47.229
2020-01-27,46.7689
2020-01-28,48.1819
2020-01-29,48.3668
2020-01-30,49.0564
2020-01-31,44.833
2020-02-01,44.833
2020-02-02,44.833
2020-02-03,49.1226
2020-02-04,47.8751
2020-02-05,49.4345
2020-02-06,49.0968
2020-02-07,47.2334
2020-02-08,47.2334
2020-02-09,47.2334
2020-02-10,47.9652
2020-02-11,50.0553
2020-02-12,53.9631
2020-02-13,52.7684
2020-02-14,49.2702
2020-02-15,49.2702
2020-02-16,49.2702
2020-02-17,49.2702
2020-02-18,48.678
2020-02-19,47.628
2020-02-20,48.4828
2020-02-21,46.1455
2020-02-22,46.1455
2020-02-23,46.1455
2020-02-24,44.4142
2020-02-25,41.545
2020-02-26,39.9987
2020-02-27,36.6519
2020-02-28,35.4683
2020-02-29,35.4683
2020-03-01,35.4683
2020-03-02,34.0465
2020-03-03,32.8709
2020-03-04,35.7641
2020-03-05,34.6972
2020-03-06,34.222
2020-03-07,34.222
2020-03-08,34.222
2020-03-09,32.976
2020-03-10,29.545
2020-03-11,27.9718
2020-03-12,24.9189
2020-03-13,27.4585
2020-03-14,27.4585
2020-03-15,27.4585
2020-03-16,26.802
2020-03-17,25.4317
2020-03-18,25.0302
2020-03-19,31.8578
2020-03-20,30.1321
2020-03-21,30.1321
2020-03-22,30.1321
2020-03-23,29.3224
2020-03-24,36.16
2020-03-25,35.4956
2020-03-26,34.5442
2020-03-27,33.0348
2020-03-28,33.0348
2020-03-29,33.0348
2020-03-30,32.9839
2020-03-31,32.8397
