,CLB US Equity
,RSI_30D
2020-01-01,42.3601
2020-01-02,43.6019
2020-01-03,46.318
2020-01-04,46.318
2020-01-05,46.318
2020-01-06,47.6379
2020-01-07,48.1038
2020-01-08,46.6164
2020-01-09,46.3455
2020-01-10,46.7163
2020-01-11,46.7163
2020-01-12,46.7163
2020-01-13,46.7337
2020-01-14,47.6139
2020-01-15,46.2385
2020-01-16,46.3675
2020-01-17,46.1874
2020-01-18,46.1874
2020-01-19,46.1874
2020-01-20,46.1874
2020-01-21,45.3264
2020-01-22,44.9101
2020-01-23,44.6878
2020-01-24,43.3066
2020-01-25,43.3066
2020-01-26,43.3066
2020-01-27,40.2703
2020-01-28,40.3609
2020-01-29,39.8297
2020-01-30,41.1724
2020-01-31,39.4165
2020-02-01,39.4165
2020-02-02,39.4165
2020-02-03,39.0562
2020-02-04,42.5961
2020-02-05,43.8776
2020-02-06,43.1951
2020-02-07,40.0244
2020-02-08,40.0244
2020-02-09,40.0244
2020-02-10,39.1723
2020-02-11,38.692
2020-02-12,39.066
2020-02-13,38.0573
2020-02-14,39.1663
2020-02-15,39.1663
2020-02-16,39.1663
2020-02-17,39.1663
2020-02-18,37.9882
2020-02-19,37.5501
2020-02-20,37.4178
2020-02-21,35.0544
2020-02-22,35.0544
2020-02-23,35.0544
2020-02-24,33.1241
2020-02-25,31.9254
2020-02-26,31.0049
2020-02-27,29.2713
2020-02-28,29.136
2020-02-29,29.136
2020-03-01,29.136
2020-03-02,31.5177
2020-03-03,30.9
2020-03-04,30.1946
2020-03-05,28.7106
2020-03-06,26.7744
2020-03-07,26.7744
2020-03-08,26.7744
2020-03-09,18.6406
2020-03-10,18.3831
2020-03-11,17.2421
2020-03-12,15.8692
2020-03-13,16.8948
2020-03-14,16.8948
2020-03-15,16.8948
2020-03-16,16.7329
2020-03-17,16.6478
2020-03-18,16.8022
2020-03-19,20.2163
2020-03-20,21.607
2020-03-21,21.607
2020-03-22,21.607
2020-03-23,21.5031
2020-03-24,24.2891
2020-03-25,23.7856
2020-03-26,23.7776
2020-03-27,23.3647
2020-03-28,23.3647
2020-03-29,23.3647
2020-03-30,23.1688
2020-03-31,25.4059
