,CODI US Equity
,RSI_30D
2020-01-01,62.8577
2020-01-02,63.7242
2020-01-03,64.707
2020-01-04,64.707
2020-01-05,64.707
2020-01-06,61.8193
2020-01-07,63.0806
2020-01-08,62.5033
2020-01-09,61.5133
2020-01-10,60.5217
2020-01-11,60.5217
2020-01-12,60.5217
2020-01-13,61.0942
2020-01-14,61.8945
2020-01-15,62.0893
2020-01-16,57.6377
2020-01-17,53.3551
2020-01-18,53.3551
2020-01-19,53.3551
2020-01-20,53.3551
2020-01-21,54.4195
2020-01-22,56.2277
2020-01-23,57.0255
2020-01-24,54.3812
2020-01-25,54.3812
2020-01-26,54.3812
2020-01-27,54.8672
2020-01-28,55.6231
2020-01-29,54.1872
2020-01-30,54.2342
2020-01-31,51.6051
2020-02-01,51.6051
2020-02-02,51.6051
2020-02-03,48.561
2020-02-04,49.6367
2020-02-05,50.6533
2020-02-06,51.7121
2020-02-07,49.2152
2020-02-08,49.2152
2020-02-09,49.2152
2020-02-10,51.0981
2020-02-11,51.6494
2020-02-12,51.9043
2020-02-13,51.7913
2020-02-14,49.6659
2020-02-15,49.6659
2020-02-16,49.6659
2020-02-17,49.6659
2020-02-18,47.8484
2020-02-19,47.426
2020-02-20,49.5568
2020-02-21,42.5633
2020-02-22,42.5633
2020-02-23,42.5633
2020-02-24,39.0992
2020-02-25,36.0629
2020-02-26,34.7619
2020-02-27,32.4297
2020-02-28,31.9525
2020-02-29,31.9525
2020-03-01,31.9525
2020-03-02,34.2487
2020-03-03,34.4248
2020-03-04,34.6661
2020-03-05,33.3947
2020-03-06,31.7105
2020-03-07,31.7105
2020-03-08,31.7105
2020-03-09,27.845
2020-03-10,34.0923
2020-03-11,32.334
2020-03-12,29.7007
2020-03-13,34.259
2020-03-14,34.259
2020-03-15,34.259
2020-03-16,30.1682
2020-03-17,29.1716
2020-03-18,24.327
2020-03-19,30.0757
2020-03-20,29.9297
2020-03-21,29.9297
2020-03-22,29.9297
2020-03-23,29.0229
2020-03-24,32.3908
2020-03-25,33.7787
2020-03-26,35.8577
2020-03-27,35.559
2020-03-28,35.559
2020-03-29,35.559
2020-03-30,35.3761
2020-03-31,35.0446
2020-04-01,33.6776
2020-04-02,34.7775
2020-04-03,34.7349
2020-04-04,34.7349
2020-04-05,34.7349
2020-04-06,38.4375
2020-04-07,40.3892
2020-04-08,42.5232
2020-04-09,45.77
2020-04-10,45.77
2020-04-11,45.77
2020-04-12,45.77
2020-04-13,45.7149
2020-04-14,46.5794
2020-04-15,45.6042
2020-04-16,45.3069
2020-04-17,46.5683
2020-04-18,46.5683
2020-04-19,46.5683
2020-04-20,53.0634
2020-04-21,53.9478
2020-04-22,54.0633
2020-04-23,54.9404
2020-04-24,57.6975
2020-04-25,57.6975
2020-04-26,57.6975
2020-04-27,58.7267
