,STLD US Equity
,RSI_30D
2020-01-01,62.7537
2020-01-02,61.2916
2020-01-03,57.8082
2020-01-04,57.8082
2020-01-05,57.8082
2020-01-06,57.2195
2020-01-07,60.1577
2020-01-08,60.2729
2020-01-09,58.4092
2020-01-10,53.8351
2020-01-11,53.8351
2020-01-12,53.8351
2020-01-13,56.1742
2020-01-14,57.6028
2020-01-15,54.6103
2020-01-16,54.2862
2020-01-17,55.3409
2020-01-18,55.3409
2020-01-19,55.3409
2020-01-20,55.3409
2020-01-21,49.2725
2020-01-22,49.9329
2020-01-23,48.0353
2020-01-24,44.5337
2020-01-25,44.5337
2020-01-26,44.5337
2020-01-27,43.0222
2020-01-28,44.7263
2020-01-29,43.1323
2020-01-30,43.9966
2020-01-31,41.91
2020-02-01,41.91
2020-02-02,41.91
2020-02-03,42.5528
2020-02-04,42.2737
2020-02-05,43.2242
2020-02-06,40.7127
2020-02-07,39.2004
2020-02-08,39.2004
2020-02-09,39.2004
2020-02-10,39.6855
2020-02-11,42.6816
2020-02-12,41.6307
2020-02-13,40.5607
2020-02-14,38.2133
2020-02-15,38.2133
2020-02-16,38.2133
2020-02-17,38.2133
2020-02-18,39.7215
2020-02-19,41.8708
2020-02-20,42.999
2020-02-21,44.7144
2020-02-22,44.7144
2020-02-23,44.7144
2020-02-24,43.2491
2020-02-25,38.7413
2020-02-26,38.1263
2020-02-27,35.177
2020-02-28,34.4383
2020-02-29,34.4383
2020-03-01,34.4383
2020-03-02,37.8647
2020-03-03,36.0065
2020-03-04,39.3772
2020-03-05,34.7166
2020-03-06,33.0504
2020-03-07,33.0504
2020-03-08,33.0504
2020-03-09,26.0918
2020-03-10,31.6359
2020-03-11,29.2975
2020-03-12,25.9735
2020-03-13,35.7107
2020-03-14,35.7107
2020-03-15,35.7107
2020-03-16,30.4257
2020-03-17,29.9635
2020-03-18,27.8009
2020-03-19,35.1604
2020-03-20,35.8348
2020-03-21,35.8348
2020-03-22,35.8348
2020-03-23,34.6902
2020-03-24,41.0044
2020-03-25,39.4169
2020-03-26,41.2407
2020-03-27,40.817
2020-03-28,40.817
2020-03-29,40.817
2020-03-30,44.2793
2020-03-31,45.5854
2020-04-01,44.67
2020-04-02,43.6868
2020-04-03,43.2175
2020-04-04,43.2175
2020-04-05,43.2175
2020-04-06,46.3341
2020-04-07,46.6891
2020-04-08,48.0184
2020-04-09,48.8728
2020-04-10,48.8728
2020-04-11,48.8728
2020-04-12,48.8728
2020-04-13,48.3544
2020-04-14,47.545
2020-04-15,45.1638
2020-04-16,45.991
2020-04-17,48.4064
2020-04-18,48.4064
2020-04-19,48.4064
2020-04-20,46.8025
2020-04-21,46.1868
2020-04-22,47.4535
2020-04-23,49.8749
2020-04-24,48.871
2020-04-25,48.871
2020-04-26,48.871
2020-04-27,51.5184
2020-04-28,51.1049
2020-04-29,53.267
2020-04-30,50.0941
2020-05-01,50.3584
2020-05-02,50.3584
2020-05-03,50.3584
2020-05-04,50.1817
2020-05-05,49.8398
2020-05-06,49.2881
2020-05-07,49.8201
2020-05-08,52.3834
2020-05-09,52.3834
2020-05-10,52.3834
2020-05-11,50.099
2020-05-12,47.9557
2020-05-13,45.8684
2020-05-14,46.0911
2020-05-15,46.7035
2020-05-16,46.7035
2020-05-17,46.7035
2020-05-18,50.6554
2020-05-19,50.2989
2020-05-20,51.1976
2020-05-21,51.493
2020-05-22,50.744
2020-05-23,50.744
2020-05-24,50.744
2020-05-25,50.744
2020-05-26,53.5801
2020-05-27,56.6624
