,ABG US Equity
,RSI_30D
2020-01-01,53.2787
2020-01-02,52.7427
2020-01-03,49.4532
2020-01-04,49.4532
2020-01-05,49.4532
2020-01-06,48.7577
2020-01-07,44.7971
2020-01-08,44.1768
2020-01-09,41.8774
2020-01-10,41.5941
2020-01-11,41.5941
2020-01-12,41.5941
2020-01-13,44.1234
2020-01-14,43.6791
2020-01-15,43.0682
2020-01-16,44.645
2020-01-17,44.4027
2020-01-18,44.4027
2020-01-19,44.4027
2020-01-20,44.4027
2020-01-21,45.2607
2020-01-22,43.2609
2020-01-23,44.9597
2020-01-24,42.3937
2020-01-25,42.3937
2020-01-26,42.3937
2020-01-27,42.8157
2020-01-28,43.1255
2020-01-29,42.3718
2020-01-30,42.2359
2020-01-31,39.2489
2020-02-01,39.2489
2020-02-02,39.2489
2020-02-03,43.1694
2020-02-04,39.7681
2020-02-05,40.6681
2020-02-06,38.7121
2020-02-07,38.3031
2020-02-08,38.3031
2020-02-09,38.3031
2020-02-10,39.9645
2020-02-11,46.4121
2020-02-12,43.5947
2020-02-13,43.4851
2020-02-14,42.3918
2020-02-15,42.3918
2020-02-16,42.3918
2020-02-17,42.3918
2020-02-18,43.2599
2020-02-19,46.2522
2020-02-20,47.2196
2020-02-21,46.9594
2020-02-22,46.9594
2020-02-23,46.9594
2020-02-24,45.3161
2020-02-25,44.4062
2020-02-26,42.2698
2020-02-27,38.167
2020-02-28,37.0349
2020-02-29,37.0349
2020-03-01,37.0349
2020-03-02,42.4211
2020-03-03,41.2406
2020-03-04,44.1074
2020-03-05,39.7322
2020-03-06,38.5846
2020-03-07,38.5846
2020-03-08,38.5846
2020-03-09,34.2312
2020-03-10,35.4916
2020-03-11,30.7161
2020-03-12,25.3129
2020-03-13,24.1615
2020-03-14,24.1615
2020-03-15,24.1615
2020-03-16,21.6834
2020-03-17,23.2888
2020-03-18,22.3281
2020-03-19,26.2596
2020-03-20,27.6668
2020-03-21,27.6668
2020-03-22,27.6668
2020-03-23,26.1439
2020-03-24,32.3568
2020-03-25,36.066
2020-03-26,37.5478
2020-03-27,35.4449
2020-03-28,35.4449
2020-03-29,35.4449
2020-03-30,35.3602
2020-03-31,35.3403
2020-04-01,32.3414
2020-04-02,32.2527
2020-04-03,30.5536
2020-04-04,30.5536
2020-04-05,30.5536
2020-04-06,34.591
2020-04-07,35.5616
2020-04-08,39.1247
2020-04-09,42.8791
2020-04-10,42.8791
2020-04-11,42.8791
2020-04-12,42.8791
2020-04-13,41.4085
2020-04-14,43.4275
2020-04-15,40.368
2020-04-16,40.3558
2020-04-17,43.2749
2020-04-18,43.2749
2020-04-19,43.2749
2020-04-20,41.8619
2020-04-21,40.6876
2020-04-22,40.7303
2020-04-23,42.2238
2020-04-24,44.5839
2020-04-25,44.5839
2020-04-26,44.5839
2020-04-27,45.8294
2020-04-28,47.4747
2020-04-29,50.6403
2020-04-30,49.6093
2020-05-01,48.6925
2020-05-02,48.6925
2020-05-03,48.6925
2020-05-04,48.8307
2020-05-05,49.6553
2020-05-06,48.2544
2020-05-07,48.5535
2020-05-08,50.9244
2020-05-09,50.9244
2020-05-10,50.9244
2020-05-11,49.3594
2020-05-12,47.6564
2020-05-13,44.9675
2020-05-14,46.2504
2020-05-15,47.2452
2020-05-16,47.2452
2020-05-17,47.2452
2020-05-18,51.885
2020-05-19,50.8768
2020-05-20,51.8972
2020-05-21,53.0899
2020-05-22,52.5531
2020-05-23,52.5531
2020-05-24,52.5531
2020-05-25,52.5531
2020-05-26,55.316
2020-05-27,56.155
2020-05-28,54.3618
2020-05-29,52.0091
2020-05-30,52.0091
2020-05-31,52.0091
2020-06-01,52.2647
2020-06-02,53.0895
2020-06-03,55.5475
2020-06-04,56.443
2020-06-05,56.877
2020-06-06,56.877
2020-06-07,56.877
2020-06-08,57.4498
2020-06-09,56.6849
2020-06-10,54.3435
2020-06-11,51.6387
2020-06-12,52.8808
2020-06-13,52.8808
2020-06-14,52.8808
2020-06-15,54.0113
2020-06-16,54.9653
2020-06-17,53.7304
2020-06-18,53.7897
2020-06-19,51.6978
2020-06-20,51.6978
2020-06-21,51.6978
2020-06-22,52.2645
2020-06-23,52.7298
2020-06-24,50.2515
2020-06-25,51.1301
2020-06-26,50.2469
2020-06-27,50.2469
2020-06-28,50.2469
2020-06-29,53.7359
2020-06-30,52.9335
2020-07-01,51.5264
2020-07-02,52.3471
2020-07-03,52.3471
2020-07-04,52.3471
2020-07-05,52.3471
2020-07-06,53.5413
2020-07-07,57.9283
2020-07-08,61.1814
2020-07-09,58.3214
2020-07-10,60.2392
2020-07-11,60.2392
2020-07-12,60.2392
2020-07-13,59.0964
2020-07-14,62.2541
2020-07-15,63.9883
2020-07-16,64.0225
2020-07-17,62.5438
2020-07-18,62.5438
2020-07-19,62.5438
2020-07-20,61.7715
2020-07-21,62.5065
2020-07-22,65.2904
2020-07-23,65.3372
2020-07-24,64.0603
2020-07-25,64.0603
2020-07-26,64.0603
2020-07-27,65.9002
2020-07-28,61.8141
2020-07-29,62.0514
2020-07-30,60.1773
2020-07-31,59.1082
2020-08-01,59.1082
2020-08-02,59.1082
2020-08-03,59.4418
2020-08-04,60.3004
2020-08-05,62.1455
2020-08-06,60.4185
2020-08-07,59.3183
2020-08-08,59.3183
2020-08-09,59.3183
2020-08-10,57.8549
2020-08-11,60.4483
2020-08-12,62.9164
2020-08-13,61.1954
2020-08-14,61.3148
2020-08-15,61.3148
2020-08-16,61.3148
2020-08-17,61.5038
2020-08-18,61.8837
2020-08-19,60.1998
2020-08-20,58.2485
2020-08-21,56.5128
2020-08-22,56.5128
2020-08-23,56.5128
2020-08-24,57.3924
2020-08-25,56.8466
2020-08-26,53.9471
2020-08-27,56.1712
2020-08-28,58.6702
2020-08-29,58.6702
2020-08-30,58.6702
2020-08-31,56.9282
2020-09-01,58.2792
2020-09-02,59.1608
2020-09-03,56.2345
2020-09-04,56.4399
2020-09-05,56.4399
2020-09-06,56.4399
2020-09-07,56.4399
2020-09-08,57.2517
2020-09-09,59.1296
2020-09-10,56.8164
2020-09-11,54.213
2020-09-12,54.213
2020-09-13,54.213
2020-09-14,55.9658
2020-09-15,55.3999
2020-09-16,52.5747
2020-09-17,51.227
2020-09-18,49.264
2020-09-19,49.264
2020-09-20,49.264
2020-09-21,46.527
2020-09-22,49.7151
2020-09-23,47.9286
2020-09-24,46.6316
2020-09-25,46.1903
2020-09-26,46.1903
2020-09-27,46.1903
2020-09-28,49.9968
2020-09-29,47.9865
2020-09-30,49.2881
2020-10-01,51.137
2020-10-02,53.2585
2020-10-03,53.2585
2020-10-04,53.2585
2020-10-05,56.7423
2020-10-06,58.1485
2020-10-07,58.7438
2020-10-08,59.4902
2020-10-09,59.1443
2020-10-10,59.1443
2020-10-11,59.1443
2020-10-12,58.2259
2020-10-13,57.5288
2020-10-14,57.2421
2020-10-15,59.7607
2020-10-16,58.0448
2020-10-17,58.0448
2020-10-18,58.0448
2020-10-19,58.1269
2020-10-20,61.1816
2020-10-21,62.6828
2020-10-22,60.1518
2020-10-23,59.3312
2020-10-24,59.3312
2020-10-25,59.3312
2020-10-26,57.4447
2020-10-27,50.0537
2020-10-28,50.3481
2020-10-29,48.1791
2020-10-30,48.142
2020-10-31,48.142
2020-11-01,48.142
2020-11-02,52.279
2020-11-03,55.2324
2020-11-04,54.4116
2020-11-05,55.5071
2020-11-06,54.6248
2020-11-07,54.6248
2020-11-08,54.6248
2020-11-09,58.997
2020-11-10,61.1833
2020-11-11,58.0366
2020-11-12,54.9183
2020-11-13,56.0648
2020-11-14,56.0648
2020-11-15,56.0648
2020-11-16,58.6283
2020-11-17,58.8292
2020-11-18,57.5861
2020-11-19,55.5928
2020-11-20,53.2494
2020-11-21,53.2494
2020-11-22,53.2494
2020-11-23,55.4569
2020-11-24,57.9295
2020-11-25,54.4713
2020-11-26,54.4713
2020-11-27,53.0549
2020-11-28,53.0549
2020-11-29,53.0549
2020-11-30,50.0488
2020-12-01,52.5452
