,GL US Equity
,RSI_30D
2020-01-01,67.5179
2020-01-02,68.5244
2020-01-03,63.2314
2020-01-04,63.2314
2020-01-05,63.2314
2020-01-06,61.1002
2020-01-07,60.7153
2020-01-08,60.5182
2020-01-09,63.1202
2020-01-10,61.5223
2020-01-11,61.5223
2020-01-12,61.5223
2020-01-13,60.8846
2020-01-14,60.2386
2020-01-15,59.3831
2020-01-16,61.3566
2020-01-17,61.3566
2020-01-18,61.3566
2020-01-19,61.3566
2020-01-20,61.3566
2020-01-21,58.8419
2020-01-22,58.0623
2020-01-23,61.1712
2020-01-24,61.2248
2020-01-25,61.2248
2020-01-26,61.2248
2020-01-27,55.1264
2020-01-28,59.8028
2020-01-29,62.0694
2020-01-30,64.8784
2020-01-31,55.2376
2020-02-01,55.2376
2020-02-02,55.2376
2020-02-03,57.7052
2020-02-04,61.0292
2020-02-05,63.2361
2020-02-06,62.3163
2020-02-07,63.182
2020-02-08,63.182
2020-02-09,63.182
2020-02-10,63.5458
2020-02-11,64.664
2020-02-12,64.5065
2020-02-13,66.5298
2020-02-14,67.1117
2020-02-15,67.1117
2020-02-16,67.1117
2020-02-17,67.1117
2020-02-18,65.0956
2020-02-19,65.5105
2020-02-20,66.5225
2020-02-21,63.2057
2020-02-22,63.2057
2020-02-23,63.2057
2020-02-24,53.7706
2020-02-25,46.3633
2020-02-26,42.4228
2020-02-27,35.422
2020-02-28,32.4519
2020-02-29,32.4519
2020-03-01,32.4519
2020-03-02,38.9833
2020-03-03,34.1191
2020-03-04,40.147
2020-03-05,35.4633
2020-03-06,33.2001
2020-03-07,33.2001
2020-03-08,33.2001
2020-03-09,26.5234
2020-03-10,31.1539
2020-03-11,28.5048
2020-03-12,24.6286
2020-03-13,32.3669
2020-03-14,32.3669
2020-03-15,32.3669
2020-03-16,28.6147
2020-03-17,33.3306
2020-03-18,33.1035
2020-03-19,32.0881
2020-03-20,30.9044
2020-03-21,30.9044
2020-03-22,30.9044
2020-03-23,29.7083
2020-03-24,35.4408
2020-03-25,37.228
2020-03-26,40.3705
2020-03-27,39.8738
2020-03-28,39.8738
2020-03-29,39.8738
2020-03-30,41.9203
2020-03-31,40.8383
2020-04-01,38.1447
2020-04-02,38.9365
2020-04-03,37.5985
2020-04-04,37.5985
2020-04-05,37.5985
2020-04-06,42.9159
2020-04-07,42.6461
2020-04-08,45.0961
2020-04-09,48.1382
2020-04-10,48.1382
2020-04-11,48.1382
2020-04-12,48.1382
2020-04-13,47.7741
2020-04-14,47.957
2020-04-15,45.2991
2020-04-16,44.1888
2020-04-17,46.9116
2020-04-18,46.9116
2020-04-19,46.9116
2020-04-20,46.0499
2020-04-21,44.9675
2020-04-22,44.8163
2020-04-23,45.8809
2020-04-24,46.6662
2020-04-25,46.6662
2020-04-26,46.6662
2020-04-27,50.4526
2020-04-28,50.9438
2020-04-29,52.2953
2020-04-30,50.4067
2020-05-01,48.9964
2020-05-02,48.9964
2020-05-03,48.9964
2020-05-04,48.1483
2020-05-05,47.5412
2020-05-06,45.588
2020-05-07,46.6307
2020-05-08,47.9833
2020-05-09,47.9833
2020-05-10,47.9833
2020-05-11,46.3936
2020-05-12,44.3772
2020-05-13,41.6688
2020-05-14,42.2596
2020-05-15,43.2672
2020-05-16,43.2672
2020-05-17,43.2672
2020-05-18,46.8432
2020-05-19,45.0348
2020-05-20,46.279
2020-05-21,46.8043
2020-05-22,46.3
2020-05-23,46.3
2020-05-24,46.3
2020-05-25,46.3
2020-05-26,49.1922
2020-05-27,50.2328
2020-05-28,49.3496
2020-05-29,49.31
2020-05-30,49.31
2020-05-31,49.31
2020-06-01,50.826
2020-06-02,50.6083
2020-06-03,51.9273
2020-06-04,53.1278
2020-06-05,55.2576
2020-06-06,55.2576
2020-06-07,55.2576
2020-06-08,56.0883
2020-06-09,54.3256
2020-06-10,52.4005
2020-06-11,46.6402
2020-06-12,47.9645
2020-06-13,47.9645
2020-06-14,47.9645
2020-06-15,48.6308
2020-06-16,49.5771
2020-06-17,48.3971
2020-06-18,48.5137
2020-06-19,48.2039
2020-06-20,48.2039
2020-06-21,48.2039
2020-06-22,47.6672
2020-06-23,47.2105
2020-06-24,44.6597
2020-06-25,45.8845
2020-06-26,44.6264
2020-06-27,44.6264
2020-06-28,44.6264
2020-06-29,45.8982
2020-06-30,47.4626
2020-07-01,46.4067
2020-07-02,46.345
2020-07-03,46.345
2020-07-04,46.345
2020-07-05,46.345
2020-07-06,47.5601
2020-07-07,45.6963
2020-07-08,46.3257
2020-07-09,44.7838
2020-07-10,46.7276
2020-07-11,46.7276
2020-07-12,46.7276
2020-07-13,46.9091
2020-07-14,47.7019
2020-07-15,49.4541
2020-07-16,50.0462
2020-07-17,49.456
2020-07-18,49.456
2020-07-19,49.456
2020-07-20,48.3844
2020-07-21,49.4126
2020-07-22,49.8664
2020-07-23,54.0739
2020-07-24,54.1168
2020-07-25,54.1168
2020-07-26,54.1168
2020-07-27,53.2924
2020-07-28,52.0816
2020-07-29,54.2242
2020-07-30,53.1775
2020-07-31,53.0293
2020-08-01,53.0293
2020-08-02,53.0293
2020-08-03,52.9747
2020-08-04,52.0114
2020-08-05,53.6354
2020-08-06,53.6654
2020-08-07,55.9767
2020-08-08,55.9767
2020-08-09,55.9767
2020-08-10,57.926
2020-08-11,58.7937
2020-08-12,58.5106
2020-08-13,57.778
2020-08-14,58.2607
2020-08-15,58.2607
2020-08-16,58.2607
2020-08-17,55.5411
2020-08-18,54.586
2020-08-19,54.5213
2020-08-20,52.6504
2020-08-21,52.1019
2020-08-22,52.1019
2020-08-23,52.1019
2020-08-24,56.2269
2020-08-25,55.9881
2020-08-26,55.7838
2020-08-27,56.7946
2020-08-28,56.4074
2020-08-29,56.4074
2020-08-30,56.4074
2020-08-31,53.1576
2020-09-01,52.5552
2020-09-02,53.701
2020-09-03,52.1513
2020-09-04,54.5982
2020-09-05,54.5982
2020-09-06,54.5982
2020-09-07,54.5982
2020-09-08,51.4369
2020-09-09,51.5349
2020-09-10,49.5566
2020-09-11,51.3253
2020-09-12,51.3253
2020-09-13,51.3253
2020-09-14,53.448
2020-09-15,53.6382
2020-09-16,54.1468
2020-09-17,53.5535
2020-09-18,52.1971
2020-09-19,52.1971
2020-09-20,52.1971
2020-09-21,47.9593
2020-09-22,48.2063
2020-09-23,45.6416
2020-09-24,46.1737
2020-09-25,47.1713
2020-09-26,47.1713
2020-09-27,47.1713
2020-09-28,49.1222
2020-09-29,48.0059
2020-09-30,49.2695
2020-10-01,50.1428
2020-10-02,50.7909
2020-10-03,50.7909
2020-10-04,50.7909
2020-10-05,52.7091
2020-10-06,51.0532
2020-10-07,52.5535
2020-10-08,53.6822
2020-10-09,51.8675
2020-10-10,51.8675
2020-10-11,51.8675
2020-10-12,52.7772
2020-10-13,51.0572
2020-10-14,51.3501
2020-10-15,53.3014
2020-10-16,53.8265
2020-10-17,53.8265
2020-10-18,53.8265
2020-10-19,52.8953
2020-10-20,54.0266
2020-10-21,55.0137
2020-10-22,58.2207
2020-10-23,57.606
2020-10-24,57.606
2020-10-25,57.606
2020-10-26,53.627
2020-10-27,49.8062
2020-10-28,46.2848
2020-10-29,47.7478
2020-10-30,49.6583
2020-10-31,49.6583
2020-11-01,49.6583
2020-11-02,52.5926
2020-11-03,54.9804
2020-11-04,52.9476
2020-11-05,56.012
2020-11-06,53.7402
2020-11-07,53.7402
2020-11-08,53.7402
2020-11-09,60.7147
2020-11-10,61.8571
2020-11-11,60.7604
2020-11-12,57.2092
2020-11-13,59.6924
2020-11-14,59.6924
2020-11-15,59.6924
2020-11-16,61.5952
2020-11-17,60.9649
2020-11-18,59.1918
2020-11-19,59.9972
2020-11-20,59.9147
2020-11-21,59.9147
2020-11-22,59.9147
2020-11-23,61.1485
2020-11-24,63.6449
2020-11-25,62.3963
2020-11-26,62.3963
2020-11-27,61.4926
2020-11-28,61.4926
2020-11-29,61.4926
2020-11-30,57.4997
2020-12-01,58.7706
2020-12-02,59.4171
2020-12-03,59.1667
2020-12-04,60.6071
2020-12-05,60.6071
2020-12-06,60.6071
2020-12-07,58.378
2020-12-08,57.9178
2020-12-09,57.6471
2020-12-10,58.2002
2020-12-11,56.469
2020-12-12,56.469
2020-12-13,56.469
2020-12-14,53.7631
2020-12-15,55.9576
2020-12-16,55.7038
2020-12-17,55.559
2020-12-18,54.6479
2020-12-19,54.6479
2020-12-20,54.6479
2020-12-21,53.8232
2020-12-22,53.0832
2020-12-23,54.5693
2020-12-24,54.5227
2020-12-25,54.5227
2020-12-26,54.5227
2020-12-27,54.5227
2020-12-28,55.0783
2020-12-29,53.2669
2020-12-30,54.699
2020-12-31,56.9723
2021-01-01,56.9723
2021-01-02,56.9723
2021-01-03,56.9723
2021-01-04,52.9512
2021-01-05,52.8457
2021-01-06,59.0444
2021-01-07,58.5594
2021-01-08,57.7273
2021-01-09,57.7273
2021-01-10,57.7273
2021-01-11,56.0484
2021-01-12,56.4006
2021-01-13,56.7223
2021-01-14,57.557
2021-01-15,56.7126
2021-01-16,56.7126
2021-01-17,56.7126
2021-01-18,56.7126
2021-01-19,57.7389
2021-01-20,57.1086
2021-01-21,55.6935
2021-01-22,53.3792
2021-01-23,53.3792
2021-01-24,53.3792
2021-01-25,52.0084
2021-01-26,51.3747
2021-01-27,46.9585
2021-01-28,50.8069
2021-01-29,47.5059
2021-01-30,47.5059
2021-01-31,47.5059
2021-02-01,48.8689
2021-02-02,50.6323
2021-02-03,48.2368
2021-02-04,51.2404
2021-02-05,52.0681
2021-02-06,52.0681
2021-02-07,52.0681
2021-02-08,52.6489
2021-02-09,50.6992
2021-02-10,50.1443
2021-02-11,50.6458
2021-02-12,52.4961
2021-02-13,52.4961
2021-02-14,52.4961
2021-02-15,52.4961
2021-02-16,52.1257
2021-02-17,53.4011
2021-02-18,51.661
2021-02-19,54.0813
2021-02-20,54.0813
2021-02-21,54.0813
2021-02-22,55.7342
2021-02-23,55.1217
2021-02-24,57.9026
2021-02-25,54.5062
2021-02-26,50.3677
2021-02-27,50.3677
2021-02-28,50.3677
2021-03-01,52.6291
2021-03-02,53.8186
2021-03-03,54.1481
2021-03-04,51.5021
2021-03-05,55.0313
2021-03-06,55.0313
2021-03-07,55.0313
2021-03-08,57.4803
2021-03-09,56.8546
2021-03-10,59.1441
2021-03-11,57.2058
2021-03-12,58.8704
2021-03-13,58.8704
2021-03-14,58.8704
2021-03-15,58.5491
2021-03-16,56.2071
2021-03-17,57.2123
2021-03-18,56.4958
2021-03-19,54.8626
2021-03-20,54.8626
2021-03-21,54.8626
2021-03-22,53.6881
2021-03-23,50.946
2021-03-24,51.4801
2021-03-25,53.4337
2021-03-26,53.8466
2021-03-27,53.8466
2021-03-28,53.8466
2021-03-29,52.1428
2021-03-30,53.4786
2021-03-31,50.9904
2021-04-01,53.9568
2021-04-02,53.9568
2021-04-03,53.9568
2021-04-04,53.9568
2021-04-05,53.9568
2021-04-06,54.2586
2021-04-07,54.2107
2021-04-08,52.7478
2021-04-09,54.7335
2021-04-10,54.7335
2021-04-11,54.7335
2021-04-12,56.5688
2021-04-13,56.297
2021-04-14,57.7664
2021-04-15,58.2077
2021-04-16,61.0668
2021-04-17,61.0668
2021-04-18,61.0668
