,PATK US Equity
,RSI_30D
2020-01-01,59.6964
2020-01-02,60.4991
2020-01-03,58.8994
2020-01-04,58.8994
2020-01-05,58.8994
2020-01-06,58.2402
2020-01-07,55.4578
2020-01-08,58.7691
2020-01-09,57.8997
2020-01-10,56.4595
2020-01-11,56.4595
2020-01-12,56.4595
2020-01-13,59.1539
2020-01-14,63.2426
2020-01-15,61.8314
2020-01-16,63.1392
2020-01-17,59.8424
2020-01-18,59.8424
2020-01-19,59.8424
2020-01-20,59.8424
2020-01-21,57.6226
2020-01-22,57.8162
2020-01-23,59.0986
2020-01-24,57.225
2020-01-25,57.225
2020-01-26,57.225
2020-01-27,53.7024
2020-01-28,57.528
2020-01-29,53.8258
2020-01-30,53.0299
2020-01-31,52.0701
2020-02-01,52.0701
2020-02-02,52.0701
2020-02-03,54.6705
2020-02-04,55.1772
2020-02-05,59.002
2020-02-06,57.6961
2020-02-07,55.0091
2020-02-08,55.0091
2020-02-09,55.0091
2020-02-10,57.3527
2020-02-11,59.0746
2020-02-12,61.4743
2020-02-13,66.9465
2020-02-14,63.718
2020-02-15,63.718
2020-02-16,63.718
2020-02-17,63.718
2020-02-18,63.842
2020-02-19,64.2784
2020-02-20,65.1597
2020-02-21,63.0894
2020-02-22,63.0894
2020-02-23,63.0894
2020-02-24,59.3459
2020-02-25,56.1187
2020-02-26,56.4217
2020-02-27,50.8273
2020-02-28,47.9271
2020-02-29,47.9271
2020-03-01,47.9271
2020-03-02,48.5497
2020-03-03,48.5807
2020-03-04,49.6639
2020-03-05,44.1304
2020-03-06,41.4003
2020-03-07,41.4003
2020-03-08,41.4003
2020-03-09,32.9177
2020-03-10,32.6365
2020-03-11,31.8824
2020-03-12,27.4035
2020-03-13,32.2331
2020-03-14,32.2331
2020-03-15,32.2331
2020-03-16,29.5614
2020-03-17,30.9466
2020-03-18,25.4662
2020-03-19,26.0438
2020-03-20,25.8055
2020-03-21,25.8055
2020-03-22,25.8055
2020-03-23,26.838
2020-03-24,31.8895
2020-03-25,35.9157
2020-03-26,39.995
2020-03-27,38.6644
2020-03-28,38.6644
2020-03-29,38.6644
2020-03-30,37.5703
2020-03-31,37.7979
2020-04-01,35.6698
2020-04-02,35.8844
2020-04-03,34.3153
2020-04-04,34.3153
2020-04-05,34.3153
2020-04-06,41.2097
2020-04-07,41.219
2020-04-08,44.5888
2020-04-09,45.5863
2020-04-10,45.5863
2020-04-11,45.5863
2020-04-12,45.5863
2020-04-13,44.17
2020-04-14,44.3956
2020-04-15,40.995
2020-04-16,41.136
2020-04-17,44.7864
2020-04-18,44.7864
2020-04-19,44.7864
2020-04-20,43.9566
2020-04-21,43.0956
2020-04-22,43.625
2020-04-23,45.75
2020-04-24,46.6202
2020-04-25,46.6202
2020-04-26,46.6202
2020-04-27,49.0521
2020-04-28,52.0719
2020-04-29,54.7146
2020-04-30,53.2182
2020-05-01,50.8898
2020-05-02,50.8898
2020-05-03,50.8898
2020-05-04,52.0927
2020-05-05,52.6279
2020-05-06,51.8489
2020-05-07,52.4806
2020-05-08,55.9254
2020-05-09,55.9254
2020-05-10,55.9254
2020-05-11,55.6959
2020-05-12,53.1767
2020-05-13,50.6779
2020-05-14,52.4242
2020-05-15,53.8037
2020-05-16,53.8037
2020-05-17,53.8037
2020-05-18,57.5144
2020-05-19,58.6298
2020-05-20,59.705
2020-05-21,60.145
2020-05-22,60.6794
2020-05-23,60.6794
2020-05-24,60.6794
2020-05-25,60.6794
2020-05-26,62.7287
2020-05-27,62.4931
2020-05-28,59.7099
2020-05-29,58.2447
2020-05-30,58.2447
2020-05-31,58.2447
2020-06-01,58.5115
2020-06-02,59.2418
2020-06-03,59.9567
2020-06-04,61.2112
2020-06-05,63.7988
2020-06-06,63.7988
2020-06-07,63.7988
2020-06-08,65.1963
2020-06-09,62.6718
2020-06-10,60.7704
2020-06-11,55.436
2020-06-12,57.1245
2020-06-13,57.1245
2020-06-14,57.1245
2020-06-15,59.7088
2020-06-16,60.6687
2020-06-17,59.8409
2020-06-18,59.1784
2020-06-19,59.8514
2020-06-20,59.8514
2020-06-21,59.8514
2020-06-22,59.9664
2020-06-23,60.5098
2020-06-24,55.9544
2020-06-25,56.3552
2020-06-26,55.4753
2020-06-27,55.4753
2020-06-28,55.4753
2020-06-29,57.2144
2020-06-30,59.3176
2020-07-01,57.0883
2020-07-02,56.2236
2020-07-03,56.2236
2020-07-04,56.2236
2020-07-05,56.2236
2020-07-06,56.0264
2020-07-07,54.102
2020-07-08,54.8871
2020-07-09,53.1814
2020-07-10,56.2906
2020-07-11,56.2906
2020-07-12,56.2906
2020-07-13,55.7731
2020-07-14,58.1823
2020-07-15,60.6794
2020-07-16,59.6926
2020-07-17,58.9618
2020-07-18,58.9618
2020-07-19,58.9618
2020-07-20,59.3953
2020-07-21,60.3786
2020-07-22,61.6408
2020-07-23,59.0746
2020-07-24,57.7453
2020-07-25,57.7453
2020-07-26,57.7453
2020-07-27,59.9553
2020-07-28,60.4071
2020-07-29,62.1116
2020-07-30,58.1156
2020-07-31,56.102
2020-08-01,56.102
2020-08-02,56.102
2020-08-03,59.0315
2020-08-04,55.9659
2020-08-05,56.6316
2020-08-06,54.9974
2020-08-07,55.3327
2020-08-08,55.3327
2020-08-09,55.3327
2020-08-10,56.1809
2020-08-11,56.3635
2020-08-12,55.9026
2020-08-13,56.3806
2020-08-14,55.0274
2020-08-15,55.0274
2020-08-16,55.0274
2020-08-17,56.8035
2020-08-18,54.2242
2020-08-19,54.2599
2020-08-20,53.3781
2020-08-21,52.2741
2020-08-22,52.2741
2020-08-23,52.2741
2020-08-24,52.3632
2020-08-25,50.6574
2020-08-26,49.666
2020-08-27,48.381
2020-08-28,49.4283
2020-08-29,49.4283
2020-08-30,49.4283
2020-08-31,46.0553
2020-09-01,49.2451
2020-09-02,49.8543
2020-09-03,44.6534
2020-09-04,45.0025
2020-09-05,45.0025
2020-09-06,45.0025
2020-09-07,45.0025
2020-09-08,44.3068
2020-09-09,43.978
2020-09-10,43.4406
2020-09-11,42.7879
2020-09-12,42.7879
2020-09-13,42.7879
2020-09-14,45.1974
2020-09-15,43.8561
2020-09-16,43.8077
2020-09-17,43.0511
2020-09-18,42.8424
2020-09-19,42.8424
2020-09-20,42.8424
2020-09-21,40.5195
2020-09-22,45.5812
2020-09-23,45.053
2020-09-24,45.0654
2020-09-25,47.0353
2020-09-26,47.0353
2020-09-27,47.0353
2020-09-28,49.3964
2020-09-29,49.9161
2020-09-30,50.7074
2020-10-01,56.212
2020-10-02,56.9069
2020-10-03,56.9069
2020-10-04,56.9069
2020-10-05,59.825
2020-10-06,58.88
2020-10-07,59.5851
2020-10-08,55.3362
2020-10-09,56.0565
2020-10-10,56.0565
2020-10-11,56.0565
2020-10-12,56.0662
2020-10-13,55.4244
2020-10-14,54.0441
2020-10-15,56.3252
2020-10-16,55.1319
2020-10-17,55.1319
2020-10-18,55.1319
2020-10-19,53.0537
2020-10-20,54.4493
2020-10-21,49.0654
2020-10-22,48.1042
2020-10-23,47.3738
2020-10-24,47.3738
2020-10-25,47.3738
2020-10-26,46.6206
2020-10-27,45.6099
2020-10-28,47.3976
2020-10-29,48.2829
2020-10-30,46.2483
2020-10-31,46.2483
2020-11-01,46.2483
2020-11-02,50.8539
2020-11-03,52.4577
2020-11-04,51.4697
2020-11-05,54.343
2020-11-06,53.0593
2020-11-07,53.0593
2020-11-08,53.0593
2020-11-09,45.6261
2020-11-10,46.1429
2020-11-11,47.6453
2020-11-12,46.3726
2020-11-13,48.1936
2020-11-14,48.1936
2020-11-15,48.1936
2020-11-16,50.1083
2020-11-17,52.011
2020-11-18,52.2321
2020-11-19,52.3998
2020-11-20,52.703
2020-11-21,52.703
2020-11-22,52.703
2020-11-23,56.7755
2020-11-24,57.4817
2020-11-25,55.2408
2020-11-26,55.2408
2020-11-27,55.288
2020-11-28,55.288
2020-11-29,55.288
2020-11-30,53.5712
2020-12-01,53.5915
2020-12-02,53.7378
2020-12-03,55.4206
2020-12-04,58.3518
2020-12-05,58.3518
2020-12-06,58.3518
2020-12-07,58.4357
2020-12-08,57.9922
2020-12-09,58.5348
2020-12-10,58.1253
2020-12-11,58.8342
2020-12-12,58.8342
2020-12-13,58.8342
2020-12-14,58.8864
2020-12-15,62.3245
2020-12-16,58.8431
2020-12-17,59.8472
2020-12-18,58.8097
2020-12-19,58.8097
2020-12-20,58.8097
2020-12-21,56.9513
2020-12-22,56.7107
2020-12-23,57.4544
2020-12-24,58.6958
2020-12-25,58.6958
2020-12-26,58.6958
2020-12-27,58.6958
2020-12-28,58.3132
2020-12-29,55.1306
2020-12-30,56.6848
2020-12-31,55.2438
2021-01-01,55.2438
2021-01-02,55.2438
2021-01-03,55.2438
2021-01-04,56.4582
2021-01-05,57.8989
2021-01-06,61.1696
2021-01-07,60.3535
2021-01-08,54.6213
2021-01-09,54.6213
2021-01-10,54.6213
2021-01-11,55.7013
2021-01-12,58.8614
2021-01-13,56.3427
2021-01-14,56.7379
2021-01-15,54.0887
2021-01-16,54.0887
2021-01-17,54.0887
2021-01-18,54.0887
2021-01-19,58.2594
2021-01-20,58.882
2021-01-21,56.1793
2021-01-22,55.9162
2021-01-23,55.9162
2021-01-24,55.9162
2021-01-25,52.5132
2021-01-26,52.8931
2021-01-27,50.6234
2021-01-28,53.0801
2021-01-29,51.6245
2021-01-30,51.6245
2021-01-31,51.6245
2021-02-01,51.2094
2021-02-02,51.9094
2021-02-03,52.7989
2021-02-04,55.7021
2021-02-05,58.3157
2021-02-06,58.3157
2021-02-07,58.3157
2021-02-08,60.4863
2021-02-09,61.3683
2021-02-10,61.5494
2021-02-11,61.4784
2021-02-12,61.201
2021-02-13,61.201
2021-02-14,61.201
2021-02-15,61.201
2021-02-16,59.4062
2021-02-17,61.9672
2021-02-18,61.8784
2021-02-19,63.2489
2021-02-20,63.2489
2021-02-21,63.2489
2021-02-22,62.6319
2021-02-23,62.7634
2021-02-24,64.1794
2021-02-25,59.6844
2021-02-26,57.7156
2021-02-27,57.7156
2021-02-28,57.7156
2021-03-01,61.4419
2021-03-02,58.1751
2021-03-03,60.5707
2021-03-04,57.8568
2021-03-05,60.7888
2021-03-06,60.7888
2021-03-07,60.7888
2021-03-08,62.5916
2021-03-09,64.0726
2021-03-10,66.2355
2021-03-11,64.9361
2021-03-12,64.1392
2021-03-13,64.1392
2021-03-14,64.1392
2021-03-15,65.762
2021-03-16,63.776
2021-03-17,63.0229
2021-03-18,59.0963
2021-03-19,56.4105
2021-03-20,56.4105
2021-03-21,56.4105
2021-03-22,54.933
2021-03-23,51.0477
2021-03-24,49.1143
2021-03-25,52.5509
2021-03-26,55.8777
2021-03-27,55.8777
2021-03-28,55.8777
2021-03-29,53.0896
2021-03-30,55.3998
2021-03-31,55.2429
2021-04-01,57.9747
2021-04-02,57.9747
2021-04-03,57.9747
