,WMS US Equity
,RSI_30D
2020-01-01,57.5113
2020-01-02,59.6262
2020-01-03,59.9401
2020-01-04,59.9401
2020-01-05,59.9401
2020-01-06,60.9716
2020-01-07,57.9516
2020-01-08,62.0949
2020-01-09,62.6502
2020-01-10,61.3878
2020-01-11,61.3878
2020-01-12,61.3878
2020-01-13,63.6977
2020-01-14,64.2696
2020-01-15,64.9176
2020-01-16,66.0418
2020-01-17,67.887
2020-01-18,67.887
2020-01-19,67.887
2020-01-20,67.887
2020-01-21,69.6271
2020-01-22,70.1326
2020-01-23,71.365
2020-01-24,67.3408
2020-01-25,67.3408
2020-01-26,67.3408
2020-01-27,68.1374
2020-01-28,67.1491
2020-01-29,67.7369
2020-01-30,68.4245
2020-01-31,60.3714
2020-02-01,60.3714
2020-02-02,60.3714
2020-02-03,61.4573
2020-02-04,62.4828
2020-02-05,65.3118
2020-02-06,74.1754
2020-02-07,70.6222
2020-02-08,70.6222
2020-02-09,70.6222
2020-02-10,71.2599
2020-02-11,71.5368
2020-02-12,73.3171
2020-02-13,75.3179
2020-02-14,76.2476
2020-02-15,76.2476
2020-02-16,76.2476
2020-02-17,76.2476
2020-02-18,77.8776
2020-02-19,79.5137
2020-02-20,78.6395
2020-02-21,74.4081
2020-02-22,74.4081
2020-02-23,74.4081
2020-02-24,67.1126
2020-02-25,57.6994
2020-02-26,57.5431
2020-02-27,51.0212
2020-02-28,47.8409
2020-02-29,47.8409
2020-03-01,47.8409
2020-03-02,52.2122
2020-03-03,52.7273
2020-03-04,58.3774
2020-03-05,53.4449
2020-03-06,53.6195
2020-03-07,53.6195
2020-03-08,53.6195
2020-03-09,51.1714
2020-03-10,52.4067
2020-03-11,46.0106
2020-03-12,36.2497
2020-03-13,41.3875
2020-03-14,41.3875
2020-03-15,41.3875
2020-03-16,34.3521
2020-03-17,34.8422
2020-03-18,30.6903
2020-03-19,35.0704
2020-03-20,33.3602
2020-03-21,33.3602
2020-03-22,33.3602
2020-03-23,31.6952
2020-03-24,35.2447
2020-03-25,38.1686
2020-03-26,41.6161
2020-03-27,38.9661
