,AGCO US Equity
,RSI_30D
2020-01-01,54.7217
2020-01-02,57.0773
2020-01-03,53.8505
2020-01-04,53.8505
2020-01-05,53.8505
2020-01-06,51.7219
2020-01-07,49.8188
2020-01-08,50.1926
2020-01-09,50.1926
2020-01-10,45.0146
2020-01-11,45.0146
2020-01-12,45.0146
2020-01-13,47.0295
2020-01-14,47.1131
2020-01-15,45.8903
2020-01-16,48.2983
2020-01-17,47.9349
2020-01-18,47.9349
2020-01-19,47.9349
2020-01-20,47.9349
2020-01-21,43.8839
2020-01-22,43.0674
2020-01-23,42.6343
2020-01-24,40.9741
2020-01-25,40.9741
2020-01-26,40.9741
2020-01-27,35.7235
2020-01-28,38.9886
2020-01-29,39.5424
2020-01-30,41.5639
2020-01-31,39.7003
2020-02-01,39.7003
2020-02-02,39.7003
2020-02-03,42.7207
2020-02-04,46.4465
2020-02-05,47.7794
2020-02-06,40.0386
2020-02-07,36.7024
2020-02-08,36.7024
2020-02-09,36.7024
2020-02-10,36.6038
2020-02-11,37.9826
2020-02-12,41.6183
2020-02-13,38.6196
2020-02-14,38.6427
2020-02-15,38.6427
2020-02-16,38.6427
2020-02-17,38.6427
2020-02-18,38.4183
2020-02-19,38.0527
2020-02-20,40.7275
2020-02-21,43.2839
2020-02-22,43.2839
2020-02-23,43.2839
2020-02-24,41.4991
2020-02-25,36.6612
2020-02-26,34.2643
2020-02-27,33.2114
2020-02-28,32.1332
2020-02-29,32.1332
2020-03-01,32.1332
2020-03-02,38.9724
2020-03-03,35.9353
2020-03-04,39.3052
2020-03-05,37.2117
2020-03-06,38.0326
2020-03-07,38.0326
2020-03-08,38.0326
2020-03-09,33.4741
2020-03-10,37.9545
2020-03-11,34.8144
2020-03-12,30.2288
2020-03-13,37.4683
2020-03-14,37.4683
2020-03-15,37.4683
2020-03-16,32.3824
2020-03-17,30.9363
2020-03-18,26.6413
2020-03-19,34.7518
2020-03-20,32.6952
2020-03-21,32.6952
2020-03-22,32.6952
2020-03-23,32.2968
2020-03-24,35.6688
2020-03-25,37.1781
2020-03-26,39.8762
2020-03-27,39.1543
2020-03-28,39.1543
2020-03-29,39.1543
2020-03-30,40.1556
2020-03-31,40.1305
2020-04-01,38.5316
2020-04-02,38.5131
2020-04-03,37.7923
2020-04-04,37.7923
2020-04-05,37.7923
2020-04-06,41.891
2020-04-07,43.23
2020-04-08,44.9583
2020-04-09,45.8951
2020-04-10,45.8951
2020-04-11,45.8951
2020-04-12,45.8951
2020-04-13,45.0046
2020-04-14,44.2076
2020-04-15,42.6663
2020-04-16,40.6663
2020-04-17,44.9471
2020-04-18,44.9471
2020-04-19,44.9471
2020-04-20,44.7062
2020-04-21,43.6284
2020-04-22,44.2339
2020-04-23,44.7993
2020-04-24,45.602
2020-04-25,45.602
2020-04-26,45.602
2020-04-27,46.5608
2020-04-28,47.4607
2020-04-29,49.6037
2020-04-30,48.6098
2020-05-01,46.3811
2020-05-02,46.3811
