,NSP US Equity
,RSI_30D
2020-01-01,42.1684
2020-01-02,43.5374
2020-01-03,42.9242
2020-01-04,42.9242
2020-01-05,42.9242
2020-01-06,44.6522
2020-01-07,43.4232
2020-01-08,44.1145
2020-01-09,46.0198
2020-01-10,47.0915
2020-01-11,47.0915
2020-01-12,47.0915
2020-01-13,47.86
2020-01-14,48.7686
2020-01-15,50.2388
2020-01-16,52.3831
2020-01-17,51.6119
2020-01-18,51.6119
2020-01-19,51.6119
2020-01-20,51.6119
2020-01-21,51.2606
2020-01-22,50.9417
2020-01-23,50.9811
2020-01-24,49.7539
2020-01-25,49.7539
2020-01-26,49.7539
2020-01-27,47.9948
2020-01-28,48.8516
2020-01-29,46.4626
2020-01-30,46.5224
2020-01-31,44.03
2020-02-01,44.03
2020-02-02,44.03
2020-02-03,46.4526
2020-02-04,48.2345
2020-02-05,49.1174
2020-02-06,46.94
2020-02-07,44.3214
2020-02-08,44.3214
2020-02-09,44.3214
2020-02-10,43.5553
2020-02-11,47.4188
2020-02-12,32.2679
2020-02-13,34.0064
2020-02-14,34.6061
2020-02-15,34.6061
2020-02-16,34.6061
2020-02-17,34.6061
2020-02-18,33.8699
2020-02-19,33.4128
2020-02-20,34.7463
2020-02-21,34.1991
2020-02-22,34.1991
2020-02-23,34.1991
2020-02-24,33.7133
2020-02-25,32.3888
2020-02-26,31.4179
2020-02-27,30.7134
2020-02-28,31.4205
2020-02-29,31.4205
2020-03-01,31.4205
2020-03-02,34.5032
2020-03-03,32.0646
2020-03-04,34.7129
2020-03-05,32.5501
2020-03-06,33.2536
2020-03-07,33.2536
2020-03-08,33.2536
2020-03-09,31.2074
2020-03-10,32.0289
2020-03-11,28.9853
2020-03-12,25.6002
2020-03-13,27.1149
2020-03-14,27.1149
2020-03-15,27.1149
2020-03-16,22.8355
2020-03-17,21.7919
2020-03-18,18.462
2020-03-19,25.0651
2020-03-20,24.5286
2020-03-21,24.5286
2020-03-22,24.5286
2020-03-23,24.212
2020-03-24,29.1574
2020-03-25,29.0238
2020-03-26,32.9435
2020-03-27,32.7245
2020-03-28,32.7245
2020-03-29,32.7245
2020-03-30,32.205
2020-03-31,32.0927
2020-04-01,30.7364
2020-04-02,32.2819
2020-04-03,30.2818
2020-04-04,30.2818
2020-04-05,30.2818
2020-04-06,32.7675
2020-04-07,35.1506
2020-04-08,37.9509
2020-04-09,38.6845
2020-04-10,38.6845
2020-04-11,38.6845
2020-04-12,38.6845
2020-04-13,38.1249
2020-04-14,39.6958
2020-04-15,38.7115
2020-04-16,38.5865
2020-04-17,39.8881
2020-04-18,39.8881
2020-04-19,39.8881
2020-04-20,39.5852
2020-04-21,39.1242
2020-04-22,40.0866
2020-04-23,39.8859
2020-04-24,39.86
2020-04-25,39.86
2020-04-26,39.86
2020-04-27,42.4781
2020-04-28,44.1248
2020-04-29,49.0266
2020-04-30,46.8563
2020-05-01,46.4025
2020-05-02,46.4025
2020-05-03,46.4025
2020-05-04,48.1586
2020-05-05,51.1072
2020-05-06,49.3822
2020-05-07,51.1852
2020-05-08,52.0682
2020-05-09,52.0682
2020-05-10,52.0682
2020-05-11,50.1974
2020-05-12,46.4055
2020-05-13,45.8553
2020-05-14,44.3788
2020-05-15,45.2445
2020-05-16,45.2445
2020-05-17,45.2445
2020-05-18,48.7308
2020-05-19,46.776
2020-05-20,48.011
2020-05-21,48.3952
2020-05-22,49.2892
2020-05-23,49.2892
2020-05-24,49.2892
2020-05-25,49.2892
2020-05-26,51.0513
2020-05-27,53.2359
2020-05-28,50.9475
2020-05-29,50.8687
2020-05-30,50.8687
2020-05-31,50.8687
2020-06-01,52.043
2020-06-02,53.2738
2020-06-03,55.1512
2020-06-04,54.8408
2020-06-05,58.9218
2020-06-06,58.9218
2020-06-07,58.9218
2020-06-08,58.6445
2020-06-09,56.9348
2020-06-10,54.7224
2020-06-11,50.109
2020-06-12,52.8595
2020-06-13,52.8595
2020-06-14,52.8595
2020-06-15,54.1664
2020-06-16,55.923
2020-06-17,55.2755
2020-06-18,55.9718
2020-06-19,57.125
2020-06-20,57.125
2020-06-21,57.125
2020-06-22,57.2865
2020-06-23,58.414
2020-06-24,55.544
2020-06-25,56.8556
2020-06-26,54.3877
2020-06-27,54.3877
2020-06-28,54.3877
2020-06-29,56.1129
2020-06-30,57.2617
2020-07-01,56.6266
2020-07-02,56.8177
2020-07-03,56.8177
2020-07-04,56.8177
2020-07-05,56.8177
2020-07-06,56.7411
2020-07-07,54.3159
2020-07-08,54.9999
2020-07-09,53.521
2020-07-10,54.9884
2020-07-11,54.9884
2020-07-12,54.9884
2020-07-13,54.4185
2020-07-14,55.1118
2020-07-15,57.755
2020-07-16,57.7238
2020-07-17,58.1758
2020-07-18,58.1758
2020-07-19,58.1758
2020-07-20,57.9988
2020-07-21,58.5531
2020-07-22,58.0288
2020-07-23,58.1752
2020-07-24,55.7615
2020-07-25,55.7615
2020-07-26,55.7615
2020-07-27,56.5567
2020-07-28,57.8277
2020-07-29,59.1686
2020-07-30,58.2543
2020-07-31,56.4977
2020-08-01,56.4977
2020-08-02,56.4977
2020-08-03,57.5787
2020-08-04,58.8729
2020-08-05,58.9732
2020-08-06,57.4192
2020-08-07,58.7901
2020-08-08,58.7901
2020-08-09,58.7901
2020-08-10,57.5913
2020-08-11,58.1407
2020-08-12,59.3943
2020-08-13,59.4528
2020-08-14,58.1684
2020-08-15,58.1684
2020-08-16,58.1684
2020-08-17,58.4294
2020-08-18,57.3196
2020-08-19,56.6078
2020-08-20,57.6727
2020-08-21,57.3013
2020-08-22,57.3013
2020-08-23,57.3013
2020-08-24,57.3131
2020-08-25,55.5124
2020-08-26,54.4781
2020-08-27,55.441
2020-08-28,56.5084
2020-08-29,56.5084
2020-08-30,56.5084
2020-08-31,53.2193
2020-09-01,54.3998
2020-09-02,56.0872
2020-09-03,50.3361
2020-09-04,48.4816
2020-09-05,48.4816
2020-09-06,48.4816
2020-09-07,48.4816
