,PFE US Equity
,RSI_30D
2020-01-01,61.1943
2020-01-02,60.8727
2020-01-03,59.1834
2020-01-04,59.1834
2020-01-05,59.1834
2020-01-06,58.7816
2020-01-07,57.7275
2020-01-08,59.5183
2020-01-09,58.1215
2020-01-10,61.4266
2020-01-11,61.4266
2020-01-12,61.4266
2020-01-13,60.7652
2020-01-14,64.0675
2020-01-15,66.7032
2020-01-16,66.2009
2020-01-17,65.3523
2020-01-18,65.3523
2020-01-19,65.3523
2020-01-20,65.3523
2020-01-21,63.9117
2020-01-22,62.651
2020-01-23,65.1184
2020-01-24,58.2991
2020-01-25,58.2991
2020-01-26,58.2991
2020-01-27,59.9564
2020-01-28,48.1868
2020-01-29,45.6186
2020-01-30,45.0363
2020-01-31,45.9693
2020-02-01,45.9693
2020-02-02,45.9693
2020-02-03,47.4354
2020-02-04,48.4009
2020-02-05,50.8894
2020-02-06,51.3446
2020-02-07,50.2211
2020-02-08,50.2211
2020-02-09,50.2211
2020-02-10,48.9547
2020-02-11,50.4623
2020-02-12,48.6059
2020-02-13,44.6716
2020-02-14,42.8127
2020-02-15,42.8127
2020-02-16,42.8127
2020-02-17,42.8127
2020-02-18,41.9949
2020-02-19,41.6055
2020-02-20,39.9859
2020-02-21,39.4425
2020-02-22,39.4425
2020-02-23,39.4425
2020-02-24,35.4207
2020-02-25,32.9698
2020-02-26,37.7285
2020-02-27,35.6724
2020-02-28,33.5952
2020-02-29,33.5952
2020-03-01,33.5952
2020-03-02,41.2001
2020-03-03,39.3482
2020-03-04,48.0881
2020-03-05,45.0801
2020-03-06,43.7548
2020-03-07,43.7548
2020-03-08,43.7548
2020-03-09,40.2494
2020-03-10,43.3425
2020-03-11,37.489
2020-03-12,33.3496
2020-03-13,41.6838
2020-03-14,41.6838
2020-03-15,41.6838
2020-03-16,37.1626
2020-03-17,42.235
2020-03-18,42.7182
2020-03-19,39.4103
2020-03-20,37.2421
2020-03-21,37.2421
2020-03-22,37.2421
2020-03-23,36.4765
2020-03-24,39.4718
2020-03-25,39.5936
2020-03-26,44.2354
2020-03-27,42.7898
2020-03-28,42.7898
2020-03-29,42.7898
2020-03-30,46.5524
2020-03-31,46.4988
2020-04-01,44.9112
2020-04-02,47.2556
2020-04-03,48.805
2020-04-04,48.805
2020-04-05,48.805
2020-04-06,50.6176
2020-04-07,48.7736
2020-04-08,50.69
2020-04-09,52.1671
2020-04-10,52.1671
2020-04-11,52.1671
2020-04-12,52.1671
2020-04-13,51.6605
2020-04-14,54.0605
2020-04-15,53.075
2020-04-16,52.884
2020-04-17,54.8091
2020-04-18,54.8091
2020-04-19,54.8091
2020-04-20,53.0038
2020-04-21,52.0213
2020-04-22,53.249
2020-04-23,54.0976
2020-04-24,55.4107
2020-04-25,55.4107
2020-04-26,55.4107
2020-04-27,57.1562
2020-04-28,56.1509
2020-04-29,56.5462
2020-04-30,57.0045
2020-05-01,55.1978
2020-05-02,55.1978
2020-05-03,55.1978
2020-05-04,55.1476
2020-05-05,56.9508
2020-05-06,56.9508
2020-05-07,53.8734
2020-05-08,54.4393
2020-05-09,54.4393
2020-05-10,54.4393
2020-05-11,56.316
2020-05-12,54.3679
2020-05-13,53.5649
2020-05-14,55.4741
2020-05-15,55.0436
2020-05-16,55.0436
2020-05-17,55.0436
2020-05-18,55.7322
2020-05-19,54.6429
2020-05-20,54.5016
2020-05-21,53.4437
2020-05-22,54.0423
2020-05-23,54.0423
2020-05-24,54.0423
2020-05-25,54.0423
2020-05-26,54.0124
2020-05-27,53.7659
2020-05-28,55.7751
2020-05-29,55.8009
2020-05-30,55.8009
2020-05-31,55.8009
2020-06-01,47.9066
2020-06-02,49.7908
2020-06-03,49.7908
2020-06-04,49.3812
2020-06-05,49.3252
2020-06-06,49.3252
2020-06-07,49.3252
2020-06-08,51.047
2020-06-09,49.9354
2020-06-10,49.0914
2020-06-11,42.3949
2020-06-12,43.758
2020-06-13,43.758
2020-06-14,43.758
2020-06-15,42.8489
2020-06-16,42.9746
2020-06-17,43.4889
2020-06-18,42.6923
2020-06-19,43.2967
2020-06-20,43.2967
2020-06-21,43.2967
2020-06-22,42.4982
2020-06-23,41.6271
2020-06-24,40.174
2020-06-25,40.6543
2020-06-26,39.9398
2020-06-27,39.9398
2020-06-28,39.9398
2020-06-29,42.192
2020-06-30,42.4154
2020-07-01,46.1469
2020-07-02,48.6933
2020-07-03,48.6933
2020-07-04,48.6933
2020-07-05,48.6933
2020-07-06,48.6933
2020-07-07,47.2043
2020-07-08,46.349
2020-07-09,45.4664
2020-07-10,46.8034
2020-07-11,46.8034
2020-07-12,46.8034
2020-07-13,51.4008
2020-07-14,51.4637
2020-07-15,53.005
2020-07-16,52.582
2020-07-17,54.6118
2020-07-18,54.6118
2020-07-19,54.6118
2020-07-20,55.3718
2020-07-21,55.9518
2020-07-22,61.0987
2020-07-23,60.512
2020-07-24,57.6486
2020-07-25,57.6486
2020-07-26,57.6486
2020-07-27,57.2006
2020-07-28,61.0614
2020-07-29,61.6419
2020-07-30,61.087
2020-07-31,60.0485
2020-08-01,60.0485
2020-08-02,60.0485
2020-08-03,59.5251
2020-08-04,59.6371
2020-08-05,59.8096
2020-08-06,59.0265
2020-08-07,59.5741
2020-08-08,59.5741
2020-08-09,59.5741
2020-08-10,59.3008
2020-08-11,56.6143
2020-08-12,58.3702
2020-08-13,57.6549
2020-08-14,57.1569
2020-08-15,57.1569
2020-08-16,57.1569
2020-08-17,58.1431
2020-08-18,58.1774
2020-08-19,57.6878
2020-08-20,59.3171
2020-08-21,59.8731
2020-08-22,59.8731
2020-08-23,59.8731
2020-08-24,59.6622
2020-08-25,57.4135
2020-08-26,55.5987
2020-08-27,54.6554
2020-08-28,54.8639
2020-08-29,54.8639
2020-08-30,54.8639
2020-08-31,54.2447
2020-09-01,49.8329
2020-09-02,51.2745
2020-09-03,47.7275
2020-09-04,47.5573
2020-09-05,47.5573
2020-09-06,47.5573
2020-09-07,47.5573
2020-09-08,45.7436
2020-09-09,46.9602
2020-09-10,44.7591
2020-09-11,46.8031
2020-09-12,46.8031
2020-09-13,46.8031
2020-09-14,51.0009
2020-09-15,50.7804
2020-09-16,49.9758
2020-09-17,50.1573
2020-09-18,49.2785
2020-09-19,49.2785
2020-09-20,49.2785
2020-09-21,46.5685
2020-09-22,47.6906
2020-09-23,46.5904
2020-09-24,45.547
2020-09-25,47.0299
2020-09-26,47.0299
2020-09-27,47.0299
2020-09-28,48.7235
2020-09-29,47.7026
2020-09-30,50.298
2020-10-01,48.74
2020-10-02,48.7897
2020-10-03,48.7897
2020-10-04,48.7897
2020-10-05,50.6231
2020-10-06,47.8454
2020-10-07,49.3329
2020-10-08,51.3429
2020-10-09,50.8461
2020-10-10,50.8461
2020-10-11,50.8461
2020-10-12,50.9932
2020-10-13,51.3947
2020-10-14,51.1779
2020-10-15,49.5033
2020-10-16,56.1988
