,LBRT US Equity
,RSI_30D
2020-01-01,64.8409
2020-01-02,61.0034
2020-01-03,62.9154
2020-01-04,62.9154
2020-01-05,62.9154
2020-01-06,64.6522
2020-01-07,62.6926
2020-01-08,61.0651
2020-01-09,57.8658
2020-01-10,58.3176
2020-01-11,58.3176
2020-01-12,58.3176
2020-01-13,54.5162
2020-01-14,55.2027
2020-01-15,55.8915
2020-01-16,57.7076
2020-01-17,56.4606
2020-01-18,56.4606
2020-01-19,56.4606
2020-01-20,56.4606
2020-01-21,49.7835
2020-01-22,48.7192
2020-01-23,46.6555
2020-01-24,43.3031
2020-01-25,43.3031
2020-01-26,43.3031
2020-01-27,40.7863
2020-01-28,42.4381
2020-01-29,41.9766
2020-01-30,44.4002
2020-01-31,42.5612
2020-02-01,42.5612
2020-02-02,42.5612
2020-02-03,39.9131
2020-02-04,39.9936
2020-02-05,46.3813
2020-02-06,40.7923
2020-02-07,40.6031
2020-02-08,40.6031
2020-02-09,40.6031
2020-02-10,40.8161
2020-02-11,40.4163
2020-02-12,40.5668
2020-02-13,40.6444
2020-02-14,42.6576
2020-02-15,42.6576
2020-02-16,42.6576
2020-02-17,42.6576
2020-02-18,42.5427
2020-02-19,44.8464
2020-02-20,45.5242
2020-02-21,43.0895
2020-02-22,43.0895
2020-02-23,43.0895
2020-02-24,39.535
2020-02-25,37.1455
2020-02-26,37.0981
2020-02-27,35.6867
2020-02-28,37.0898
2020-02-29,37.0898
2020-03-01,37.0898
2020-03-02,36.0373
2020-03-03,35.192
2020-03-04,34.1338
2020-03-05,31.8734
2020-03-06,28.7318
2020-03-07,28.7318
2020-03-08,28.7318
2020-03-09,25.5603
2020-03-10,24.1927
2020-03-11,25.0227
2020-03-12,23.9642
2020-03-13,24.9744
2020-03-14,24.9744
2020-03-15,24.9744
2020-03-16,24.525
2020-03-17,26.1574
2020-03-18,24.4043
2020-03-19,27.3759
2020-03-20,26.3348
2020-03-21,26.3348
2020-03-22,26.3348
2020-03-23,26.3052
2020-03-24,29.9658
2020-03-25,29.3295
2020-03-26,32.0781
2020-03-27,30.7694
2020-03-28,30.7694
2020-03-29,30.7694
2020-03-30,30.8482
2020-03-31,31.1727
2020-04-01,29.6267
2020-04-02,31.3469
2020-04-03,31.4295
2020-04-04,31.4295
2020-04-05,31.4295
2020-04-06,33.0943
2020-04-07,33.1782
2020-04-08,38.3754
2020-04-09,38.3754
2020-04-10,38.3754
2020-04-11,38.3754
2020-04-12,38.3754
2020-04-13,39.1546
2020-04-14,38.2051
2020-04-15,36.2888
2020-04-16,35.2819
2020-04-17,36.6862
2020-04-18,36.6862
2020-04-19,36.6862
2020-04-20,37.266
2020-04-21,36.8176
2020-04-22,36.615
2020-04-23,42.7278
2020-04-24,43.4053
2020-04-25,43.4053
2020-04-26,43.4053
2020-04-27,41.8133
2020-04-28,44.0134
2020-04-29,52.2013
2020-04-30,51.345
2020-05-01,48.8014
2020-05-02,48.8014
2020-05-03,48.8014
2020-05-04,47.9443
2020-05-05,48.4439
2020-05-06,48.0267
2020-05-07,48.7443
2020-05-08,51.5738
2020-05-09,51.5738
2020-05-10,51.5738
2020-05-11,50.9275
2020-05-12,51.5555
2020-05-13,48.5354
2020-05-14,48.6678
