,ALE US Equity
,RSI_30D
2020-01-01,43.028
2020-01-02,41.3046
2020-01-03,41.8972
2020-01-04,41.8972
2020-01-05,41.8972
2020-01-06,41.1451
2020-01-07,38.9006
2020-01-08,41.5543
2020-01-09,44.136
2020-01-10,43.8577
2020-01-11,43.8577
2020-01-12,43.8577
2020-01-13,45.9046
2020-01-14,45.3153
2020-01-15,49.8756
2020-01-16,52.6485
2020-01-17,52.7648
2020-01-18,52.7648
2020-01-19,52.7648
2020-01-20,52.7648
2020-01-21,52.5313
2020-01-22,52.497
2020-01-23,54.4082
2020-01-24,53.83
2020-01-25,53.83
2020-01-26,53.83
2020-01-27,51.2926
2020-01-28,51.2232
2020-01-29,51.3254
2020-01-30,54.2343
2020-01-31,51.9007
2020-02-01,51.9007
2020-02-02,51.9007
2020-02-03,53.7348
2020-02-04,51.0834
2020-02-05,52.126
2020-02-06,49.3062
2020-02-07,46.9329
2020-02-08,46.9329
2020-02-09,46.9329
2020-02-10,47.2829
2020-02-11,47.3906
2020-02-12,46.4741
2020-02-13,46.3657
2020-02-14,46.194
2020-02-15,46.194
2020-02-16,46.194
2020-02-17,46.194
2020-02-18,46.8856
2020-02-19,43.0167
2020-02-20,41.2999
2020-02-21,41.9843
2020-02-22,41.9843
2020-02-23,41.9843
2020-02-24,40.0809
2020-02-25,35.3449
2020-02-26,32.8674
2020-02-27,27.4068
2020-02-28,22.1314
2020-02-29,22.1314
2020-03-01,22.1314
2020-03-02,37.9136
2020-03-03,36.9104
2020-03-04,44.2369
2020-03-05,41.6461
2020-03-06,43.4192
2020-03-07,43.4192
2020-03-08,43.4192
2020-03-09,39.9453
2020-03-10,43.2466
2020-03-11,36.2693
2020-03-12,30.3341
2020-03-13,34.1869
2020-03-14,34.1869
2020-03-15,34.1869
2020-03-16,27.7504
2020-03-17,41.6403
2020-03-18,37.981
2020-03-19,40.0987
2020-03-20,35.1441
2020-03-21,35.1441
2020-03-22,35.1441
2020-03-23,33.9454
2020-03-24,38.1595
2020-03-25,38.5759
2020-03-26,42.515
2020-03-27,42.288
2020-03-28,42.288
2020-03-29,42.288
2020-03-30,42.7421
2020-03-31,41.6464
2020-04-01,39.4172
2020-04-02,39.2932
2020-04-03,38.1148
2020-04-04,38.1148
2020-04-05,38.1148
2020-04-06,42.231
2020-04-07,41.7226
2020-04-08,43.454
2020-04-09,44.5387
2020-04-10,44.5387
2020-04-11,44.5387
2020-04-12,44.5387
2020-04-13,43.2419
2020-04-14,44.2199
2020-04-15,41.9692
2020-04-16,41.2716
2020-04-17,42.9724
2020-04-18,42.9724
2020-04-19,42.9724
2020-04-20,40.6839
2020-04-21,41.7992
2020-04-22,41.6915
2020-04-23,42.4049
2020-04-24,43.1067
2020-04-25,43.1067
2020-04-26,43.1067
2020-04-27,44.2656
2020-04-28,45.7595
2020-04-29,46.7643
2020-04-30,43.905
2020-05-01,42.5659
2020-05-02,42.5659
2020-05-03,42.5659
2020-05-04,42.4887
2020-05-05,43.4627
2020-05-06,40.4326
2020-05-07,41.1401
2020-05-08,43.8518
2020-05-09,43.8518
2020-05-10,43.8518
2020-05-11,42.7643
2020-05-12,41.6395
2020-05-13,41.1049
2020-05-14,40.1863
2020-05-15,39.8937
2020-05-16,39.8937
2020-05-17,39.8937
2020-05-18,43.9022
2020-05-19,43.2427
2020-05-20,44.653
2020-05-21,44.1619
2020-05-22,44.2243
2020-05-23,44.2243
2020-05-24,44.2243
2020-05-25,44.2243
2020-05-26,46.2245
2020-05-27,48.9617
2020-05-28,48.2783
2020-05-29,49.5127
2020-05-30,49.5127
2020-05-31,49.5127
2020-06-01,49.9698
2020-06-02,50.6484
2020-06-03,51.824
2020-06-04,51.2765
2020-06-05,53.5327
2020-06-06,53.5327
2020-06-07,53.5327
2020-06-08,54.2723
2020-06-09,53.7391
2020-06-10,52.5238
2020-06-11,47.5069
2020-06-12,47.9752
2020-06-13,47.9752
2020-06-14,47.9752
2020-06-15,48.7068
2020-06-16,48.2322
2020-06-17,46.7269
2020-06-18,46.5531
2020-06-19,44.7014
2020-06-20,44.7014
2020-06-21,44.7014
2020-06-22,44.9859
2020-06-23,44.5223
2020-06-24,44.0837
2020-06-25,43.203
2020-06-26,42.6573
2020-06-27,42.6573
2020-06-28,42.6573
