,PEP US Equity
,RSI_30D
2020-01-01,51.8173
2020-01-02,49.3903
2020-01-03,48.8611
2020-01-04,48.8611
2020-01-05,48.8611
2020-01-06,50.3667
2020-01-07,44.7567
2020-01-08,46.7356
2020-01-09,46.9918
2020-01-10,46.3258
2020-01-11,46.3258
2020-01-12,46.3258
2020-01-13,51.7653
2020-01-14,52.561
2020-01-15,57.8443
2020-01-16,58.675
2020-01-17,61.808
2020-01-18,61.808
2020-01-19,61.808
2020-01-20,61.808
2020-01-21,62.867
2020-01-22,65.3826
2020-01-23,65.8082
2020-01-24,63.6059
2020-01-25,63.6059
2020-01-26,63.6059
2020-01-27,61.3657
2020-01-28,61.903
2020-01-29,59.8647
2020-01-30,63.5382
2020-01-31,58.7442
2020-02-01,58.7442
2020-02-02,58.7442
2020-02-03,59.5979
2020-02-04,60.8134
2020-02-05,62.5846
2020-02-06,62.6332
2020-02-07,64.2942
2020-02-08,64.2942
2020-02-09,64.2942
2020-02-10,64.7462
2020-02-11,65.4025
2020-02-12,65.4025
2020-02-13,66.0308
2020-02-14,66.861
2020-02-15,66.861
2020-02-16,66.861
2020-02-17,66.861
2020-02-18,62.6286
2020-02-19,62.4228
2020-02-20,61.3207
2020-02-21,62.5947
2020-02-22,62.5947
2020-02-23,62.5947
2020-02-24,54.0299
2020-02-25,50.5942
2020-02-26,52.384
2020-02-27,42.2821
2020-02-28,36.6291
2020-02-29,36.6291
2020-03-01,36.6291
2020-03-02,46.1529
2020-03-03,43.7044
2020-03-04,52.5682
2020-03-05,48.6605
2020-03-06,47.7359
2020-03-07,47.7359
2020-03-08,47.7359
2020-03-09,40.935
2020-03-10,45.4424
2020-03-11,41.8024
2020-03-12,32.8637
2020-03-13,43.3879
2020-03-14,43.3879
2020-03-15,43.3879
2020-03-16,36.3902
2020-03-17,45.6317
2020-03-18,42.6522
2020-03-19,41.1875
2020-03-20,36.3505
2020-03-21,36.3505
2020-03-22,36.3505
2020-03-23,37.0632
2020-03-24,41.7388
2020-03-25,41.2483
2020-03-26,45.1125
2020-03-27,45.2086
2020-03-28,45.2086
2020-03-29,45.2086
2020-03-30,47.5908
2020-03-31,45.4023
2020-04-01,44.6211
2020-04-02,47.3385
2020-04-03,47.6763
2020-04-04,47.6763
2020-04-05,47.6763
2020-04-06,50.6249
2020-04-07,50.3213
2020-04-08,51.2684
2020-04-09,51.7243
2020-04-10,51.7243
2020-04-11,51.7243
2020-04-12,51.7243
2020-04-13,50.4136
2020-04-14,53.7375
2020-04-15,52.1158
2020-04-16,52.3849
2020-04-17,53.236
2020-04-18,53.236
2020-04-19,53.236
2020-04-20,51.7334
2020-04-21,49.9775
2020-04-22,50.7817
2020-04-23,49.6223
2020-04-24,51.6079
2020-04-25,51.6079
2020-04-26,51.6079
2020-04-27,51.656
2020-04-28,52.5628
2020-04-29,50.9883
2020-04-30,50.4235
2020-05-01,49.2885
2020-05-02,49.2885
2020-05-03,49.2885
2020-05-04,49.7133
2020-05-05,50.1289
2020-05-06,49.6255
2020-05-07,50.0742
2020-05-08,51.6256
2020-05-09,51.6256
2020-05-10,51.6256
2020-05-11,51.7125
2020-05-12,50.8063
2020-05-13,50.8187
2020-05-14,50.8954
2020-05-15,52.7202
2020-05-16,52.7202
2020-05-17,52.7202
2020-05-18,52.4183
2020-05-19,49.8171
2020-05-20,49.5019
2020-05-21,48.7887
2020-05-22,48.9842
2020-05-23,48.9842
2020-05-24,48.9842
2020-05-25,48.9842
2020-05-26,48.4666
2020-05-27,49.2718
2020-05-28,50.3913
2020-05-29,49.8226
2020-05-30,49.8226
2020-05-31,49.8226
2020-06-01,50.9373
2020-06-02,50.6463
2020-06-03,50.7998
2020-06-04,49.7578
2020-06-05,51.331
2020-06-06,51.331
2020-06-07,51.331
2020-06-08,51.1273
2020-06-09,51.7814
2020-06-10,52.7792
2020-06-11,47.2897
2020-06-12,48.3153
2020-06-13,48.3153
2020-06-14,48.3153
2020-06-15,49.6093
2020-06-16,50.6373
2020-06-17,50.716
2020-06-18,51.6198
2020-06-19,50.2187
2020-06-20,50.2187
2020-06-21,50.2187
2020-06-22,50.0034
2020-06-23,50.3005
2020-06-24,48.567
2020-06-25,50.385
2020-06-26,48.0307
2020-06-27,48.0307
2020-06-28,48.0307
2020-06-29,50.1209
2020-06-30,51.2344
2020-07-01,51.3297
2020-07-02,51.8069
2020-07-03,51.8069
2020-07-04,51.8069
2020-07-05,51.8069
2020-07-06,52.2516
2020-07-07,52.5236
2020-07-08,53.1876
2020-07-09,51.458
2020-07-10,53.2795
2020-07-11,53.2795
2020-07-12,53.2795
2020-07-13,53.7412
2020-07-14,54.3735
2020-07-15,52.1608
2020-07-16,52.369
2020-07-17,53.2333
2020-07-18,53.2333
2020-07-19,53.2333
2020-07-20,51.3189
2020-07-21,52.8139
2020-07-22,54.5424
2020-07-23,55.6798
2020-07-24,54.339
2020-07-25,54.339
2020-07-26,54.339
2020-07-27,56.0664
2020-07-28,55.674
2020-07-29,56.2745
2020-07-30,55.9324
2020-07-31,55.8885
2020-08-01,55.8885
2020-08-02,55.8885
2020-08-03,54.4723
2020-08-04,55.4098
2020-08-05,53.6007
2020-08-06,53.0281
2020-08-07,54.1708
2020-08-08,54.1708
2020-08-09,54.1708
2020-08-10,53.0185
2020-08-11,51.7303
2020-08-12,55.2364
2020-08-13,55.6098
2020-08-14,54.7593
2020-08-15,54.7593
2020-08-16,54.7593
2020-08-17,55.2315
2020-08-18,55.4852
2020-08-19,52.782
2020-08-20,53.1659
2020-08-21,52.7388
2020-08-22,52.7388
2020-08-23,52.7388
2020-08-24,54.4567
2020-08-25,53.873
2020-08-26,55.5684
2020-08-27,55.4423
2020-08-28,57.6309
2020-08-29,57.6309
2020-08-30,57.6309
2020-08-31,57.7979
2020-09-01,56.1375
2020-09-02,61.526
2020-09-03,56.4222
2020-09-04,55.421
2020-09-05,55.421
2020-09-06,55.421
2020-09-07,55.421
2020-09-08,50.5388
2020-09-09,52.6364
2020-09-10,49.3734
2020-09-11,50.7836
2020-09-12,50.7836
2020-09-13,50.7836
2020-09-14,51.9184
2020-09-15,50.4492
2020-09-16,49.5648
2020-09-17,47.185
2020-09-18,45.0119
