,MGRC US Equity
,RSI_30D
2020-01-01,58.9237
2020-01-02,59.0099
2020-01-03,59.5716
2020-01-04,59.5716
2020-01-05,59.5716
2020-01-06,59.8562
2020-01-07,60.1103
2020-01-08,61.5319
2020-01-09,61.6036
2020-01-10,60.126
2020-01-11,60.126
2020-01-12,60.126
2020-01-13,62.3082
2020-01-14,63.6402
2020-01-15,64.1843
2020-01-16,61.8833
2020-01-17,59.768
2020-01-18,59.768
2020-01-19,59.768
2020-01-20,59.768
2020-01-21,59.9426
2020-01-22,56.8779
2020-01-23,57.747
2020-01-24,57.9141
2020-01-25,57.9141
2020-01-26,57.9141
2020-01-27,58.9226
2020-01-28,61.0737
2020-01-29,63.8722
2020-01-30,65.3381
2020-01-31,54.5922
2020-02-01,54.5922
2020-02-02,54.5922
2020-02-03,55.5741
2020-02-04,57.5793
2020-02-05,60.4022
2020-02-06,60.5452
2020-02-07,58.4356
2020-02-08,58.4356
2020-02-09,58.4356
2020-02-10,59.4274
2020-02-11,61.8532
2020-02-12,63.5159
2020-02-13,58.4127
2020-02-14,59.2402
2020-02-15,59.2402
2020-02-16,59.2402
2020-02-17,59.2402
2020-02-18,58.5355
2020-02-19,59.5158
2020-02-20,57.0895
2020-02-21,54.4261
2020-02-22,54.4261
2020-02-23,54.4261
2020-02-24,52.4504
2020-02-25,47.7781
2020-02-26,41.4789
2020-02-27,39.442
2020-02-28,38.3068
2020-02-29,38.3068
2020-03-01,38.3068
2020-03-02,40.6935
2020-03-03,37.7802
2020-03-04,42.6709
2020-03-05,38.4661
2020-03-06,36.4225
2020-03-07,36.4225
2020-03-08,36.4225
2020-03-09,28.6079
2020-03-10,32.8253
2020-03-11,29.6194
2020-03-12,26.4432
2020-03-13,35.9591
2020-03-14,35.9591
2020-03-15,35.9591
2020-03-16,32.8223
2020-03-17,35.4203
2020-03-18,32.6538
2020-03-19,34.7906
2020-03-20,33.9312
2020-03-21,33.9312
2020-03-22,33.9312
2020-03-23,33.7322
2020-03-24,39.3186
2020-03-25,38.7141
2020-03-26,41.6138
2020-03-27,39.4551
2020-03-28,39.4551
2020-03-29,39.4551
2020-03-30,41.6716
2020-03-31,40.845
2020-04-01,39.5074
2020-04-02,41.3815
2020-04-03,40.3841
2020-04-04,40.3841
2020-04-05,40.3841
2020-04-06,43.3918
2020-04-07,42.3907
2020-04-08,43.1115
2020-04-09,45.0389
2020-04-10,45.0389
2020-04-11,45.0389
2020-04-12,45.0389
2020-04-13,43.0446
2020-04-14,44.1498
2020-04-15,41.5527
2020-04-16,40.8273
2020-04-17,43.7881
2020-04-18,43.7881
2020-04-19,43.7881
2020-04-20,43.2445
2020-04-21,42.8496
2020-04-22,42.6415
2020-04-23,43.0095
2020-04-24,43.7106
2020-04-25,43.7106
