,CBSH US Equity
,RSI_30D
2020-01-01,73.4741
2020-01-02,73.6313
2020-01-03,71.6552
2020-01-04,71.6552
2020-01-05,71.6552
2020-01-06,68.6212
2020-01-07,65.2955
2020-01-08,67.3883
2020-01-09,68.0119
2020-01-10,65.9253
2020-01-11,65.9253
2020-01-12,65.9253
2020-01-13,66.6205
2020-01-14,65.4367
2020-01-15,61.718
2020-01-16,64.1138
2020-01-17,64.7273
2020-01-18,64.7273
2020-01-19,64.7273
2020-01-20,64.7273
2020-01-21,61.3517
2020-01-22,66.6525
2020-01-23,64.2226
2020-01-24,63.034
2020-01-25,63.034
2020-01-26,63.034
2020-01-27,59.807
2020-01-28,62.617
2020-01-29,61.5546
2020-01-30,63.9358
2020-01-31,58.1791
2020-02-01,58.1791
2020-02-02,58.1791
2020-02-03,61.2006
2020-02-04,64.575
2020-02-05,66.782
2020-02-06,63.8255
2020-02-07,61.4595
2020-02-08,61.4595
2020-02-09,61.4595
2020-02-10,63.2803
2020-02-11,64.8384
2020-02-12,63.6066
2020-02-13,63.1927
2020-02-14,60.9758
2020-02-15,60.9758
2020-02-16,60.9758
2020-02-17,60.9758
2020-02-18,58.7641
2020-02-19,58.7641
2020-02-20,59.7135
2020-02-21,56.1351
2020-02-22,56.1351
2020-02-23,56.1351
2020-02-24,50.3395
2020-02-25,45.4299
2020-02-26,42.7322
2020-02-27,41.0133
2020-02-28,35.3858
2020-02-29,35.3858
2020-03-01,35.3858
2020-03-02,42.3907
2020-03-03,39.2931
2020-03-04,43.8649
2020-03-05,37.8167
2020-03-06,35.5809
2020-03-07,35.5809
2020-03-08,35.5809
2020-03-09,29.5033
2020-03-10,37.5441
2020-03-11,34.548
2020-03-12,31.9051
2020-03-13,41.8564
2020-03-14,41.8564
2020-03-15,41.8564
2020-03-16,38.0678
2020-03-17,47.6102
2020-03-18,48.046
2020-03-19,45.4447
2020-03-20,40.4326
2020-03-21,40.4326
2020-03-22,40.4326
2020-03-23,36.4512
2020-03-24,40.0679
2020-03-25,39.415
2020-03-26,42.2394
2020-03-27,40.7375
2020-03-28,40.7375
2020-03-29,40.7375
2020-03-30,41.7326
2020-03-31,41.6838
2020-04-01,41.1092
2020-04-02,43.1511
2020-04-03,41.1885
2020-04-04,41.1885
2020-04-05,41.1885
2020-04-06,44.5847
2020-04-07,46.2406
2020-04-08,47.5761
2020-04-09,50.6615
2020-04-10,50.6615
2020-04-11,50.6615
2020-04-12,50.6615
2020-04-13,47.3815
2020-04-14,48.1184
2020-04-15,46.8085
2020-04-16,46.6077
2020-04-17,49.3557
2020-04-18,49.3557
2020-04-19,49.3557
2020-04-20,48.6391
2020-04-21,47.8148
2020-04-22,47.2975
2020-04-23,47.9813
2020-04-24,47.7302
2020-04-25,47.7302
2020-04-26,47.7302
2020-04-27,49.8368
2020-04-28,51.4123
2020-04-29,54.6772
2020-04-30,52.8407
2020-05-01,50.1717
2020-05-02,50.1717
2020-05-03,50.1717
2020-05-04,50.3464
2020-05-05,50.0289
2020-05-06,49.3028
2020-05-07,49.4947
2020-05-08,50.8146
2020-05-09,50.8146
2020-05-10,50.8146
2020-05-11,49.7254
2020-05-12,47.514
2020-05-13,45.3471
2020-05-14,47.1103
2020-05-15,46.673
2020-05-16,46.673
2020-05-17,46.673
2020-05-18,51.3622
2020-05-19,49.7019
2020-05-20,51.779
2020-05-21,52.2265
2020-05-22,51.6905
2020-05-23,51.6905
2020-05-24,51.6905
2020-05-25,51.6905
2020-05-26,54.8174
2020-05-27,56.6244
2020-05-28,55.2213
2020-05-29,55.0691
2020-05-30,55.0691
2020-05-31,55.0691
2020-06-01,54.8319
2020-06-02,54.8959
2020-06-03,56.4625
2020-06-04,56.8696
2020-06-05,59.2936
2020-06-06,59.2936
2020-06-07,59.2936
2020-06-08,59.6912
2020-06-09,59.3213
2020-06-10,56.0155
2020-06-11,50.2149
2020-06-12,50.7376
2020-06-13,50.7376
2020-06-14,50.7376
2020-06-15,51.5714
2020-06-16,52.9922
2020-06-17,50.8324
2020-06-18,50.9546
2020-06-19,51.4849
2020-06-20,51.4849
2020-06-21,51.4849
2020-06-22,50.4016
2020-06-23,49.3709
2020-06-24,47.1225
2020-06-25,48.9709
2020-06-26,46.692
2020-06-27,46.692
2020-06-28,46.692
2020-06-29,48.1334
2020-06-30,49.2292
2020-07-01,47.5535
2020-07-02,47.7862
2020-07-03,47.7862
2020-07-04,47.7862
2020-07-05,47.7862
2020-07-06,47.3085
2020-07-07,45.6247
2020-07-08,45.4329
2020-07-09,43.5295
2020-07-10,45.4622
2020-07-11,45.4622
2020-07-12,45.4622
2020-07-13,46.1577
2020-07-14,45.4362
2020-07-15,47.6628
2020-07-16,48.5143
2020-07-17,46.8888
2020-07-18,46.8888
2020-07-19,46.8888
2020-07-20,46.3417
2020-07-21,49.4201
2020-07-22,48.0602
2020-07-23,50.0968
2020-07-24,49.4896
2020-07-25,49.4896
2020-07-26,49.4896
2020-07-27,47.6955
2020-07-28,47.4654
2020-07-29,49.3543
2020-07-30,48.3537
2020-07-31,48.264
2020-08-01,48.264
2020-08-02,48.264
2020-08-03,48.6161
2020-08-04,48.5341
2020-08-05,50.5616
2020-08-06,49.9124
2020-08-07,52.0766
2020-08-08,52.0766
2020-08-09,52.0766
2020-08-10,52.1744
2020-08-11,53.6289
2020-08-12,53.713
2020-08-13,52.9521
2020-08-14,53.4269
2020-08-15,53.4269
2020-08-16,53.4269
2020-08-17,53.115
2020-08-18,50.9442
2020-08-19,51.0257
2020-08-20,49.6931
2020-08-21,49.1821
2020-08-22,49.1821
2020-08-23,49.1821
2020-08-24,51.8784
2020-08-25,51.6095
2020-08-26,50.7031
2020-08-27,52.0448
2020-08-28,50.9275
2020-08-29,50.9275
2020-08-30,50.9275
2020-08-31,50.8898
2020-09-01,49.655
2020-09-02,50.1364
2020-09-03,50.1958
2020-09-04,52.3486
2020-09-05,52.3486
2020-09-06,52.3486
2020-09-07,52.3486
2020-09-08,46.3894
2020-09-09,45.7585
2020-09-10,44.1468
2020-09-11,43.6335
2020-09-12,43.6335
2020-09-13,43.6335
2020-09-14,46.4394
2020-09-15,45.1645
2020-09-16,46.298
2020-09-17,46.8559
2020-09-18,45.8879
2020-09-19,45.8879
