,FNF US Equity
,RSI_30D
2020-01-01,48.4766
2020-01-02,46.2028
2020-01-03,47.4771
2020-01-04,47.4771
2020-01-05,47.4771
2020-01-06,51.883
2020-01-07,49.6964
2020-01-08,50.417
2020-01-09,52.1883
2020-01-10,51.1795
2020-01-11,51.1795
2020-01-12,51.1795
2020-01-13,54.3193
2020-01-14,54.4845
2020-01-15,56.9534
2020-01-16,56.6081
2020-01-17,59.4084
2020-01-18,59.4084
2020-01-19,59.4084
2020-01-20,59.4084
2020-01-21,58.3461
2020-01-22,60.8562
2020-01-23,62.4326
2020-01-24,63.6023
2020-01-25,63.6023
2020-01-26,63.6023
2020-01-27,64.8599
2020-01-28,65.068
2020-01-29,66.5044
2020-01-30,67.338
2020-01-31,63.7432
2020-02-01,63.7432
2020-02-02,63.7432
2020-02-03,63.83
2020-02-04,62.0615
2020-02-05,64.2448
2020-02-06,64.2882
2020-02-07,46.4465
2020-02-08,46.4465
2020-02-09,46.4465
2020-02-10,43.8156
2020-02-11,45.171
2020-02-12,41.8447
2020-02-13,44.0739
2020-02-14,43.6127
2020-02-15,43.6127
2020-02-16,43.6127
2020-02-17,43.6127
2020-02-18,41.3735
2020-02-19,39.4859
2020-02-20,39.9061
2020-02-21,39.4807
2020-02-22,39.4807
2020-02-23,39.4807
2020-02-24,38.081
2020-02-25,34.1372
2020-02-26,31.4621
2020-02-27,28.5252
2020-02-28,26.122
2020-02-29,26.122
2020-03-01,26.122
2020-03-02,35.6273
2020-03-03,35.0806
2020-03-04,44.1963
2020-03-05,43.3299
2020-03-06,44.747
2020-03-07,44.747
2020-03-08,44.747
2020-03-09,35.9286
2020-03-10,36.0245
2020-03-11,33.2606
2020-03-12,29.7156
2020-03-13,28.5576
2020-03-14,28.5576
2020-03-15,28.5576
2020-03-16,22.7843
2020-03-17,21.4942
2020-03-18,17.9498
2020-03-19,23.682
2020-03-20,22.6221
2020-03-21,22.6221
2020-03-22,22.6221
2020-03-23,22.0808
2020-03-24,28.5437
2020-03-25,31.4642
2020-03-26,35.0331
2020-03-27,33.7481
2020-03-28,33.7481
2020-03-29,33.7481
2020-03-30,33.8411
2020-03-31,32.4107
2020-04-01,32.7781
2020-04-02,31.7902
2020-04-03,31.0796
2020-04-04,31.0796
2020-04-05,31.0796
2020-04-06,33.2253
2020-04-07,35.8699
2020-04-08,38.8331
2020-04-09,41.5083
2020-04-10,41.5083
2020-04-11,41.5083
2020-04-12,41.5083
2020-04-13,39.5349
2020-04-14,40.9778
2020-04-15,39.0175
2020-04-16,38.7294
2020-04-17,41.2325
2020-04-18,41.2325
2020-04-19,41.2325
2020-04-20,38.9721
2020-04-21,38.3062
2020-04-22,39.2046
2020-04-23,40.0546
2020-04-24,40.7685
2020-04-25,40.7685
2020-04-26,40.7685
2020-04-27,41.8432
2020-04-28,43.1763
2020-04-29,44.918
2020-04-30,42.8139
2020-05-01,41.4656
2020-05-02,41.4656
2020-05-03,41.4656
2020-05-04,40.9146
2020-05-05,40.2328
2020-05-06,39.4124
2020-05-07,40.7023
2020-05-08,42.1878
2020-05-09,42.1878
2020-05-10,42.1878
2020-05-11,41.5034
2020-05-12,41.3335
2020-05-13,40.0201
2020-05-14,41.8294
2020-05-15,41.5788
2020-05-16,41.5788
2020-05-17,41.5788
2020-05-18,46.2259
2020-05-19,45.7336
2020-05-20,46.9403
2020-05-21,46.4726
2020-05-22,46.512
2020-05-23,46.512
2020-05-24,46.512
2020-05-25,46.512
2020-05-26,50.7478
2020-05-27,55.2566
2020-05-28,51.3553
2020-05-29,53.835
2020-05-30,53.835
2020-05-31,53.835
2020-06-01,54.8512
2020-06-02,56.4384
2020-06-03,55.8221
2020-06-04,57.1323
2020-06-05,57.3032
2020-06-06,57.3032
2020-06-07,57.3032
2020-06-08,59.102
2020-06-09,57.8802
2020-06-10,55.7828
2020-06-11,51.269
2020-06-12,51.9602
2020-06-13,51.9602
2020-06-14,51.9602
2020-06-15,52.3296
2020-06-16,53.6755
2020-06-17,53.1397
2020-06-18,52.8013
2020-06-19,51.685
2020-06-20,51.685
2020-06-21,51.685
2020-06-22,51.4752
2020-06-23,51.9704
2020-06-24,49.3829
2020-06-25,50.0169
2020-06-26,48.9784
2020-06-27,48.9784
2020-06-28,48.9784
2020-06-29,49.7184
2020-06-30,49.982
2020-07-01,49.1212
2020-07-02,48.9757
2020-07-03,48.9757
2020-07-04,48.9757
2020-07-05,48.9757
2020-07-06,49.8965
2020-07-07,48.3909
2020-07-08,49.6702
2020-07-09,47.9031
2020-07-10,50.0765
2020-07-11,50.0765
2020-07-12,50.0765
2020-07-13,49.8768
2020-07-14,52.387
2020-07-15,53.4359
2020-07-16,54.3309
2020-07-17,53.833
2020-07-18,53.833
2020-07-19,53.833
2020-07-20,52.4653
2020-07-21,52.5107
2020-07-22,54.9998
2020-07-23,56.6777
2020-07-24,55.6053
2020-07-25,55.6053
2020-07-26,55.6053
2020-07-27,54.2255
2020-07-28,53.0984
2020-07-29,53.8825
2020-07-30,53.7185
2020-07-31,52.7229
2020-08-01,52.7229
2020-08-02,52.7229
2020-08-03,53.7091
2020-08-04,54.0068
2020-08-05,56.2854
2020-08-06,58.0466
2020-08-07,59.3237
2020-08-08,59.3237
2020-08-09,59.3237
2020-08-10,59.9113
2020-08-11,57.8306
2020-08-12,55.0033
2020-08-13,53.661
2020-08-14,52.7917
2020-08-15,52.7917
2020-08-16,52.7917
2020-08-17,53.184
2020-08-18,51.9632
2020-08-19,50.2462
2020-08-20,50.8723
2020-08-21,51.447
2020-08-22,51.447
2020-08-23,51.447
2020-08-24,53.5815
2020-08-25,52.5439
2020-08-26,51.6041
2020-08-27,52.7693
2020-08-28,53.4932
