,L US Equity
,RSI_30D
2020-01-01,57.6587
2020-01-02,59.5447
2020-01-03,58.3996
2020-01-04,58.3996
2020-01-05,58.3996
2020-01-06,54.6997
2020-01-07,53.463
2020-01-08,53.5083
2020-01-09,57.2141
2020-01-10,53.9062
2020-01-11,53.9062
2020-01-12,53.9062
2020-01-13,54.0351
2020-01-14,53.6729
2020-01-15,51.8743
2020-01-16,53.9714
2020-01-17,55.072
2020-01-18,55.072
2020-01-19,55.072
2020-01-20,55.072
2020-01-21,50.6147
2020-01-22,52.3192
2020-01-23,50.3329
2020-01-24,49.8204
2020-01-25,49.8204
2020-01-26,49.8204
2020-01-27,47.285
2020-01-28,50.5399
2020-01-29,51.3391
2020-01-30,54.3492
2020-01-31,50.146
2020-02-01,50.146
2020-02-02,50.146
2020-02-03,53.9125
2020-02-04,55.1306
2020-02-05,58.0828
2020-02-06,56.8536
2020-02-07,56.5783
2020-02-08,56.5783
2020-02-09,56.5783
2020-02-10,64.2234
2020-02-11,59.6013
2020-02-12,56.5499
2020-02-13,56.9253
2020-02-14,57.3069
2020-02-15,57.3069
2020-02-16,57.3069
2020-02-17,57.3069
2020-02-18,55.3935
2020-02-19,55.4249
2020-02-20,56.002
2020-02-21,54.9391
2020-02-22,54.9391
2020-02-23,54.9391
2020-02-24,50.0281
2020-02-25,44.0447
2020-02-26,40.3541
2020-02-27,34.5365
2020-02-28,33.4796
2020-02-29,33.4796
2020-03-01,33.4796
2020-03-02,42.9998
2020-03-03,39.8924
2020-03-04,43.6105
2020-03-05,38.4626
2020-03-06,36.44
2020-03-07,36.44
2020-03-08,36.44
2020-03-09,30.5444
2020-03-10,38.6666
2020-03-11,34.831
2020-03-12,29.1588
2020-03-13,35.5051
2020-03-14,35.5051
2020-03-15,35.5051
2020-03-16,32.6605
2020-03-17,37.4276
2020-03-18,35.7383
2020-03-19,39.3542
2020-03-20,34.843
2020-03-21,34.843
2020-03-22,34.843
2020-03-23,33.835
2020-03-24,38.6656
2020-03-25,38.3399
2020-03-26,40.7718
2020-03-27,39.4728
2020-03-28,39.4728
2020-03-29,39.4728
2020-03-30,41.426
2020-03-31,40.9519
2020-04-01,39.248
2020-04-02,39.8947
2020-04-03,39.5149
2020-04-04,39.5149
2020-04-05,39.5149
2020-04-06,43.022
2020-04-07,43.664
2020-04-08,45.5567
2020-04-09,47.1242
2020-04-10,47.1242
2020-04-11,47.1242
2020-04-12,47.1242
2020-04-13,45.2647
2020-04-14,45.2647
2020-04-15,42.687
2020-04-16,42.2002
2020-04-17,44.6934
2020-04-18,44.6934
2020-04-19,44.6934
2020-04-20,43.629
2020-04-21,42.5014
2020-04-22,42.5745
2020-04-23,41.7956
2020-04-24,41.3172
2020-04-25,41.3172
2020-04-26,41.3172
2020-04-27,41.5302
2020-04-28,43.5825
2020-04-29,46.8098
2020-04-30,44.7252
2020-05-01,41.8519
2020-05-02,41.8519
2020-05-03,41.8519
2020-05-04,42.0294
2020-05-05,41.1299
2020-05-06,40.1136
2020-05-07,41.0102
2020-05-08,41.9366
2020-05-09,41.9366
2020-05-10,41.9366
2020-05-11,40.9485
2020-05-12,40.5472
2020-05-13,39.7609
2020-05-14,40.1958
2020-05-15,41.2846
2020-05-16,41.2846
2020-05-17,41.2846
2020-05-18,43.981
2020-05-19,43.3211
