,NFBK US Equity
,RSI_30D
2020-01-01,52.5976
2020-01-02,49.719
2020-01-03,53.1063
2020-01-04,53.1063
2020-01-05,53.1063
2020-01-06,49.9986
2020-01-07,45.4163
2020-01-08,46.7921
2020-01-09,44.8434
2020-01-10,43.7869
2020-01-11,43.7869
2020-01-12,43.7869
2020-01-13,46.6651
2020-01-14,46.0358
2020-01-15,46.8696
2020-01-16,49.5571
2020-01-17,48.8751
2020-01-18,48.8751
2020-01-19,48.8751
2020-01-20,48.8751
2020-01-21,46.3981
2020-01-22,46.9543
2020-01-23,49.5708
2020-01-24,46.3876
2020-01-25,46.3876
2020-01-26,46.3876
2020-01-27,45.4584
2020-01-28,46.2016
2020-01-29,41.0003
2020-01-30,45.5778
2020-01-31,39.1694
2020-02-01,39.1694
2020-02-02,39.1694
2020-02-03,42.7071
2020-02-04,42.6501
2020-02-05,44.4902
2020-02-06,44.0033
2020-02-07,42.9104
2020-02-08,42.9104
2020-02-09,42.9104
2020-02-10,42.6668
2020-02-11,41.2637
2020-02-12,42.5386
2020-02-13,43.386
2020-02-14,41.2465
2020-02-15,41.2465
2020-02-16,41.2465
2020-02-17,41.2465
2020-02-18,40.2795
2020-02-19,42.3758
2020-02-20,42.2479
2020-02-21,40.2985
2020-02-22,40.2985
2020-02-23,40.2985
2020-02-24,38.5759
2020-02-25,35.3425
2020-02-26,33.5027
2020-02-27,29.2714
2020-02-28,26.4892
2020-02-29,26.4892
2020-03-01,26.4892
2020-03-02,34.7791
2020-03-03,31.7082
2020-03-04,35.4598
2020-03-05,32.8588
2020-03-06,31.6875
2020-03-07,31.6875
2020-03-08,31.6875
2020-03-09,23.1503
2020-03-10,29.7458
2020-03-11,29.0999
2020-03-12,25.5489
2020-03-13,31.085
2020-03-14,31.085
2020-03-15,31.085
2020-03-16,28.0381
2020-03-17,42.1439
2020-03-18,39.5224
2020-03-19,37.3913
2020-03-20,31.8106
2020-03-21,31.8106
2020-03-22,31.8106
2020-03-23,33.4442
2020-03-24,34.4401
2020-03-25,34.2726
2020-03-26,38.5981
2020-03-27,36.8938
2020-03-28,36.8938
2020-03-29,36.8938
2020-03-30,39.6967
2020-03-31,39.0167
2020-04-01,36.766
