,UPBD US Equity
,RSI_30D
2020-01-01,58.7768
2020-01-02,56.6091
2020-01-03,58.8794
2020-01-04,58.8794
2020-01-05,58.8794
2020-01-06,59.2127
2020-01-07,59.6775
2020-01-08,59.6136
2020-01-09,60.2735
2020-01-10,61.0203
2020-01-11,61.0203
2020-01-12,61.0203
2020-01-13,63.3275
2020-01-14,63.7313
2020-01-15,65.2549
2020-01-16,67.1286
2020-01-17,68.3523
2020-01-18,68.3523
2020-01-19,68.3523
2020-01-20,68.3523
2020-01-21,62.0074
2020-01-22,62.8137
2020-01-23,61.5903
2020-01-24,62.427
2020-01-25,62.427
2020-01-26,62.427
2020-01-27,60.5428
2020-01-28,61.3746
2020-01-29,61.241
2020-01-30,59.3054
2020-01-31,54.0079
2020-02-01,54.0079
2020-02-02,54.0079
2020-02-03,49.1052
2020-02-04,41.6914
2020-02-05,47.3296
2020-02-06,47.9695
2020-02-07,46.6408
2020-02-08,46.6408
2020-02-09,46.6408
2020-02-10,47.828
2020-02-11,50.527
2020-02-12,50.527
2020-02-13,52.1416
2020-02-14,48.8832
2020-02-15,48.8832
2020-02-16,48.8832
2020-02-17,48.8832
2020-02-18,50.5441
2020-02-19,45.3261
2020-02-20,41.1846
2020-02-21,38.9041
2020-02-22,38.9041
2020-02-23,38.9041
2020-02-24,39.9363
2020-02-25,38.861
2020-02-26,35.5513
2020-02-27,33.3533
2020-02-28,30.7451
2020-02-29,30.7451
2020-03-01,30.7451
2020-03-02,33.6829
2020-03-03,31.5368
2020-03-04,31.9143
2020-03-05,30.0302
2020-03-06,29.1317
2020-03-07,29.1317
2020-03-08,29.1317
2020-03-09,26.6564
2020-03-10,29.1475
2020-03-11,27.9369
2020-03-12,24.9136
2020-03-13,30.2211
2020-03-14,30.2211
2020-03-15,30.2211
2020-03-16,27.6185
2020-03-17,30.0368
2020-03-18,27.6292
2020-03-19,29.5227
2020-03-20,27.9202
2020-03-21,27.9202
2020-03-22,27.9202
2020-03-23,26.0528
2020-03-24,32.6697
2020-03-25,34.5445
2020-03-26,35.8303
2020-03-27,35.073
2020-03-28,35.073
2020-03-29,35.073
2020-03-30,34.4237
2020-03-31,33.8635
2020-04-01,32.1071
2020-04-02,33.1383
2020-04-03,32.2393
2020-04-04,32.2393
2020-04-05,32.2393
2020-04-06,37.5526
2020-04-07,40.5087
2020-04-08,46.2864
2020-04-09,47.2757
2020-04-10,47.2757
2020-04-11,47.2757
2020-04-12,47.2757
2020-04-13,46.2297
2020-04-14,46.9119
2020-04-15,44.468
2020-04-16,44.3432
2020-04-17,45.9139
2020-04-18,45.9139
2020-04-19,45.9139
2020-04-20,45.2161
2020-04-21,43.3027
2020-04-22,43.7055
2020-04-23,44.8033
2020-04-24,45.4965
2020-04-25,45.4965
2020-04-26,45.4965
2020-04-27,47.7662
2020-04-28,48.4982
2020-04-29,52.7374
2020-04-30,51.2497
2020-05-01,49.4022
2020-05-02,49.4022
2020-05-03,49.4022
2020-05-04,48.8754
2020-05-05,48.2369
2020-05-06,47.6573
2020-05-07,53.3874
2020-05-08,58.4615
2020-05-09,58.4615
2020-05-10,58.4615
2020-05-11,58.8157
2020-05-12,55.8587
2020-05-13,55.3354
2020-05-14,57.5793
2020-05-15,58.5043
2020-05-16,58.5043
2020-05-17,58.5043
2020-05-18,59.8978
2020-05-19,58.7519
2020-05-20,59.6014
2020-05-21,59.9361
2020-05-22,60.5947
2020-05-23,60.5947
2020-05-24,60.5947
2020-05-25,60.5947
2020-05-26,61.2867
2020-05-27,61.2325
2020-05-28,60.5667
2020-05-29,60.088
2020-05-30,60.088
2020-05-31,60.088
2020-06-01,59.3176
2020-06-02,61.7064
2020-06-03,61.9612
2020-06-04,62.258
2020-06-05,63.3309
2020-06-06,63.3309
2020-06-07,63.3309
2020-06-08,65.3346
2020-06-09,64.7248
2020-06-10,60.2829
2020-06-11,55.7769
2020-06-12,55.029
2020-06-13,55.029
2020-06-14,55.029
2020-06-15,57.2768
2020-06-16,58.2962
2020-06-17,57.1833
2020-06-18,55.8123
2020-06-19,53.9748
2020-06-20,53.9748
2020-06-21,53.9748
2020-06-22,56.1102
2020-06-23,56.2153
2020-06-24,54.2276
2020-06-25,55.9687
2020-06-26,55.9687
2020-06-27,55.9687
2020-06-28,55.9687
2020-06-29,58.3428
2020-06-30,59.7267
2020-07-01,56.345
2020-07-02,56.4825
2020-07-03,56.4825
2020-07-04,56.4825
2020-07-05,56.4825
2020-07-06,57.1589
2020-07-07,56.0292
2020-07-08,56.7236
2020-07-09,54.8251
2020-07-10,55.7445
2020-07-11,55.7445
2020-07-12,55.7445
2020-07-13,54.6239
2020-07-14,55.188
2020-07-15,57.7507
2020-07-16,57.9
2020-07-17,57.7053
2020-07-18,57.7053
2020-07-19,57.7053
2020-07-20,56.1436
2020-07-21,58.5149
2020-07-22,58.9831
2020-07-23,58.3024
2020-07-24,56.8765
2020-07-25,56.8765
2020-07-26,56.8765
2020-07-27,57.6169
2020-07-28,56.8852
2020-07-29,62.7261
2020-07-30,60.0551
2020-07-31,59.2345
2020-08-01,59.2345
2020-08-02,59.2345
2020-08-03,60.7971
2020-08-04,62.7558
2020-08-05,64.9819
2020-08-06,65.262
2020-08-07,65.5283
2020-08-08,65.5283
2020-08-09,65.5283
2020-08-10,66.9779
2020-08-11,66.1792
2020-08-12,65.9522
2020-08-13,63.6192
2020-08-14,64.9634
2020-08-15,64.9634
2020-08-16,64.9634
2020-08-17,65.7291
2020-08-18,64.2385
2020-08-19,62.8768
2020-08-20,61.3448
2020-08-21,59.7291
2020-08-22,59.7291
2020-08-23,59.7291
2020-08-24,61.7877
2020-08-25,60.2139
2020-08-26,60.6002
2020-08-27,60.8948
2020-08-28,60.1581
2020-08-29,60.1581
2020-08-30,60.1581
2020-08-31,55.9563
2020-09-01,57.7247
2020-09-02,56.7954
2020-09-03,53.0569
2020-09-04,51.31
2020-09-05,51.31
2020-09-06,51.31
2020-09-07,51.31
2020-09-08,49.0326
2020-09-09,51.27
2020-09-10,52.2814
2020-09-11,50.877
2020-09-12,50.877
2020-09-13,50.877
2020-09-14,52.7726
2020-09-15,50.5974
2020-09-16,48.5565
2020-09-17,48.5565
2020-09-18,47.8088
2020-09-19,47.8088
2020-09-20,47.8088
2020-09-21,50.2497
2020-09-22,52.403
2020-09-23,54.06
2020-09-24,48.1948
2020-09-25,52.0905
2020-09-26,52.0905
2020-09-27,52.0905
2020-09-28,53.4918
2020-09-29,52.9384
2020-09-30,51.8864
2020-10-01,52.9083
2020-10-02,54.8155
2020-10-03,54.8155
2020-10-04,54.8155
2020-10-05,59.1102
2020-10-06,57.1881
2020-10-07,58.5596
