,NVGS US Equity
,RSI_30D
2020-01-01,61.587
2020-01-02,59.3665
2020-01-03,61.7038
2020-01-04,61.7038
2020-01-05,61.7038
2020-01-06,60.6019
2020-01-07,59.601
2020-01-08,57.4418
2020-01-09,57.5863
2020-01-10,61.198
2020-01-11,61.198
2020-01-12,61.198
2020-01-13,58.9447
2020-01-14,56.6013
2020-01-15,56.3233
2020-01-16,56.979
2020-01-17,54.6226
2020-01-18,54.6226
2020-01-19,54.6226
2020-01-20,54.6226
2020-01-21,51.536
2020-01-22,53.4785
2020-01-23,51.0243
2020-01-24,50.528
2020-01-25,50.528
2020-01-26,50.528
2020-01-27,49.9418
2020-01-28,50.0275
2020-01-29,49.2427
2020-01-30,47.9459
2020-01-31,45.784
2020-02-01,45.784
2020-02-02,45.784
2020-02-03,45.0565
2020-02-04,45.2565
2020-02-05,45.3593
2020-02-06,45.0094
2020-02-07,44.7415
2020-02-08,44.7415
2020-02-09,44.7415
2020-02-10,39.62
2020-02-11,43.0457
2020-02-12,46.6651
2020-02-13,43.8597
2020-02-14,43.3356
2020-02-15,43.3356
2020-02-16,43.3356
2020-02-17,43.3356
2020-02-18,41.6444
2020-02-19,41.95
2020-02-20,42.2629
2020-02-21,41.2659
2020-02-22,41.2659
2020-02-23,41.2659
2020-02-24,37.8547
2020-02-25,34.3651
2020-02-26,33.3604
2020-02-27,29.8497
2020-02-28,29.3477
2020-02-29,29.3477
2020-03-01,29.3477
2020-03-02,31.5142
2020-03-03,30.1284
2020-03-04,30.1284
2020-03-05,26.8206
2020-03-06,24.1175
2020-03-07,24.1175
2020-03-08,24.1175
2020-03-09,21.0456
2020-03-10,33.1295
2020-03-11,32.7692
2020-03-12,28.7008
2020-03-13,28.4398
2020-03-14,28.4398
2020-03-15,28.4398
2020-03-16,26.12
2020-03-17,24.7211
2020-03-18,22.0429
2020-03-19,25.1951
2020-03-20,24.9289
2020-03-21,24.9289
2020-03-22,24.9289
2020-03-23,25.0654
2020-03-24,28.6238
2020-03-25,28.0009
2020-03-26,30.9789
2020-03-27,30.6088
2020-03-28,30.6088
2020-03-29,30.6088
2020-03-30,30.6088
2020-03-31,29.4223
2020-04-01,29.1374
2020-04-02,28.2871
2020-04-03,29.9092
2020-04-04,29.9092
2020-04-05,29.9092
2020-04-06,31.1697
2020-04-07,32.7
2020-04-08,36.6723
2020-04-09,38.1206
2020-04-10,38.1206
2020-04-11,38.1206
2020-04-12,38.1206
2020-04-13,36.7229
2020-04-14,37.6812
2020-04-15,37.6812
2020-04-16,36.4219
2020-04-17,41.3045
2020-04-18,41.3045
2020-04-19,41.3045
2020-04-20,41.0504
2020-04-21,44.467
2020-04-22,44.9789
2020-04-23,44.6477
2020-04-24,44.9472
2020-04-25,44.9472
2020-04-26,44.9472
2020-04-27,46.0937
2020-04-28,44.5285
2020-04-29,46.1161
2020-04-30,47.2572
2020-05-01,47.0943
2020-05-02,47.0943
2020-05-03,47.0943
2020-05-04,47.8383
2020-05-05,46.3764
2020-05-06,43.7689
2020-05-07,45.0091
2020-05-08,44.794
2020-05-09,44.794
2020-05-10,44.794
2020-05-11,44.998
2020-05-12,44.4318
2020-05-13,40.8189
2020-05-14,40.568
2020-05-15,41.388
2020-05-16,41.388
2020-05-17,41.388
2020-05-18,41.7658
2020-05-19,39.6506
2020-05-20,42.5118
2020-05-21,41.5991
2020-05-22,43.2308
2020-05-23,43.2308
2020-05-24,43.2308
2020-05-25,43.2308
2020-05-26,45.3143
2020-05-27,47.3809
2020-05-28,43.4201
2020-05-29,52.5624
2020-05-30,52.5624
2020-05-31,52.5624
2020-06-01,58.9034
2020-06-02,57.9573
2020-06-03,56.1995
2020-06-04,53.2744
2020-06-05,55.088
2020-06-06,55.088
2020-06-07,55.088
2020-06-08,55.8063
2020-06-09,53.9173
2020-06-10,52.9896
2020-06-11,49.195
2020-06-12,50.3272
2020-06-13,50.3272
2020-06-14,50.3272
2020-06-15,50.9398
2020-06-16,50.8401
2020-06-17,51.5277
2020-06-18,52.8911
2020-06-19,54.4072
2020-06-20,54.4072
2020-06-21,54.4072
2020-06-22,55.0156
2020-06-23,52.4003
2020-06-24,49.3536
2020-06-25,48.7571
2020-06-26,46.5736
2020-06-27,46.5736
2020-06-28,46.5736
2020-06-29,47.3861
2020-06-30,47.5511
2020-07-01,49.3057
2020-07-02,48.8828
2020-07-03,48.8828
2020-07-04,48.8828
2020-07-05,48.8828
2020-07-06,49.6644
2020-07-07,48.4598
2020-07-08,49.7213
2020-07-09,49.4935
2020-07-10,49.791
