,LH US Equity
,RSI_30D
2020-01-01,51.3437
2020-01-02,49.0693
2020-01-03,48.739
2020-01-04,48.739
2020-01-05,48.739
2020-01-06,51.6869
2020-01-07,51.3244
2020-01-08,56.9468
2020-01-09,58.0917
2020-01-10,60.7838
2020-01-11,60.7838
2020-01-12,60.7838
2020-01-13,62.3217
2020-01-14,63.3815
2020-01-15,60.1503
2020-01-16,59.4391
2020-01-17,58.3612
2020-01-18,58.3612
2020-01-19,58.3612
2020-01-20,58.3612
2020-01-21,60.964
2020-01-22,60.8592
2020-01-23,61.0668
2020-01-24,57.1964
2020-01-25,57.1964
2020-01-26,57.1964
2020-01-27,57.5297
2020-01-28,60.6862
2020-01-29,59.7935
2020-01-30,58.4012
2020-01-31,53.4186
2020-02-01,53.4186
2020-02-02,53.4186
2020-02-03,56.7532
2020-02-04,60.3793
2020-02-05,61.9012
2020-02-06,61.309
2020-02-07,59.2434
2020-02-08,59.2434
2020-02-09,59.2434
2020-02-10,60.349
2020-02-11,62.5123
2020-02-12,63.6312
2020-02-13,68.6579
2020-02-14,68.9956
2020-02-15,68.9956
2020-02-16,68.9956
2020-02-17,68.9956
2020-02-18,63.4179
2020-02-19,62.1719
2020-02-20,60.8752
2020-02-21,61.4475
2020-02-22,61.4475
2020-02-23,61.4475
2020-02-24,59.0526
2020-02-25,55.6584
2020-02-26,54.6851
2020-02-27,53.6087
2020-02-28,47.0622
2020-02-29,47.0622
2020-03-01,47.0622
2020-03-02,56.7729
2020-03-03,51.2844
2020-03-04,57.5377
2020-03-05,54.552
2020-03-06,49.8848
2020-03-07,49.8848
2020-03-08,49.8848
2020-03-09,47.793
2020-03-10,44.8984
2020-03-11,39.5063
2020-03-12,32.0079
2020-03-13,39.5915
2020-03-14,39.5915
2020-03-15,39.5915
2020-03-16,31.9878
2020-03-17,33.1378
2020-03-18,29.7011
2020-03-19,32.6279
2020-03-20,31.1815
2020-03-21,31.1815
2020-03-22,31.1815
2020-03-23,30.6175
2020-03-24,36.1224
2020-03-25,38.0321
2020-03-26,42.9995
2020-03-27,41.0065
2020-03-28,41.0065
2020-03-29,41.0065
2020-03-30,42.0853
2020-03-31,40.7621
2020-04-01,38.4625
2020-04-02,38.4274
2020-04-03,37.8247
2020-04-04,37.8247
2020-04-05,37.8247
2020-04-06,42.3622
2020-04-07,44.6095
2020-04-08,46.9527
2020-04-09,48.5983
2020-04-10,48.5983
2020-04-11,48.5983
2020-04-12,48.5983
2020-04-13,46.9037
2020-04-14,48.1496
2020-04-15,47.2813
2020-04-16,46.482
2020-04-17,49.4744
2020-04-18,49.4744
2020-04-19,49.4744
2020-04-20,48.6546
2020-04-21,49.4203
2020-04-22,51.1645
2020-04-23,52.7345
2020-04-24,53.8563
2020-04-25,53.8563
2020-04-26,53.8563
2020-04-27,57.6486
2020-04-28,56.8211
2020-04-29,56.0059
2020-04-30,53.1346
2020-05-01,51.4953
2020-05-02,51.4953
2020-05-03,51.4953
2020-05-04,51.0802
2020-05-05,52.5427
2020-05-06,51.4049
2020-05-07,51.7249
2020-05-08,53.7884
2020-05-09,53.7884
2020-05-10,53.7884
2020-05-11,54.2484
2020-05-12,52.3918
2020-05-13,50.883
2020-05-14,52.4285
2020-05-15,53.5287
2020-05-16,53.5287
2020-05-17,53.5287
2020-05-18,53.4106
2020-05-19,53.382
2020-05-20,54.4902
2020-05-21,55.0571
2020-05-22,54.2188
2020-05-23,54.2188
2020-05-24,54.2188
2020-05-25,54.2188
2020-05-26,53.5973
2020-05-27,55.6763
2020-05-28,55.9361
2020-05-29,55.7923
2020-05-30,55.7923
2020-05-31,55.7923
2020-06-01,56.3723
2020-06-02,57.3261
2020-06-03,57.0359
2020-06-04,57.5476
2020-06-05,57.1108
2020-06-06,57.1108
2020-06-07,57.1108
2020-06-08,58.0978
2020-06-09,56.3586
2020-06-10,54.5066
2020-06-11,49.4504
2020-06-12,51.147
2020-06-13,51.147
2020-06-14,51.147
2020-06-15,52.2496
2020-06-16,53.5032
2020-06-17,51.9645
2020-06-18,51.1856
2020-06-19,48.6249
2020-06-20,48.6249
2020-06-21,48.6249
2020-06-22,49.8
2020-06-23,48.6162
2020-06-24,46.5222
2020-06-25,48.3997
2020-06-26,48.6817
2020-06-27,48.6817
2020-06-28,48.6817
2020-06-29,48.7134
2020-06-30,50.5557
2020-07-01,50.9666
2020-07-02,52.4074
2020-07-03,52.4074
2020-07-04,52.4074
2020-07-05,52.4074
2020-07-06,53.4213
2020-07-07,53.6546
2020-07-08,54.2539
2020-07-09,53.5377
2020-07-10,53.2987
2020-07-11,53.2987
2020-07-12,53.2987
2020-07-13,55.8825
2020-07-14,59.8297
2020-07-15,60.1798
2020-07-16,60.8393
2020-07-17,62.0629
2020-07-18,62.0629
2020-07-19,62.0629
2020-07-20,62.7515
2020-07-21,63.2529
2020-07-22,64.4658
2020-07-23,63.5933
2020-07-24,63.5797
2020-07-25,63.5797
2020-07-26,63.5797
2020-07-27,64.582
2020-07-28,61.3351
2020-07-29,60.0684
2020-07-30,60.1698
2020-07-31,58.8785
2020-08-01,58.8785
2020-08-02,58.8785
2020-08-03,60.3015
2020-08-04,59.4435
2020-08-05,58.5812
2020-08-06,56.0575
2020-08-07,57.7351
2020-08-08,57.7351
2020-08-09,57.7351
2020-08-10,54.0716
2020-08-11,53.3082
2020-08-12,54.3587
2020-08-13,55.6631
2020-08-14,55.1718
2020-08-15,55.1718
2020-08-16,55.1718
2020-08-17,53.8092
2020-08-18,53.002
2020-08-19,50.5897
2020-08-20,49.9539
2020-08-21,49.2943
2020-08-22,49.2943
2020-08-23,49.2943
2020-08-24,48.329
2020-08-25,48.6644
2020-08-26,48.4821
2020-08-27,45.3259
2020-08-28,47.5384
2020-08-29,47.5384
2020-08-30,47.5384
2020-08-31,46.5123
2020-09-01,45.5084
2020-09-02,47.5163
2020-09-03,46.1394
2020-09-04,46.8634
2020-09-05,46.8634
2020-09-06,46.8634
2020-09-07,46.8634
2020-09-08,45.6014
2020-09-09,47.0758
2020-09-10,51.1184
2020-09-11,51.036
2020-09-12,51.036
2020-09-13,51.036
2020-09-14,52.1405
2020-09-15,53.9469
2020-09-16,53.4902
2020-09-17,51.8167
2020-09-18,52.0512
2020-09-19,52.0512
2020-09-20,52.0512
2020-09-21,52.7026
2020-09-22,53.1065
2020-09-23,48.4372
2020-09-24,47.8563
2020-09-25,50.1938
2020-09-26,50.1938
2020-09-27,50.1938
2020-09-28,52.3607
2020-09-29,53.9748
2020-09-30,55.1537
2020-10-01,54.0712
2020-10-02,54.8
2020-10-03,54.8
2020-10-04,54.8
2020-10-05,58.034
2020-10-06,56.4276
2020-10-07,57.3053
2020-10-08,58.3892
2020-10-09,59.3052
2020-10-10,59.3052
2020-10-11,59.3052
2020-10-12,57.4644
2020-10-13,57.8492
2020-10-14,56.63
2020-10-15,56.514
2020-10-16,60.5951
2020-10-17,60.5951
2020-10-18,60.5951
2020-10-19,61.083
2020-10-20,64.0585
2020-10-21,62.1569
2020-10-22,63.311
2020-10-23,64.5004
2020-10-24,64.5004
2020-10-25,64.5004
2020-10-26,59.5484
2020-10-27,62.0194
2020-10-28,59.9375
2020-10-29,56.4128
2020-10-30,56.5603
2020-10-31,56.5603
2020-11-01,56.5603
2020-11-02,60.668
2020-11-03,62.2804
2020-11-04,62.8697
2020-11-05,64.1565
2020-11-06,63.7433
2020-11-07,63.7433
2020-11-08,63.7433
2020-11-09,52.7185
2020-11-10,54.1118
2020-11-11,55.3326
2020-11-12,54.0859
2020-11-13,52.86
2020-11-14,52.86
2020-11-15,52.86
2020-11-16,55.4879
2020-11-17,55.6286
2020-11-18,52.0126
2020-11-19,51.8547
2020-11-20,54.053
2020-11-21,54.053
2020-11-22,54.053
2020-11-23,51.3809
2020-11-24,51.6023
2020-11-25,50.2075
2020-11-26,50.2075
2020-11-27,52.262
2020-11-28,52.262
2020-11-29,52.262
2020-11-30,52.1614
2020-12-01,53.1071
2020-12-02,51.4068
2020-12-03,50.0159
2020-12-04,51.3829
2020-12-05,51.3829
2020-12-06,51.3829
2020-12-07,50.4021
2020-12-08,53.2961
2020-12-09,53.4552
2020-12-10,56.4228
2020-12-11,54.079
2020-12-12,54.079
2020-12-13,54.079
2020-12-14,54.0452
2020-12-15,55.0124
2020-12-16,52.4006
2020-12-17,52.8395
2020-12-18,54.3044
2020-12-19,54.3044
2020-12-20,54.3044
2020-12-21,54.1677
2020-12-22,53.0555
2020-12-23,53.4881
2020-12-24,53.3439
2020-12-25,53.3439
2020-12-26,53.3439
2020-12-27,53.3439
2020-12-28,52.3072
2020-12-29,52.0592
2020-12-30,51.5142
2020-12-31,53.0184
2021-01-01,53.0184
2021-01-02,53.0184
2021-01-03,53.0184
2021-01-04,53.9813
2021-01-05,56.6748
2021-01-06,61.6574
2021-01-07,62.2688
2021-01-08,58.2722
2021-01-09,58.2722
2021-01-10,58.2722
2021-01-11,60.1958
2021-01-12,61.8819
2021-01-13,61.7635
2021-01-14,61.839
2021-01-15,63.699
2021-01-16,63.699
2021-01-17,63.699
2021-01-18,63.699
2021-01-19,64.7275
2021-01-20,66.7307
2021-01-21,65.3858
2021-01-22,65.6068
2021-01-23,65.6068
2021-01-24,65.6068
2021-01-25,62.4357
2021-01-26,59.4544
2021-01-27,53.9549
2021-01-28,56.8282
2021-01-29,61.3923
2021-01-30,61.3923
2021-01-31,61.3923
2021-02-01,63.7811
2021-02-02,63.0329
2021-02-03,59.2276
2021-02-04,56.4778
2021-02-05,57.811
2021-02-06,57.811
2021-02-07,57.811
2021-02-08,57.4299
2021-02-09,57.8315
2021-02-10,59.0261
2021-02-11,62.6491
2021-02-12,63.0916
2021-02-13,63.0916
2021-02-14,63.0916
2021-02-15,63.0916
2021-02-16,61.7297
2021-02-17,64.4904
2021-02-18,64.3954
2021-02-19,65.8209
2021-02-20,65.8209
2021-02-21,65.8209
2021-02-22,63.9462
2021-02-23,65.2817
2021-02-24,63.3271
2021-02-25,57.9307
2021-02-26,59.4468
2021-02-27,59.4468
2021-02-28,59.4468
2021-03-01,60.1457
2021-03-02,61.0839
2021-03-03,58.6077
2021-03-04,55.4768
2021-03-05,56.8542
2021-03-06,56.8542
2021-03-07,56.8542
2021-03-08,58.1341
2021-03-09,57.2775
2021-03-10,53.3051
2021-03-11,55.561
2021-03-12,56.2262
2021-03-13,56.2262
2021-03-14,56.2262
2021-03-15,56.801
2021-03-16,56.0521
2021-03-17,56.0671
2021-03-18,56.6631
2021-03-19,56.8133
2021-03-20,56.8133
2021-03-21,56.8133
2021-03-22,58.2982
2021-03-23,55.3453
2021-03-24,60.8699
2021-03-25,59.5986
2021-03-26,61.4736
2021-03-27,61.4736
2021-03-28,61.4736
2021-03-29,60.6277
2021-03-30,61.4741
2021-03-31,62.1146
2021-04-01,60.4879
2021-04-02,60.4879
2021-04-03,60.4879
2021-04-04,60.4879
2021-04-05,60.4668
2021-04-06,59.8907
2021-04-07,60.102
2021-04-08,59.8894
2021-04-09,61.2712
2021-04-10,61.2712
2021-04-11,61.2712
2021-04-12,61.7258
2021-04-13,60.4275
2021-04-14,59.6774
2021-04-15,62.8996
2021-04-16,64.2118
2021-04-17,64.2118
2021-04-18,64.2118
2021-04-19,62.8195
2021-04-20,62.3971
2021-04-21,63.0819
2021-04-22,64.7843
2021-04-23,63.997
2021-04-24,63.997
2021-04-25,63.997
2021-04-26,64.3456
2021-04-27,63.8976
2021-04-28,62.564
2021-04-29,64.8117
2021-04-30,63.7684
2021-05-01,63.7684
2021-05-02,63.7684
2021-05-03,64.5315
2021-05-04,67.5575
2021-05-05,68.7192
2021-05-06,69.5219
2021-05-07,69.5478
2021-05-08,69.5478
2021-05-09,69.5478
2021-05-10,68.4827
2021-05-11,67.494
2021-05-12,63.4431
2021-05-13,65.8044
2021-05-14,63.9075
2021-05-15,63.9075
2021-05-16,63.9075
2021-05-17,57.9244
2021-05-18,57.6906
2021-05-19,57.6965
2021-05-20,59.2057
2021-05-21,58.6999
2021-05-22,58.6999
2021-05-23,58.6999
2021-05-24,60.0303
2021-05-25,61.8206
2021-05-26,62.2061
2021-05-27,62.3577
2021-05-28,61.4694
2021-05-29,61.4694
2021-05-30,61.4694
2021-05-31,61.4694
2021-06-01,52.6112
2021-06-02,52.451
2021-06-03,53.5548
2021-06-04,54.3277
2021-06-05,54.3277
2021-06-06,54.3277
2021-06-07,52.5567
2021-06-08,49.8758
2021-06-09,49.0114
2021-06-10,50.3397
2021-06-11,48.5705
2021-06-12,48.5705
2021-06-13,48.5705
2021-06-14,49.5253
2021-06-15,49.9757
2021-06-16,48.9663
2021-06-17,49.8192
2021-06-18,49.8271
2021-06-19,49.8271
2021-06-20,49.8271
2021-06-21,53.7289
2021-06-22,55.1265
2021-06-23,52.2781
2021-06-24,53.1017
2021-06-25,54.6979
2021-06-26,54.6979
2021-06-27,54.6979
2021-06-28,56.6126
2021-06-29,60.2714
2021-06-30,60.139
2021-07-01,61.3915
2021-07-02,61.3542
2021-07-03,61.3542
2021-07-04,61.3542
2021-07-05,61.3542
2021-07-06,61.7268
2021-07-07,63.3202
2021-07-08,59.3978
2021-07-09,61.7093
2021-07-10,61.7093
2021-07-11,61.7093
2021-07-12,61.962
2021-07-13,60.3147
2021-07-14,58.0732
2021-07-15,57.8123
2021-07-16,57.3526
2021-07-17,57.3526
2021-07-18,57.3526
2021-07-19,55.855
2021-07-20,57.2438
2021-07-21,57.742
2021-07-22,60.1823
2021-07-23,61.8672
2021-07-24,61.8672
2021-07-25,61.8672
2021-07-26,59.2726
2021-07-27,60.5731
2021-07-28,60.6116
2021-07-29,66.9807
2021-07-30,67.6829
2021-07-31,67.6829
2021-08-01,67.6829
2021-08-02,68.3649
2021-08-03,69.4917
2021-08-04,69.4917
2021-08-05,68.2593
2021-08-06,67.5601
2021-08-07,67.5601
2021-08-08,67.5601
2021-08-09,69.0033
2021-08-10,69.2473
2021-08-11,67.4243
2021-08-12,67.7051
2021-08-13,68.5104
2021-08-14,68.5104
2021-08-15,68.5104
2021-08-16,70.6429
2021-08-17,69.6623
2021-08-18,64.2748
2021-08-19,65.5539
2021-08-20,67.3644
2021-08-21,67.3644
2021-08-22,67.3644
2021-08-23,64.7903
2021-08-24,63.2223
2021-08-25,64.4193
2021-08-26,61.871
2021-08-27,60.8205
2021-08-28,60.8205
2021-08-29,60.8205
2021-08-30,62.403
2021-08-31,62.5207
2021-09-01,63.4618
2021-09-02,65.3684
2021-09-03,63.6455
2021-09-04,63.6455
2021-09-05,63.6455
2021-09-06,63.6455
2021-09-07,60.5303
2021-09-08,62.6693
2021-09-09,59.0817
2021-09-10,57.1681
2021-09-11,57.1681
2021-09-12,57.1681
2021-09-13,54.2953
2021-09-14,53.7667
2021-09-15,55.7259
2021-09-16,53.4088
2021-09-17,52.698
2021-09-18,52.698
2021-09-19,52.698
2021-09-20,51.1184
2021-09-21,51.3053
2021-09-22,49.2036
2021-09-23,53.0909
2021-09-24,52.798
2021-09-25,52.798
2021-09-26,52.798
2021-09-27,48.5724
2021-09-28,43.6281
2021-09-29,46.4754
2021-09-30,43.302
2021-10-01,42.2331
2021-10-02,42.2331
2021-10-03,42.2331
2021-10-04,39.9236
2021-10-05,40.7241
2021-10-06,40.3619
2021-10-07,43.3027
2021-10-08,42.7644
2021-10-09,42.7644
2021-10-10,42.7644
2021-10-11,40.5275
2021-10-12,40.4001
2021-10-13,40.123
2021-10-14,41.9329
2021-10-15,39.6576
2021-10-16,39.6576
2021-10-17,39.6576
2021-10-18,41.7959
2021-10-19,43.1592
2021-10-20,45.1162
2021-10-21,45.9853
2021-10-22,47.6988
2021-10-23,47.6988
2021-10-24,47.6988
2021-10-25,46.9871
2021-10-26,48.8088
2021-10-27,46.7594
2021-10-28,50.1055
2021-10-29,51.3011
2021-10-30,51.3011
2021-10-31,51.3011
2021-11-01,52.4599
2021-11-02,50.6602
2021-11-03,51.5072
2021-11-04,49.2341
2021-11-05,43.4915
2021-11-06,43.4915
2021-11-07,43.4915
2021-11-08,47.3882
2021-11-09,45.1233
2021-11-10,49.5979
2021-11-11,51.3106
2021-11-12,56.5149
2021-11-13,56.5149
2021-11-14,56.5149
2021-11-15,50.1309
2021-11-16,51.5833
2021-11-17,52.2231
2021-11-18,51.0732
2021-11-19,48.9957
2021-11-20,48.9957
2021-11-21,48.9957
2021-11-22,49.2211
2021-11-23,50.331
2021-11-24,49.203
2021-11-25,49.203
2021-11-26,52.0438
2021-11-27,52.0438
2021-11-28,52.0438
2021-11-29,53.3143
2021-11-30,49.8762
2021-12-01,49.937
2021-12-02,52.8097
2021-12-03,52.3029
2021-12-04,52.3029
2021-12-05,52.3029
2021-12-06,51.7299
2021-12-07,55.0239
2021-12-08,55.3551
2021-12-09,47.8331
2021-12-10,50.8199
2021-12-11,50.8199
2021-12-12,50.8199
2021-12-13,52.5913
2021-12-14,53.5402
2021-12-15,58.3912
2021-12-16,59.4323
2021-12-17,58.3092
2021-12-18,58.3092
2021-12-19,58.3092
2021-12-20,58.8515
2021-12-21,55.4369
2021-12-22,56.0672
2021-12-23,54.9283
2021-12-24,54.9283
2021-12-25,54.9283
2021-12-26,54.9283
2021-12-27,56.8515
2021-12-28,56.9253
2021-12-29,57.5842
2021-12-30,59.3819
2021-12-31,59.7109
2022-01-01,59.7109
2022-01-02,59.7109
2022-01-03,51.7238
2022-01-04,48.3943
2022-01-05,46.9659
2022-01-06,47.8323
2022-01-07,46.5296
2022-01-08,46.5296
2022-01-09,46.5296
2022-01-10,49.2952
2022-01-11,49.4316
2022-01-12,45.7894
2022-01-13,43.9654
2022-01-14,43.345
2022-01-15,43.345
2022-01-16,43.345
2022-01-17,43.345
2022-01-18,41.8272
2022-01-19,41.9446
2022-01-20,41.5292
2022-01-21,41.8915
2022-01-22,41.8915
2022-01-23,41.8915
2022-01-24,42.1986
2022-01-25,40.6288
2022-01-26,40.1576
2022-01-27,39.7494
2022-01-28,42.2194
2022-01-29,42.2194
2022-01-30,42.2194
2022-01-31,42.9316
2022-02-01,43.8269
2022-02-02,43.9519
2022-02-03,46.6603
2022-02-04,46.3973
2022-02-05,46.3973
2022-02-06,46.3973
2022-02-07,45.004
2022-02-08,47.0489
2022-02-09,48.9216
2022-02-10,49.2116
2022-02-11,46.2299
2022-02-12,46.2299
2022-02-13,46.2299
2022-02-14,44.5443
2022-02-15,41.0578
2022-02-16,43.8769
2022-02-17,40.7704
2022-02-18,42.173
2022-02-19,42.173
2022-02-20,42.173
2022-02-21,42.173
2022-02-22,43.2898
2022-02-23,44.3528
2022-02-24,46.0759
2022-02-25,48.5847
2022-02-26,48.5847
2022-02-27,48.5847
2022-02-28,46.1599
2022-03-01,45.1995
2022-03-02,45.9315
2022-03-03,45.9368
2022-03-04,45.3263
2022-03-05,45.3263
2022-03-06,45.3263
2022-03-07,44.2172
2022-03-08,41.1937
2022-03-09,44.4859
2022-03-10,44.8105
2022-03-11,44.4777
2022-03-12,44.4777
2022-03-13,44.4777
2022-03-14,44.5768
2022-03-15,47.901
2022-03-16,49.2371
2022-03-17,49.4042
2022-03-18,49.8996
2022-03-19,49.8996
2022-03-20,49.8996
2022-03-21,50.693
2022-03-22,51.1297
2022-03-23,47.8947
2022-03-24,47.7588
2022-03-25,49.2602
2022-03-26,49.2602
2022-03-27,49.2602
2022-03-28,50.6913
2022-03-29,50.8835
2022-03-30,46.481
2022-03-31,43.7809
2022-04-01,43.5408
2022-04-02,43.5408
2022-04-03,43.5408
2022-04-04,43.6452
2022-04-05,44.2583
2022-04-06,44.6846
2022-04-07,49.1599
2022-04-08,51.9481
2022-04-09,51.9481
2022-04-10,51.9481
2022-04-11,49.4486
2022-04-12,47.3999
2022-04-13,47.5613
2022-04-14,47.629
2022-04-15,47.629
2022-04-16,47.629
2022-04-17,47.629
2022-04-18,46.5436
2022-04-19,49.058
2022-04-20,52.8951
2022-04-21,51.9508
2022-04-22,47.5949
2022-04-23,47.5949
2022-04-24,47.5949
2022-04-25,45.3597
2022-04-26,39.3142
2022-04-27,41.0174
2022-04-28,36.5355
2022-04-29,36.4091
2022-04-30,36.4091
2022-05-01,36.4091
2022-05-02,38.0023
2022-05-03,39.3271
2022-05-04,43.8544
2022-05-05,43.1595
2022-05-06,42.9743
2022-05-07,42.9743
2022-05-08,42.9743
2022-05-09,39.1137
2022-05-10,38.8947
2022-05-11,38.1635
2022-05-12,41.5196
2022-05-13,41.5119
2022-05-14,41.5119
2022-05-15,41.5119
2022-05-16,40.6381
2022-05-17,43.583
2022-05-18,41.7503
2022-05-19,43.872
2022-05-20,44.9764
2022-05-21,44.9764
2022-05-22,44.9764
2022-05-23,45.4737
2022-05-24,45.3176
2022-05-25,44.5269
2022-05-26,46.0569
2022-05-27,50.0572
2022-05-28,50.0572
2022-05-29,50.0572
2022-05-30,50.0572
2022-05-31,45.0642
2022-06-01,44.6755
2022-06-02,46.2121
2022-06-03,44.0508
2022-06-04,44.0508
2022-06-05,44.0508
2022-06-06,43.3691
2022-06-07,45.2126
2022-06-08,41.9411
2022-06-09,39.2084
2022-06-10,37.467
2022-06-11,37.467
2022-06-12,37.467
2022-06-13,34.9735
2022-06-14,34.2145
2022-06-15,36.9792
2022-06-16,36.7225
2022-06-17,40.904
2022-06-18,40.904
2022-06-19,40.904
2022-06-20,40.904
2022-06-21,42.5185
2022-06-22,44.283
2022-06-23,47.1522
2022-06-24,48.4223
2022-06-25,48.4223
2022-06-26,48.4223
2022-06-27,47.9158
2022-06-28,45.7949
2022-06-29,47.6065
2022-06-30,45.4145
2022-07-01,48.2882
2022-07-02,48.2882
2022-07-03,48.2882
2022-07-04,48.2882
2022-07-05,47.9114
2022-07-06,49.5777
2022-07-07,49.7956
2022-07-08,49.6
2022-07-09,49.6
2022-07-10,49.6
2022-07-11,49.0202
2022-07-12,47.8195
2022-07-13,48.0035
2022-07-14,48.0435
2022-07-15,50.0943
2022-07-16,50.0943
2022-07-17,50.0943
2022-07-18,48.3628
2022-07-19,50.8144
2022-07-20,50.4909
2022-07-21,52.304
2022-07-22,50.9119
2022-07-23,50.9119
2022-07-24,50.9119
2022-07-25,51.1807
2022-07-26,51.1958
2022-07-27,52.4865
2022-07-28,53.925
2022-07-29,58.3251
2022-07-30,58.3251
2022-07-31,58.3251
2022-08-01,55.9313
2022-08-02,53.0432
2022-08-03,53.1763
