,ST US Equity
,RSI_30D
2020-01-01,59.7115
2020-01-02,60.8282
2020-01-03,58.1503
2020-01-04,58.1503
2020-01-05,58.1503
2020-01-06,55.4352
2020-01-07,53.7059
2020-01-08,52.9859
2020-01-09,52.621
2020-01-10,48.2788
2020-01-11,48.2788
2020-01-12,48.2788
2020-01-13,50.6162
2020-01-14,53.0464
2020-01-15,50.9143
2020-01-16,53.4567
2020-01-17,53.0326
2020-01-18,53.0326
2020-01-19,53.0326
2020-01-20,53.0326
2020-01-21,51.5929
2020-01-22,49.6649
2020-01-23,47.7031
2020-01-24,43.7683
2020-01-25,43.7683
2020-01-26,43.7683
2020-01-27,38.669
2020-01-28,40.8496
2020-01-29,39.9731
2020-01-30,39.5764
2020-01-31,35.8914
2020-02-01,35.8914
2020-02-02,35.8914
2020-02-03,36.503
2020-02-04,40.9566
2020-02-05,42.8554
2020-02-06,40.5953
2020-02-07,38.9623
2020-02-08,38.9623
2020-02-09,38.9623
2020-02-10,40.2644
2020-02-11,45.9077
2020-02-12,47.1655
2020-02-13,45.7746
2020-02-14,44.557
2020-02-15,44.557
2020-02-16,44.557
2020-02-17,44.557
2020-02-18,41.0379
2020-02-19,44.5538
2020-02-20,43.9542
2020-02-21,41.2102
2020-02-22,41.2102
2020-02-23,41.2102
2020-02-24,37.7321
2020-02-25,34.5434
2020-02-26,32.9304
2020-02-27,29.6364
2020-02-28,29.423
2020-02-29,29.423
2020-03-01,29.423
2020-03-02,30.764
2020-03-03,28.9271
2020-03-04,32.3117
2020-03-05,28.7315
2020-03-06,28.3164
2020-03-07,28.3164
2020-03-08,28.3164
2020-03-09,24.3843
2020-03-10,33.648
2020-03-11,31.5451
2020-03-12,28.5529
2020-03-13,31.1632
2020-03-14,31.1632
2020-03-15,31.1632
2020-03-16,25.6944
2020-03-17,24.2283
2020-03-18,22.5837
2020-03-19,27.8602
2020-03-20,27.8175
2020-03-21,27.8175
2020-03-22,27.8175
2020-03-23,27.2545
2020-03-24,31.6915
2020-03-25,35.8245
2020-03-26,38.7872
2020-03-27,36.3172
2020-03-28,36.3172
2020-03-29,36.3172
2020-03-30,36.7157
2020-03-31,36.3268
2020-04-01,35.2664
2020-04-02,35.7106
2020-04-03,35.5889
2020-04-04,35.5889
2020-04-05,35.5889
2020-04-06,41.2431
2020-04-07,42.0291
2020-04-08,42.9379
2020-04-09,45.4053
2020-04-10,45.4053
2020-04-11,45.4053
2020-04-12,45.4053
2020-04-13,43.9146
2020-04-14,44.3977
2020-04-15,42.1015
2020-04-16,41.1745
2020-04-17,44.5195
2020-04-18,44.5195
2020-04-19,44.5195
2020-04-20,44.0816
2020-04-21,43.3388
2020-04-22,44.19
2020-04-23,45.6089
2020-04-24,47.6169
2020-04-25,47.6169
2020-04-26,47.6169
2020-04-27,50.3175
2020-04-28,51.0537
2020-04-29,52.689
2020-04-30,50.0259
2020-05-01,47.1112
2020-05-02,47.1112
2020-05-03,47.1112
2020-05-04,46.0429
2020-05-05,47.5834
2020-05-06,47.4676
2020-05-07,49.4467
2020-05-08,50.8956
2020-05-09,50.8956
2020-05-10,50.8956
2020-05-11,49.7544
2020-05-12,48.0028
2020-05-13,45.9778
2020-05-14,46.1885
2020-05-15,46.3432
2020-05-16,46.3432
2020-05-17,46.3432
2020-05-18,50.3444
2020-05-19,50.3158
2020-05-20,51.4587
2020-05-21,49.3732
2020-05-22,48.797
2020-05-23,48.797
2020-05-24,48.797
2020-05-25,48.797
2020-05-26,50.873
2020-05-27,52.9993
2020-05-28,51.3695
2020-05-29,49.6855
2020-05-30,49.6855
2020-05-31,49.6855
2020-06-01,51.3078
2020-06-02,52.5651
2020-06-03,55.8882
2020-06-04,54.5033
2020-06-05,57.4529
2020-06-06,57.4529
2020-06-07,57.4529
2020-06-08,58.9788
2020-06-09,57.1322
2020-06-10,54.1578
2020-06-11,49.2848
2020-06-12,50.2548
2020-06-13,50.2548
2020-06-14,50.2548
2020-06-15,50.928
2020-06-16,51.3861
2020-06-17,50.6042
2020-06-18,50.2371
2020-06-19,50.1647
2020-06-20,50.1647
2020-06-21,50.1647
2020-06-22,50.4895
2020-06-23,50.5198
2020-06-24,47.326
2020-06-25,47.6315
2020-06-26,48.2525
2020-06-27,48.2525
2020-06-28,48.2525
2020-06-29,49.6344
2020-06-30,50.6607
2020-07-01,48.4124
2020-07-02,49.1736
2020-07-03,49.1736
2020-07-04,49.1736
2020-07-05,49.1736
2020-07-06,50.3919
2020-07-07,48.8373
2020-07-08,48.7391
2020-07-09,48.8986
2020-07-10,49.6548
2020-07-11,49.6548
2020-07-12,49.6548
2020-07-13,51.4426
2020-07-14,53.0147
2020-07-15,56.263
2020-07-16,55.4658
2020-07-17,56.0006
2020-07-18,56.0006
2020-07-19,56.0006
2020-07-20,55.6751
2020-07-21,55.9894
2020-07-22,56.2763
2020-07-23,57.2432
2020-07-24,55.5273
2020-07-25,55.5273
2020-07-26,55.5273
