,BOH US Equity
,RSI_30D
2020-01-01,73.3622
2020-01-02,68.9819
2020-01-03,68.7133
2020-01-04,68.7133
2020-01-05,68.7133
2020-01-06,63.0728
2020-01-07,63.3531
2020-01-08,64.0865
2020-01-09,65.4879
2020-01-10,61.4964
2020-01-11,61.4964
2020-01-12,61.4964
2020-01-13,63.0314
2020-01-14,62.7439
2020-01-15,58.8558
2020-01-16,62.0689
2020-01-17,62.3974
2020-01-18,62.3974
2020-01-19,62.3974
2020-01-20,62.3974
2020-01-21,57.268
2020-01-22,56.5467
2020-01-23,57.0749
2020-01-24,53.1803
2020-01-25,53.1803
2020-01-26,53.1803
2020-01-27,51.2086
2020-01-28,55.3909
2020-01-29,49.475
2020-01-30,51.0842
2020-01-31,45.7896
2020-02-01,45.7896
2020-02-02,45.7896
2020-02-03,49.3242
2020-02-04,51.2796
2020-02-05,53.2495
2020-02-06,49.5923
2020-02-07,47.1427
2020-02-08,47.1427
2020-02-09,47.1427
2020-02-10,48.5902
2020-02-11,48.7783
2020-02-12,49.1358
2020-02-13,51.4548
2020-02-14,49.71
2020-02-15,49.71
2020-02-16,49.71
2020-02-17,49.71
2020-02-18,46.6904
2020-02-19,47.2522
2020-02-20,49.8752
2020-02-21,46.3023
2020-02-22,46.3023
2020-02-23,46.3023
2020-02-24,39.0989
2020-02-25,32.9513
2020-02-26,31.6251
2020-02-27,28.7485
2020-02-28,25.8575
2020-02-29,25.8575
2020-03-01,25.8575
2020-03-02,33.9327
2020-03-03,32.075
2020-03-04,32.4305
2020-03-05,28.9376
2020-03-06,27.2325
2020-03-07,27.2325
2020-03-08,27.2325
2020-03-09,22.1539
2020-03-10,28.3015
2020-03-11,25.9439
2020-03-12,23.8616
2020-03-13,33.6917
2020-03-14,33.6917
2020-03-15,33.6917
2020-03-16,30.0384
2020-03-17,38.5676
2020-03-18,37.1231
2020-03-19,34.011
2020-03-20,31.9562
2020-03-21,31.9562
2020-03-22,31.9562
2020-03-23,29.1979
2020-03-24,33.2071
2020-03-25,33.1195
2020-03-26,37.3343
2020-03-27,35.728
2020-03-28,35.728
2020-03-29,35.728
2020-03-30,36.5913
2020-03-31,37.485
2020-04-01,36.3171
2020-04-02,38.8717
2020-04-03,38.0058
2020-04-04,38.0058
2020-04-05,38.0058
2020-04-06,39.5158
2020-04-07,40.0058
2020-04-08,41.9519
2020-04-09,44.8456
2020-04-10,44.8456
2020-04-11,44.8456
2020-04-12,44.8456
2020-04-13,42.5446
2020-04-14,42.4747
2020-04-15,40.6824
2020-04-16,39.7725
2020-04-17,42.7315
2020-04-18,42.7315
2020-04-19,42.7315
2020-04-20,44.1432
2020-04-21,44.425
2020-04-22,43.5721
2020-04-23,45.5585
2020-04-24,46.0025
2020-04-25,46.0025
2020-04-26,46.0025
2020-04-27,49.8275
2020-04-28,50.0589
2020-04-29,52.0194
2020-04-30,50.9398
2020-05-01,48.2589
2020-05-02,48.2589
2020-05-03,48.2589
2020-05-04,47.6351
2020-05-05,46.0306
2020-05-06,45.7489
2020-05-07,45.8409
2020-05-08,47.7411
2020-05-09,47.7411
2020-05-10,47.7411
2020-05-11,46.3252
2020-05-12,44.2465
2020-05-13,42.4311
2020-05-14,44.0096
2020-05-15,43.3201
2020-05-16,43.3201
2020-05-17,43.3201
2020-05-18,47.1768
2020-05-19,45.1512
2020-05-20,47.4376
2020-05-21,48.084
2020-05-22,47.5601
2020-05-23,47.5601
2020-05-24,47.5601
2020-05-25,47.5601
2020-05-26,50.2231
2020-05-27,52.4044
2020-05-28,50.8291
2020-05-29,50.5212
2020-05-30,50.5212
2020-05-31,50.5212
2020-06-01,50.5371
2020-06-02,49.9888
2020-06-03,51.4259
2020-06-04,52.3299
2020-06-05,55.321
2020-06-06,55.321
2020-06-07,55.321
2020-06-08,56.9708
2020-06-09,55.8572
2020-06-10,52.1528
2020-06-11,47.52
2020-06-12,48.5546
2020-06-13,48.5546
2020-06-14,48.5546
2020-06-15,48.9947
2020-06-16,51.2087
2020-06-17,48.6007
2020-06-18,49.2748
2020-06-19,49.1649
2020-06-20,49.1649
2020-06-21,49.1649
2020-06-22,48.9151
2020-06-23,48.0755
