,JPM US Equity
,RSI_30D
2020-01-01,73.5587
2020-01-02,75.3954
2020-01-03,69.8644
2020-01-04,69.8644
2020-01-05,69.8644
2020-01-06,69.5505
2020-01-07,63.2693
2020-01-08,64.7546
2020-01-09,65.4366
2020-01-10,62.0342
2020-01-11,62.0342
2020-01-12,62.0342
2020-01-13,63.647
2020-01-14,65.7765
2020-01-15,60.9731
2020-01-16,61.7102
2020-01-17,63.0057
2020-01-18,63.0057
2020-01-19,63.0057
2020-01-20,63.0057
2020-01-21,59.9993
2020-01-22,59.6529
2020-01-23,59.3428
2020-01-24,52.505
2020-01-25,52.505
2020-01-26,52.505
2020-01-27,50.5157
2020-01-28,54.3498
2020-01-29,53.9892
2020-01-30,56.4692
2020-01-31,50.4833
2020-02-01,50.4833
2020-02-02,50.4833
2020-02-03,51.9897
2020-02-04,54.6997
2020-02-05,57.6613
2020-02-06,57.6862
2020-02-07,56.9247
2020-02-08,56.9247
2020-02-09,56.9247
2020-02-10,57.6735
2020-02-11,58.0178
2020-02-12,58.0178
2020-02-13,57.7856
2020-02-14,56.9602
2020-02-15,56.9602
2020-02-16,56.9602
2020-02-17,56.9602
2020-02-18,53.5326
2020-02-19,56.2979
2020-02-20,56.2979
2020-02-21,53.22
2020-02-22,53.22
2020-02-23,53.22
2020-02-24,47.3961
2020-02-25,40.0647
2020-02-26,40.6761
2020-02-27,35.4831
2020-02-28,31.3505
2020-02-29,31.3505
2020-03-01,31.3505
2020-03-02,38.9195
2020-03-03,35.506
2020-03-04,39.0129
2020-03-05,35.0065
2020-03-06,31.6396
2020-03-07,31.6396
2020-03-08,31.6396
2020-03-09,25.3663
2020-03-10,32.2568
2020-03-11,30.3634
2020-03-12,27.5698
2020-03-13,39.1771
2020-03-14,39.1771
2020-03-15,39.1771
2020-03-16,33.6996
2020-03-17,36.8704
2020-03-18,33.8128
2020-03-19,34.6141
2020-03-20,34.0694
2020-03-21,34.0694
2020-03-22,34.0694
2020-03-23,32.7455
2020-03-24,37.9875
2020-03-25,39.6946
2020-03-26,42.8461
2020-03-27,40.4537
2020-03-28,40.4537
2020-03-29,40.4537
2020-03-30,41.5975
2020-03-31,40.4215
2020-04-01,38.578
2020-04-02,40.1468
2020-04-03,39.2943
2020-04-04,39.2943
2020-04-05,39.2943
2020-04-06,41.9875
2020-04-07,42.5624
2020-04-08,44.3327
2020-04-09,48.1538
2020-04-10,48.1538
2020-04-11,48.1538
2020-04-12,48.1538
2020-04-13,46.3749
2020-04-14,45.3547
2020-04-15,43.6168
2020-04-16,42.3826
2020-04-17,45.9708
2020-04-18,45.9708
2020-04-19,45.9708
2020-04-20,44.6979
2020-04-21,43.7375
2020-04-22,43.8735
2020-04-23,43.8977
2020-04-24,44.5503
2020-04-25,44.5503
2020-04-26,44.5503
2020-04-27,46.4589
2020-04-28,46.7836
2020-04-29,48.0342
2020-04-30,47.0986
2020-05-01,45.9911
2020-05-02,45.9911
2020-05-03,45.9911
2020-05-04,45.5016
2020-05-05,45.4385
2020-05-06,44.647
2020-05-07,45.1837
2020-05-08,46.0416
2020-05-09,46.0416
2020-05-10,46.0416
2020-05-11,44.7152
2020-05-12,43.3247
2020-05-13,41.9477
2020-05-14,44.0863
2020-05-15,43.32
2020-05-16,43.32
2020-05-17,43.32
2020-05-18,46.0449
2020-05-19,45.1662
2020-05-20,46.7376
2020-05-21,46.1411
2020-05-22,45.7764
2020-05-23,45.7764
2020-05-24,45.7764
2020-05-25,45.7764
2020-05-26,49.5209
2020-05-27,52.4875
2020-05-28,51.6335
2020-05-29,50.2063
2020-05-30,50.2063
2020-05-31,50.2063
2020-06-01,50.9163
2020-06-02,51.1008
2020-06-03,53.9957
2020-06-04,55.1129
2020-06-05,57.4711
2020-06-06,57.4711
2020-06-07,57.4711
2020-06-08,58.516
2020-06-09,56.6293
2020-06-10,53.8634
2020-06-11,48.9751
2020-06-12,50.3754
2020-06-13,50.3754
2020-06-14,50.3754
2020-06-15,51.0957
2020-06-16,51.523
2020-06-17,50.0813
2020-06-18,49.7797
2020-06-19,49.1391
2020-06-20,49.1391
2020-06-21,49.1391
2020-06-22,48.5331
2020-06-23,49.2538
2020-06-24,47.3528
2020-06-25,49.392
2020-06-26,46.3686
2020-06-27,46.3686
2020-06-28,46.3686
2020-06-29,46.6267
2020-06-30,47.3048
2020-07-01,46.8402
2020-07-02,47.0439
2020-07-03,47.0439
2020-07-04,47.0439
2020-07-05,47.0439
2020-07-06,48.6324
2020-07-07,46.9633
2020-07-08,47.643
2020-07-09,46.3757
2020-07-10,49.789
2020-07-11,49.789
2020-07-12,49.789
2020-07-13,50.687
2020-07-14,51.0544
2020-07-15,52.0576
2020-07-16,52.2441
2020-07-17,50.8909
2020-07-18,50.8909
2020-07-19,50.8909
2020-07-20,50.2648
2020-07-21,51.7708
2020-07-22,51.2232
2020-07-23,51.4372
2020-07-24,50.8798
2020-07-25,50.8798
2020-07-26,50.8798
2020-07-27,49.7797
2020-07-28,50.1193
2020-07-29,52.0056
2020-07-30,49.8093
2020-07-31,49.5004
2020-08-01,49.5004
2020-08-02,49.5004
2020-08-03,49.0531
2020-08-04,48.5905
2020-08-05,50.0609
2020-08-06,50.0876
2020-08-07,51.9814
2020-08-08,51.9814
2020-08-09,51.9814
2020-08-10,53.066
2020-08-11,55.6798
2020-08-12,54.806
2020-08-13,54.2358
2020-08-14,54.2703
2020-08-15,54.2703
2020-08-16,54.2703
2020-08-17,51.5531
2020-08-18,50.2142
2020-08-19,50.4346
2020-08-20,49.277
2020-08-21,49.2275
2020-08-22,49.2275
2020-08-23,49.2275
2020-08-24,51.9643
2020-08-25,52.3906
2020-08-26,50.8933
2020-08-27,54.0354
2020-08-28,54.424
2020-08-29,54.424
2020-08-30,54.424
2020-08-31,51.6488
2020-09-01,51.5961
2020-09-02,53.0927
2020-09-03,52.7352
2020-09-04,54.8856
2020-09-05,54.8856
2020-09-06,54.8856
2020-09-07,54.8856
2020-09-08,50.9441
2020-09-09,51.8873
2020-09-10,50.7816
2020-09-11,52.0422
2020-09-12,52.0422
2020-09-13,52.0422
2020-09-14,53.4351
2020-09-15,50.0112
2020-09-16,50.4437
2020-09-17,49.2473
2020-09-18,49.0258
2020-09-19,49.0258
2020-09-20,49.0258
2020-09-21,45.9311
2020-09-22,44.9274
2020-09-23,43.4815
2020-09-24,43.4059
2020-09-25,44.4176
2020-09-26,44.4176
2020-09-27,44.4176
2020-09-28,47.6338
