,CVX US Equity
,RSI_30D
2020-01-01,58.3029
2020-01-02,59.7443
2020-01-03,58.7846
2020-01-04,58.7846
2020-01-05,58.7846
2020-01-06,57.8463
2020-01-07,54.468
2020-01-08,51.7092
2020-01-09,51.3334
2020-01-10,49.2484
2020-01-11,49.2484
2020-01-12,49.2484
2020-01-13,49.6831
2020-01-14,48.973
2020-01-15,48.6335
2020-01-16,50.2293
2020-01-17,47.5928
2020-01-18,47.5928
2020-01-19,47.5928
2020-01-20,47.5928
2020-01-21,43.4998
2020-01-22,42.8119
2020-01-23,43.2647
2020-01-24,41.1578
2020-01-25,41.1578
2020-01-26,41.1578
2020-01-27,38.8707
2020-01-28,40.5787
2020-01-29,39.4084
2020-01-30,41.7932
2020-01-31,35.7698
2020-02-01,35.7698
2020-02-02,35.7698
2020-02-03,34.7246
2020-02-04,36.0066
2020-02-05,42.9784
2020-02-06,41.891
2020-02-07,41.1413
2020-02-08,41.1413
2020-02-09,41.1413
2020-02-10,42.7785
2020-02-11,45.4029
2020-02-12,46.8762
2020-02-13,46.2846
2020-02-14,45.8228
2020-02-15,45.8228
2020-02-16,45.8228
2020-02-17,45.8228
2020-02-18,46.1296
2020-02-19,47.0981
2020-02-20,45.5234
2020-02-21,44.2081
2020-02-22,44.2081
2020-02-23,44.2081
2020-02-24,38.0889
2020-02-25,33.6118
2020-02-26,31.0884
2020-02-27,27.9138
2020-02-28,27.3305
2020-02-29,27.3305
2020-03-01,27.3305
2020-03-02,33.2655
2020-03-03,31.4659
2020-03-04,37.9958
2020-03-05,36.8211
2020-03-06,35.2479
2020-03-07,35.2479
2020-03-08,35.2479
2020-03-09,26.1821
2020-03-10,31.5409
2020-03-11,30.5045
2020-03-12,27.2844
2020-03-13,34.8129
2020-03-14,34.8129
2020-03-15,34.8129
2020-03-16,28.8848
2020-03-17,29.7774
2020-03-18,24.709
2020-03-19,26.6416
2020-03-20,28.2695
2020-03-21,28.2695
2020-03-22,28.2695
2020-03-23,26.6859
2020-03-24,35.5881
2020-03-25,37.3248
2020-03-26,41.584
2020-03-27,38.6776
2020-03-28,38.6776
2020-03-29,38.6776
2020-03-30,40.4728
2020-03-31,40.7614
2020-04-01,39.2557
2020-04-02,43.445
2020-04-03,43.0348
2020-04-04,43.0348
2020-04-05,43.0348
2020-04-06,45.8021
2020-04-07,46.0741
2020-04-08,48.621
2020-04-09,47.8494
2020-04-10,47.8494
2020-04-11,47.8494
2020-04-12,47.8494
2020-04-13,48.1552
2020-04-14,48.0096
2020-04-15,46.9714
2020-04-16,45.764
2020-04-17,49.612
2020-04-18,49.612
2020-04-19,49.612
2020-04-20,47.8511
2020-04-21,46.9273
2020-04-22,48.4217
2020-04-23,49.6576
2020-04-24,49.7684
2020-04-25,49.7684
2020-04-26,49.7684
2020-04-27,51.197
2020-04-28,51.3032
2020-04-29,53.7532
2020-04-30,52.2408
2020-05-01,50.7961
2020-05-02,50.7961
2020-05-03,50.7961
2020-05-04,51.8717
2020-05-05,52.6481
