,RMAX US Equity
,RSI_30D
2020-01-01,64.5133
2020-01-02,59.3219
2020-01-03,60.3327
2020-01-04,60.3327
2020-01-05,60.3327
2020-01-06,60.0241
2020-01-07,59.0861
2020-01-08,58.2492
2020-01-09,58.7404
2020-01-10,58.1955
2020-01-11,58.1955
2020-01-12,58.1955
2020-01-13,59.5915
2020-01-14,59.1939
2020-01-15,60.7794
2020-01-16,62.4013
2020-01-17,60.8052
2020-01-18,60.8052
2020-01-19,60.8052
2020-01-20,60.8052
2020-01-21,61.2607
2020-01-22,61.7589
2020-01-23,63.2987
2020-01-24,59.4342
2020-01-25,59.4342
2020-01-26,59.4342
2020-01-27,57.2861
2020-01-28,60.867
2020-01-29,61.932
2020-01-30,61.0159
2020-01-31,56.9828
2020-02-01,56.9828
2020-02-02,56.9828
2020-02-03,57.1017
2020-02-04,59.6409
2020-02-05,62.0028
2020-02-06,62.5109
2020-02-07,58.7201
2020-02-08,58.7201
2020-02-09,58.7201
2020-02-10,55.5349
2020-02-11,48.0013
2020-02-12,50.0757
2020-02-13,54.5362
2020-02-14,53.4002
2020-02-15,53.4002
2020-02-16,53.4002
2020-02-17,53.4002
2020-02-18,56.1685
2020-02-19,55.3285
2020-02-20,60.4818
2020-02-21,41.6039
2020-02-22,41.6039
2020-02-23,41.6039
2020-02-24,39.25
2020-02-25,36.8678
2020-02-26,36.5848
2020-02-27,33.9819
2020-02-28,33.6048
2020-02-29,33.6048
2020-03-01,33.6048
2020-03-02,36.6306
2020-03-03,35.3085
2020-03-04,39.5731
2020-03-05,38.4893
2020-03-06,34.8207
2020-03-07,34.8207
2020-03-08,34.8207
2020-03-09,32.4417
2020-03-10,33.8418
2020-03-11,31.8331
2020-03-12,30.2608
2020-03-13,39.1829
2020-03-14,39.1829
2020-03-15,39.1829
2020-03-16,38.5369
2020-03-17,36.5624
2020-03-18,26.4661
2020-03-19,36.0363
2020-03-20,34.0823
2020-03-21,34.0823
2020-03-22,34.0823
2020-03-23,34.8166
2020-03-24,37.294
2020-03-25,40.1379
2020-03-26,41.091
2020-03-27,40.6605
2020-03-28,40.6605
2020-03-29,40.6605
2020-03-30,40.3978
2020-03-31,40.4567
2020-04-01,38.6285
2020-04-02,37.3634
2020-04-03,35.5393
2020-04-04,35.5393
2020-04-05,35.5393
2020-04-06,39.8072
2020-04-07,40.3662
2020-04-08,43.405
2020-04-09,45.9285
2020-04-10,45.9285
2020-04-11,45.9285
2020-04-12,45.9285
2020-04-13,45.1941
2020-04-14,45.2207
2020-04-15,44.3068
2020-04-16,43.4754
2020-04-17,44.8736
2020-04-18,44.8736
2020-04-19,44.8736
2020-04-20,43.1281
2020-04-21,44.0576
